model,tool_name,official_reference_type,official_reference_url,official_note,local_image_prefix
07TTC,EasyClean Automatic Taper,product page,https://tapetech.com/product/easyclean-automatic-taper-2/,"Official TapeTech product page for the automatic taper shown in the 07TT-C schematic family.",07tt-c_
14TT,MudRunner,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; MudRunner section is listed on page 20 in the table of contents.",14tt_
15TTE,Corner Roller,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/15TTE_OG.pdf,"Official TapeTech operation guide with the real-world corner roller on the cover/guide pages.",15tte_
25TTX,10in EasyClean Box,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; EasyClean Boxes section is listed on page 24 in the table of contents.",25ttx_
30TTX,12in Flat Box,product page,https://tapetech.com/product/30ttx-12-flat-box/,"Official TapeTech product page for the 30TTX flat box.",30ttx_
48TT,3in EasyRoll Adjustable Corner Finisher,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/48TT_OG.pdf,"Official TapeTech operation guide for the 48TT EasyRoll corner finisher.",48tt_
48XTT,3-1/2in EasyRoll Adjustable Corner Finisher,product page,https://tapetech.com/product/3-easyroll-adj-corner-finisher/,"Official TapeTech product page for the 48XTT 3-1/2in EasyRoll adjustable corner finisher.",48xtt_
76TT,EasyClean Pump,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/76TT_OG.pdf,"Official TapeTech operation guide covering the 76TT pump.",76tt_
8034TT,34in EasyFinish Box Handle,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Finishing Box Handles section is listed on page 32 in the table of contents.",8034tt_
8042TT,42in EasyFinish Box Handle,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Finishing Box Handles section is listed on page 32 in the table of contents.",8042tt_
8054TT,54in EasyFinish Box Handle,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Finishing Box Handles section is listed on page 32 in the table of contents.",8054tt_
8072TT,72in EasyFinish Box Handle,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Finishing Box Handles section is listed on page 32 in the table of contents.",8072tt_
8134TT,34in EasyFinish Bent Handle,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Finishing Box Handles section includes the 8134TT handle family.",8134tt_
8142TT,42in EasyFinish Bent Handle,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Finishing Box Handles section includes the 8142TT handle family.",8142tt_
8154TT,54in EasyFinish Bent Handle,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Finishing Box Handles section includes the 8154TT handle family.",8154tt_
85T,Gooseneck,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Loading Pumps and Accessories section is listed on page 12 in the table of contents.",85t_
88TTE,XTender Finishing Box Handle,product page,https://tapetech.com/product/xtender-finishing-box-handle/,"Official TapeTech product page for the 88TTE XTender finishing box handle.",88tte_
90T,Filler Adapter,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/90T_OG.pdf,"Official TapeTech operation guide covering the 90T filler adapter.",90t_
CT24TT,24in Compound Tube,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Corner Flushers and Compound Tubes section is listed on page 58 in the table of contents.",ct24tt_
CT36TT,36in Compound Tube,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Corner Flushers and Compound Tubes section is listed on page 58 in the table of contents.",ct36tt_
CT42TT,42in Compound Tube,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; Corner Flushers and Compound Tubes section is listed on page 58 in the table of contents.",ct42tt_
EHC07,7in MaxxBox High Capacity Box,product page,https://tapetech.com/product/7-maxxbox/,"Official TapeTech product page for the 7in MAXXBOX; matches the EHC07 high-capacity box family.",ehc07_
EHC10,10in MaxxBox High Capacity Box,official catalog,https://tapetech.com/wp-content/uploads/2026/01/TapeTech-Product-Catalog_ENG_web.pdf,"Official TapeTech 2026 catalog; MaxxBoxes section is listed on page 26 in the table of contents.",ehc10_
EHC12,12in MaxxBox High Capacity Box,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/EHC12_OG.pdf,"Official TapeTech operation guide covering EHC07, EHC10, and EHC12 high-capacity boxes.",ehc12_
EZ07TT,7in EasyClean Box,operation guide pdf,https://tapetech.com/wp-content/uploads/2022/07/EZ10TT_OG.pdf,"Official TapeTech EasyClean box operation guide covering the EZ box family.",ez07tt_
