Brands,SKU,MPN,Name,Description,Short description,Categories
Asgard,4I-SJ80-1WRW,4I-SJ80-1WRW,"Asgard Angle Box w/ Handle (8"" w/ Extendable Handle) (4I-SJ80-1WRW)","<p>Asgard Angle Box w/ Handle (8"" w/ Extendable Handle) is a professional-grade applicator engineered to streamline the application of joint compound in internal drywall corners. By pairing with an angle head, this tool ensures a uniform, high-quality finish in a single pass, significantly reducing manual taping and sanding time. The unit is built to withstand the rigors of active job sites while maintaining consistent performance.</p><p>The tool features a lightweight, anodized aluminum body that minimizes operator fatigue during extended use. The included extendable support handle provides the necessary reach for high corners and ceilings, eliminating the need for constant ladder repositioning. A durable stainless steel nose cone ensures smooth compound flow and long-term reliability.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> The 8-inch box holds more compound, allowing for longer runs and increased productivity between refills.</li><li><strong>Extendable Reach:</strong> Includes an adjustable support handle to access high-angle corners without additional equipment.</li><li><strong>Durable Build:</strong> Constructed with an anodized aluminum frame and a stainless steel nose cone for corrosion resistance and longevity.</li><li><strong>Professional Finish:</strong> Engineered to work with angle heads for consistent, clean corner coating in one pass.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Box Size | 8 inches | | Material | Anodized Aluminum, Stainless Steel | | SKU | 4I-SJ80-1WRW | | UPC | 0873876005260 | | Set Includes | 8"" Angle Box, Extendable Support Handle |</p>","Asgard 8-inch angle box with extendable handle for efficient, uniform joint compound application in internal drywall corners.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,4K-S6F6-8HQ6,4K-S6F6-8HQ6,"Asgard Angle Box w/ Handle (8"" w/ Fixed Handle) (4K-S6F6-8HQ6)","<p>Asgard Angle Box w/ Handle (8"" w/ Fixed Handle) is a professional-grade tool engineered to streamline internal corner finishing in drywall applications. By automating the application of joint compound, this unit ensures a uniform, high-quality finish that significantly reduces the time required for manual sanding and cleanup. Its robust construction is built to withstand the daily demands of active job sites, providing reliable performance for both residential and commercial projects.</p><p><strong>Features:</strong></p><ul><li><strong>Efficient Application:</strong> Accelerates the corner finishing process by delivering a consistent layer of compound in a single pass.</li><li><strong>Fixed Handle Stability:</strong> Provides superior leverage and control, reducing operator fatigue during repetitive, extended use.</li><li><strong>Durable Build:</strong> Engineered with high-grade components to ensure long-term reliability and resistance to job site wear.</li><li><strong>Optimized Size:</strong> The 8-inch width offers an ideal balance between compound capacity and maneuverability for standard internal corner work.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | 4K-S6F6-8HQ6 | | UPC | 0873876005253 | | Size | 8 inches | | Handle Type | Fixed | | Includes | 1 x 8"" Angle Box, 1 x Fixed Handle |</p>","Asgard 8-inch Angle Box with fixed handle for efficient, professional-grade internal corner finishing and consistent compound application.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,9R-PIR7-OTNL,9R-PIR7-OTNL,Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set) (9R-PIR7-OTNL),"<p>Asgard Full Taping Tool Set (9R-PIR7-OTNL) provides a comprehensive, high-performance system for professional drywall finishing. This set is engineered to handle the rigors of daily job site use, ensuring consistent compound application and precise corner finishing for high-quality results on both commercial and residential projects.</p><p>Designed for durability and operational efficiency, these tools reduce physical strain during extended shifts. The system is fully supported by the TapeTech service network, ensuring long-term reliability and maintenance support.</p><p><strong>Features:</strong></p><ul><li><strong>Complete Finishing System:</strong> Includes all essential components for taping, pumping, and finishing, featuring both 10-inch and 12-inch boxes.</li><li><strong>Precision Corner Work:</strong> Equipped with a 3-inch angle head and corner roller to deliver clean, sharp inside corners.</li><li><strong>Ergonomic Design:</strong> Features lightweight, extendable handles to improve reach and minimize operator fatigue.</li><li><strong>Reliable Construction:</strong> Built with rugged materials to withstand heavy-duty use and minimize the need for rework.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | 9R-PIR7-OTNL | | UPC | 0873876005376 | | Warranty | 5-Year Limited Warranty | | Set Includes | Hammer Automatic Taper (AT01-AD), 10"" Finish Box (EZ10-AD), 12"" Finish Box (EZ12-AD), Loading Pump (LP01-AD), Corner Roller, 3"" Angle Head, Angle Head Adapter, Fiberglass Handle, Gooseneck, Filler Adapter |</p>","A comprehensive, professional-grade drywall taping and finishing system engineered for maximum efficiency and consistent, high-quality results.",Drywall Finishing Tools > Asgard > Tool Sets & Bundles
Asgard,AGFLATEXT,AGFLATEXT,"Asgard 10"" and 12"" Flat Box Combo Set (AGFLATEXT)","<p>Asgard 10"" and 12"" Flat Box Combo Set provides a streamlined, professional-grade solution for drywall finishing, engineered to maximize efficiency on flat seams and butt joints. This comprehensive kit combines essential tools to reduce manual labor and ensure consistent compound application across various stages of the finishing process.</p><p>The system is built for durability and ease of use, featuring high-quality aluminum components and an anodized finish for long-term reliability on demanding job sites. The included extendable handle offers versatile reach, while the loading pump and filler adapter facilitate rapid, mess-free refills to maintain steady production flow.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Size Versatility:</strong> Includes both 10-inch and 12-inch flat boxes to accommodate different finishing stages, from initial fills to final coats.</li><li><strong>Efficient Refill System:</strong> High-performance loading pump and dedicated filler adapter allow for quick, clean transitions between fills.</li><li><strong>Adjustable Reach:</strong> Extendable handle provides precise control and access to high walls and ceilings without the need for constant ladder repositioning.</li><li><strong>Field-Tested Durability:</strong> Constructed with high-quality alloys and an anodized finish to withstand daily professional use.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | AGFLATEXT | | Application | Drywall Seam and Butt Joint Finishing | | Set Includes | 10"" Flat Box, 12"" Flat Box, Loading Pump, Filler Adapter, Extendable Handle | | Model Numbers | EZ10-AD, EZ12-AD, LP01-AD, FA01-AD, FBE-AD |</p>","This professional-grade drywall finishing kit features 10-inch and 12-inch flat boxes, a loading pump, filler adapter, and an extendable handle for efficient, consistent compound application.",Drywall Finishing Tools > Asgard > Tool Sets & Bundles
Asgard,AH-AD,AH-AD,Asgard Angle Head,"<p><strong>Asgard Angle Head</strong> delivers professional-grade precision for finishing internal drywall corners in sizes 2.5"", 3"", and 3.5"". These contractor-grade tools simultaneously feather joint compound on both sides of a 90-degree corner, ensuring a clean, uniform finish in a single pass. Engineered for high-volume job sites, they effectively wipe down excess compound following a corner roller, significantly reducing the need for manual sanding and touch-up work.</p><p>Built to withstand rigorous daily use, all angle heads in this family feature a corrosion-resistant die-cast aluminum body paired with durable stainless steel frames and skids. Integrated easy-roll wheels with rubber tires minimize friction, while the patented positive ball retainer ensures a secure connection to your handle or applicator, preventing accidental disconnects during operation.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously feathers both sides of an internal corner for a symmetrical, high-quality finish.</li><li><strong>Multiple Sizes:</strong> Available in 2.5"", 3"", and 3.5"" widths to accommodate different corner finishing requirements.</li><li><strong>Durable Construction:</strong> Features a corrosion-resistant die-cast aluminum body with stainless steel frames and skids for long-term reliability.</li><li><strong>Smooth Operation:</strong> Equipped with easy-roll rubber-tired wheels to reduce drag and ensure consistent performance across wall-to-wall and wall-to-ceiling transitions.</li><li><strong>Secure Attachment:</strong> Utilizes a patented positive ball retainer to keep the tool firmly attached to your handle or corner applicator.</li></ul><p><strong>Available Sizes:</strong></p><ul><li>AH25-AD: 2.5"" Angle Head</li><li>AH30-AD: 3"" Angle Head</li><li>AH35-AD: 3.5"" Angle Head</li></ul>",Professional-grade drywall angle head available in multiple sizes for finishing internal corners.,Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,BBH-AD,BBH-AD,Asgard Brakeless Box Handle (BBH-AD),"<p><strong>Asgard Brakeless Box Handle (BBH-AD)</strong> provides professional drywall finishers with a streamlined, high-performance tool designed for consistent, fluid operation. By replacing traditional mechanical braking systems with a precision-engineered friction brake, this handle removes the steep learning curve often associated with standard finishing box handles. It allows for smooth, uninterrupted strokes across both walls and ceilings, ensuring a uniform coat with minimal effort.</p><p>Constructed from durable, lightweight fiberglass, this handle is built to withstand the daily demands of a busy job site while reducing operator fatigue during extended use. The ergonomic knob allows for quick, intuitive adjustments to friction levels, giving the user complete control over the box position and pressure. It is compatible with all major brands of finishing boxes, making it a versatile and reliable addition to any professional toolkit.</p><p><strong>Features:</strong></p><ul><li><strong>Friction Brake Design:</strong> Eliminates complex mechanical linkages for a smoother, more predictable finish and a shorter learning curve.</li><li><strong>Ergonomic Control:</strong> Features an easy-to-adjust knob that allows for precise friction settings to suit individual preferences and specific job requirements.</li><li><strong>Durable Construction:</strong> Manufactured from lightweight, high-strength fiberglass that is easy to clean and resistant to job site wear.</li><li><strong>Universal Compatibility:</strong> Engineered to fit seamlessly with all major brands of automatic drywall finishing boxes.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | BBH-AD | | Length | 34 inches (86 cm) | | Material | Fiberglass | | Brake Type | Friction Brake | | Warranty | 5-Year Limited (TapeTech) |</p>","The Asgard Brakeless Box Handle (BBH-AD) features a friction-based design that simplifies drywall finishing, offering smooth, consistent control and universal compatibility with major finishing box brands.",Drywall Finishing Tools > Asgard > Handles & Extensions
Asgard,CA08-AD,CA08-AD,"Asgard 8"" Drywall Angle Box (CA08-AD)","<p><strong>Asgard 8"" Drywall Angle Box (CA08-AD)</strong> provides professional-grade efficiency for applying joint compound to internal corners. This tool is engineered to streamline the finishing process, allowing for consistent, high-volume output that reduces the need for frequent refills during demanding drywall projects.</p><p>Built with a lightweight anodized aluminum body, the unit minimizes operator fatigue while maintaining the structural durability required for daily site use. The precision-engineered stainless steel nose cone ensures a smooth, reliable flow of compound, delivering the professional results expected in high-standard finishing work.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> Optimized to hold more joint compound than smaller models, increasing productivity by extending the time between pump refills.</li><li><strong>Durable Construction:</strong> Features a rugged, anodized aluminum housing paired with a hardened stainless steel nose cone for long-term wear resistance.</li><li><strong>Professional Ergonomics:</strong> Balanced design allows for precise control and ease of handling during vertical and horizontal corner applications.</li><li><strong>System Compatibility:</strong> Designed to integrate seamlessly with standard taping tool systems and corner finishing heads.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | CA08-AD | | UPC | 0873876004607 | | Tool Size | 8 Inches | | Body Material | Anodized Aluminum | | Nose Cone Material | Stainless Steel | | Warranty | 5 Year Limited Warranty |</p>","The Asgard 8"" Drywall Angle Box features a high-capacity, lightweight aluminum body and a durable stainless steel nose cone. Designed for professional efficiency, this tool provides consistent compound application for internal corners while maintaining long-term reliability on the job site.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,CFA-AD,CFA-AD,Asgard Angle Head Ball Adapter (CFA-AD),"<p><strong>Asgard Angle Head Ball Adapter (CFA-AD)</strong> serves as the critical link between your angle head and finishing handle, facilitating the precise articulation required for professional drywall corner finishing. This adapter enables multi-directional movement, allowing the tool to maintain consistent contact with internal corners and tight architectural angles. By ensuring optimal tool positioning, it helps produce a smooth, feathered finish while reducing wrist strain during extended use.</p><p>Engineered for the rigors of high-volume job sites, this component is built from durable aluminum to maintain structural integrity under pressure. It integrates seamlessly into your existing taping workflow, providing a secure and reliable connection that supports efficient, high-quality results.</p><p><strong>Features:</strong></p><ul><li><strong>Fluid Articulation:</strong> The ball-joint design provides a superior range of motion, keeping the tool perfectly positioned in complex corners.</li><li><strong>Seamless Integration:</strong> Designed for quick, secure attachment between standard angle heads and compatible finishing handles.</li><li><strong>Professional Durability:</strong> Constructed from robust aluminum to withstand demanding construction environments.</li><li><strong>Ergonomic Operation:</strong> Promotes a natural hand position, significantly reducing fatigue during repetitive finishing tasks.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | CFA-AD | | Material | Aluminum | | Compatibility | Standard Angle Heads, FH-AD, and XH-AD Handles | | Height | 5"" | | Width | 1"" | | Depth | 1"" | | Weight | 0.33 lb |</p>","The Asgard Angle Head Ball Adapter (CFA-AD) connects your angle head to a finishing handle, providing the essential articulation needed for smooth, precise, and efficient drywall corner finishing.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,CR01-AD,CR01-AD,Asgard Inside Corner Roller (CR01-AD),"<p><strong>Asgard Inside Corner Roller (CR01-AD)</strong> is a professional-grade tool engineered to streamline drywall finishing by ensuring tape is firmly and accurately embedded into internal 90-degree corners. By applying consistent pressure, this roller effectively eliminates air pockets and excess joint compound from behind the tape, creating a uniform surface prepared for subsequent angle head or finishing passes.</p><p>Built for the demands of daily job-site use, this tool features high-quality stainless steel rollers that provide long-lasting durability and resistance to corrosion. The robust frame is designed for fluid movement, allowing for precise control and reduced physical strain during repetitive tasks. It is an essential component for contractors seeking crisp, professional corner finishes with maximum efficiency.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Embedding:</strong> Ensures deep, uniform contact between tape and compound for a bubble-free finish.</li><li><strong>Durable Construction:</strong> Equipped with premium stainless steel rollers designed to withstand heavy use while maintaining consistent performance.</li><li><strong>Ergonomic Design:</strong> Optimized for fluid movement to minimize wrist fatigue and maximize productivity.</li><li><strong>Efficient Workflow:</strong> Quickly removes excess compound and air, reducing the need for manual touch-ups.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | CR01-AD | | UPC | 873876004591 | | Material | Stainless Steel | | Application | Drywall Internal Corner Finishing | | Country of Origin | United States |</p>","The Asgard Inside Corner Roller (CR01-AD) is a durable, stainless steel tool designed to quickly and accurately embed drywall tape into internal corners, removing air pockets and excess compound for a professional, crisp finish.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,EHC10-AD,EHC10-AD,"Asgard 10"" MaxxBox Finishing Box (EHC10-AD)","<p><strong>Asgard 10"" MaxxBox Finishing Box (EHC10-AD)</strong> is a high-capacity tool engineered for professional drywall contractors who require consistent, efficient performance on flat seams and butt joints. This finishing box features an optimized reservoir design that holds significantly more joint compound than standard models, allowing for longer runs and fewer trips to the pump. The rugged, anodized aluminum construction ensures long-term durability in demanding job site environments, while the intuitive adjustment dial provides precise control over mud flow and crown settings for a professional-grade finish every time.</p><p>Designed with a pivoting axle, this finishing box automatically compensates for uneven gypsum board surfaces, ensuring uniform compound application even when joints are not perfectly flush. The unit is fully compatible with most major flat box handle brands, making it a versatile addition to any existing professional tool kit. With its focus on an optimal capacity-to-weight ratio, this tool minimizes operator fatigue while maximizing daily output.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Reservoir:</strong> Holds substantially more joint compound than standard boxes, reducing downtime spent on refills.</li><li><strong>Pivoting Axle:</strong> Automatically adjusts to uneven surfaces to maintain consistent mud application across flat and butt joints.</li><li><strong>Precision Crown Control:</strong> Features an easy-to-use dial for granular adjustment of mud output, ideal for transitioning between coating stages.</li><li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with most major flat box handle brands.</li><li><strong>Durable Construction:</strong> Built with premium-grade, anodized aluminum to withstand heavy-duty job site wear.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | EHC10-AD | | Box Size | 10 inches | | Construction Material | Anodized Aluminum | | Compatibility | Universal (fits most major handle brands) | | Application | Flat seams and butt joints |</p>","The Asgard 10"" MaxxBox Finishing Box delivers high-capacity compound storage and precision mud control for efficient, professional-grade drywall finishing on flat seams and butt joints.",Drywall Finishing Tools > Asgard > Finishing Boxes
