Brands,Type,SKU,MPN,Name,Description,Short description,Categories
Asgard,variable,AH-AD,AH-AD,Asgard Angle Head,"<p>The Asgard Angle Head is a professional-grade finisher engineered to simultaneously feather joint compound on both sides of internal 90-degree corners. Available in 2.5"", 3"", and 3.5"" widths, these tools deliver a clean, uniform finish in a single pass, significantly reducing manual sanding. Built for high-volume production, they feature a corrosion-resistant die-cast aluminum body, stainless steel frames, and easy-roll rubber wheels to minimize friction. The patented positive ball retainer ensures a secure, reliable connection to your handle or applicator.</p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously feathers both sides of an internal corner for a symmetrical finish.</li><li><strong>Durable Construction:</strong> Die-cast aluminum body with stainless steel frames and skids for job site longevity.</li><li><strong>Smooth Operation:</strong> Easy-roll wheels reduce drag on wall-to-wall and wall-to-ceiling transitions.</li><li><strong>Secure Fit:</strong> Patented positive ball retainer prevents accidental disconnects during use.</li><li><strong>Available Sizes:</strong> 2.5"" (AH25-AD), 3"" (AH30-AD), and 3.5"" (AH35-AD).</li></ul>","Professional Asgard Angle Head available in 2.5"", 3"", and 3.5"" sizes for precise, single-pass internal corner finishing.",Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,variation,AH25-AD,AH25-AD,"Asgard 2.5"" Angle Head (AH25-AD)",,,Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,variation,AH30-AD,AH30-AD,"Asgard 3"" Angle Head (AH30-AD)",,,Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,variation,AH35-AD,AH35-AD,"Asgard 3.5"" Angle Head (AH35-AD)",,,Drywall Finishing Tools > Asgard > Corner & Angle Tools
Asgard,variable,EZFB-AD,EZFB-AD,Asgard Flat Box,"<p>The Asgard Flat Box series provides precise, consistent joint compound application for base and finish coats on flat joints and corner beads. Available in 7"", 10"", and 12"" widths, these boxes are built from high-grade alloys to ensure longevity in demanding environments. Featuring an integrated dial mechanism for micro-adjustments to mud flow and thumb latches for rapid cleaning, Asgard Flat Boxes offer professional finishers a reliable, easy-to-maintain solution that is compatible with most standard handles.</p><ul><li><strong>Precision Metering:</strong> Integrated dial allows for fine-tuned control of compound output for consistent results.</li><li><strong>Rugged Durability:</strong> Manufactured from high-strength alloys to withstand daily professional use.</li><li><strong>Easy Maintenance:</strong> Quick-access thumb latches allow for fast opening and thorough cleaning.</li><li><strong>Universal Compatibility:</strong> Designed to fit all major brands of flat box handles.</li><li><strong>Available Sizes:</strong> 7"" (EZ07-AD), 10"" (EZ10-AD), and 12"" (EZ12-AD) widths.</li></ul>","Professional-grade Asgard Flat Box available in 7"", 10"", and 12"" sizes. Features precision mud control and universal handle compatibility.",Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variation,EZ07-AD,EZ07-AD,"Asgard 7"" Flat Box (EZ07-AD)",,,Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variation,EZ10-AD,EZ10-AD,"Asgard 10"" Flat Box (EZ10-AD)",,,Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variation,EZ12-AD,EZ12-AD,"Asgard 12"" Flat Box (EZ12-AD)",,,Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variable,PAFB-AD,PAFB-AD,Asgard Power Assist Finishing Box,"<p>The Asgard Power Assist Finishing Box is engineered to minimize operator fatigue through an integrated spring-loaded mechanism that provides consistent, automated pressure for joint compound application. Available in 7"", 10"", and 12"" widths, these boxes excel at delivering smooth base coats and final coats with significantly less physical effort. Constructed with a high-strength aluminum housing and a professional-grade stainless steel blade, they ensure a streak-free finish while integrating seamlessly with standard flat box handles.</p><ul><li><strong>Power-Assist Technology:</strong> Spring-loaded mechanism reduces the force required to apply compound.</li><li><strong>Lightweight Aluminum:</strong> High-strength, durable housing designed for reduced weight and easier handling.</li><li><strong>Superior Finish:</strong> Stainless steel blade provides consistent, smooth application to minimize sanding.</li><li><strong>Versatile Range:</strong> Available in 7"" (PA07-AD), 10"" (PA10-AD), and 12"" (PA12-AD) for all stages of joint finishing.</li><li><strong>Universal Fit:</strong> Compatible with all major brands of flat box handles.</li></ul>","Asgard Power Assist Finishing Box with spring-loaded mechanism, available in 7"", 10"", and 12"" sizes. Reduces effort and increases finishing speed.",Drywall Finishing Tools > Asgard > Finishing Boxes
Asgard,variation,PA07-AD,PA07-AD,"Asgard 7"" Power Assist Finishing Box (PA07-AD)",,,Drywall Finishing Tools > Asgard > Finishing Boxes
