Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,meta:_dtb_seo_title,meta:_dtb_seo_description,ID
Asgard,simple,4I-SJ80-1WRW,4I-SJ80-1WRW,"Asgard Angle Box w/ Handle (8"" w/ Extendable Handle) (4I-SJ80-1WRW)",1,0,visible,"Asgard 8-inch angle box with extendable handle for efficient, uniform joint compound application in internal drywall corners.","<p>Asgard Angle Box w/ Handle (8"" w/ Extendable Handle) is a professional-grade applicator engineered to streamline the application of joint compound in internal drywall corners. By pairing with an angle head, this tool ensures a uniform, high-quality finish in a single pass, significantly reducing manual taping and sanding time. The unit is built to withstand the rigors of active job sites while maintaining consistent performance.</p><p>The tool features a lightweight, anodized aluminum body that minimizes operator fatigue during extended use. The included extendable support handle provides the necessary reach for high corners and ceilings, eliminating the need for constant ladder repositioning. A durable stainless steel nose cone ensures smooth compound flow and long-term reliability.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> The 8-inch box holds more compound, allowing for longer runs and increased productivity between refills.</li><li><strong>Extendable Reach:</strong> Includes an adjustable support handle to access high-angle corners without additional equipment.</li><li><strong>Durable Build:</strong> Constructed with an anodized aluminum frame and a stainless steel nose cone for corrosion resistance and longevity.</li><li><strong>Professional Finish:</strong> Engineered to work with angle heads for consistent, clean corner coating in one pass.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Box Size | 8 inches | | Material | Anodized Aluminum, Stainless Steel | | SKU | 4I-SJ80-1WRW | | UPC | 0873876005260 | | Set Includes | 8"" Angle Box, Extendable Support Handle |</p>",,,,430.0,taxable,,1,100.0,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard angle box, drywall corner tool, 8 inch angle box, joint compound applicator, drywall finishing tools",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/4i-sj80-1wrw.webp,,,,,,,,,85.0,Brand,Asgard,1.0,1.0,,,,,"Asgard 8"" Angle Box (4I-SJ80-1WRW) | Anodized Aluminum Body","Apply joint compound to drywall corners efficiently with this $430 Asgard 8"" angle box. Features an extendable handle and durable stainless steel nose cone.",
Asgard,simple,4K-S6F6-8HQ6,4K-S6F6-8HQ6,"Asgard Angle Box w/ Handle (8"" w/ Fixed Handle) (4K-S6F6-8HQ6)",1,0,visible,"Asgard 8-inch Angle Box with fixed handle for efficient, professional-grade internal corner finishing and consistent compound application.","<p>Asgard Angle Box w/ Handle (8"" w/ Fixed Handle) is a professional-grade tool engineered to streamline internal corner finishing in drywall applications. By automating the application of joint compound, this unit ensures a uniform, high-quality finish that significantly reduces the time required for manual sanding and cleanup. Its robust construction is built to withstand the daily demands of active job sites, providing reliable performance for both residential and commercial projects.</p><p><strong>Features:</strong></p><ul><li><strong>Efficient Application:</strong> Accelerates the corner finishing process by delivering a consistent layer of compound in a single pass.</li><li><strong>Fixed Handle Stability:</strong> Provides superior leverage and control, reducing operator fatigue during repetitive, extended use.</li><li><strong>Durable Build:</strong> Engineered with high-grade components to ensure long-term reliability and resistance to job site wear.</li><li><strong>Optimized Size:</strong> The 8-inch width offers an ideal balance between compound capacity and maneuverability for standard internal corner work.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | 4K-S6F6-8HQ6 | | UPC | 0873876005253 | | Size | 8 inches | | Handle Type | Fixed | | Includes | 1 x 8"" Angle Box, 1 x Fixed Handle |</p>",,,,373.99,taxable,,1,100.0,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard Angle Box, drywall corner finishing, 8 inch angle box, joint compound applicator, 4K-S6F6-8HQ6",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/4k-s6f6-8hq6.webp,,,,,,,,,86.0,Brand,Asgard,1.0,1.0,,,,,"Asgard 8"" Angle Box (4K-S6F6-8HQ6) | Fixed Handle Efficiency","Streamline drywall corner finishing with the Asgard 8"" Angle Box. Features a fixed handle for $373.99, ensuring consistent compound application every time.",
Asgard,simple,9R-PIR7-OTNL,9R-PIR7-OTNL,Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set) (9R-PIR7-OTNL),1,0,visible,"A comprehensive, professional-grade drywall taping and finishing system engineered for maximum efficiency and consistent, high-quality results.","<p>Asgard Full Taping Tool Set (9R-PIR7-OTNL) provides a comprehensive, high-performance system for professional drywall finishing. This set is engineered to handle the rigors of daily job site use, ensuring consistent compound application and precise corner finishing for high-quality results on both commercial and residential projects.</p><p>Designed for durability and operational efficiency, these tools reduce physical strain during extended shifts. The system is fully supported by the TapeTech service network, ensuring long-term reliability and maintenance support.</p><p><strong>Features:</strong></p><ul><li><strong>Complete Finishing System:</strong> Includes all essential components for taping, pumping, and finishing, featuring both 10-inch and 12-inch boxes.</li><li><strong>Precision Corner Work:</strong> Equipped with a 3-inch angle head and corner roller to deliver clean, sharp inside corners.</li><li><strong>Ergonomic Design:</strong> Features lightweight, extendable handles to improve reach and minimize operator fatigue.</li><li><strong>Reliable Construction:</strong> Built with rugged materials to withstand heavy-duty use and minimize the need for rework.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | 9R-PIR7-OTNL | | UPC | 0873876005376 | | Warranty | 5-Year Limited Warranty | | Set Includes | Hammer Automatic Taper (AT01-AD), 10"" Finish Box (EZ10-AD), 12"" Finish Box (EZ12-AD), Loading Pump (LP01-AD), Corner Roller, 3"" Angle Head, Angle Head Adapter, Fiberglass Handle, Gooseneck, Filler Adapter |</p>",,,,3670.0,taxable,,1,100.0,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Tool Sets & Bundles,"Asgard taping tool set, drywall finishing tools, automatic taper, drywall compound tools, 9R-PIR7-OTNL",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/9r-pir7-otnl.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/lp01-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/cr01-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/cfa-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/fh-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/gn01-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/fa01-ad.webp,,,,,,,,,382.0,Brand,Asgard,1.0,1.0,,,,,Asgard 10/12 Taping Set (9R-PIR7-OTNL) | Full Finishing System,"Complete Asgard drywall taping set for $3670. Includes 10"" and 12"" boxes, automatic taper, and corner tools for professional-grade joint compound finishing.",
Asgard,simple,AGFLATEXT,AGFLATEXT,"Asgard 10"" and 12"" Flat Box Combo Set (AGFLATEXT)",1,0,visible,"This professional-grade drywall finishing kit features 10-inch and 12-inch flat boxes, a loading pump, filler adapter, and an extendable handle for efficient, consistent compound application.","<p>Asgard 10"" and 12"" Flat Box Combo Set provides a streamlined, professional-grade solution for drywall finishing, engineered to maximize efficiency on flat seams and butt joints. This comprehensive kit combines essential tools to reduce manual labor and ensure consistent compound application across various stages of the finishing process.</p><p>The system is built for durability and ease of use, featuring high-quality aluminum components and an anodized finish for long-term reliability on demanding job sites. The included extendable handle offers versatile reach, while the loading pump and filler adapter facilitate rapid, mess-free refills to maintain steady production flow.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Size Versatility:</strong> Includes both 10-inch and 12-inch flat boxes to accommodate different finishing stages, from initial fills to final coats.</li><li><strong>Efficient Refill System:</strong> High-performance loading pump and dedicated filler adapter allow for quick, clean transitions between fills.</li><li><strong>Adjustable Reach:</strong> Extendable handle provides precise control and access to high walls and ceilings without the need for constant ladder repositioning.</li><li><strong>Field-Tested Durability:</strong> Constructed with high-quality alloys and an anodized finish to withstand daily professional use.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | AGFLATEXT | | Application | Drywall Seam and Butt Joint Finishing | | Set Includes | 10"" Flat Box, 12"" Flat Box, Loading Pump, Filler Adapter, Extendable Handle | | Model Numbers | EZ10-AD, EZ12-AD, LP01-AD, FA01-AD, FBE-AD |</p>",,,,1357.0,taxable,,1,100.0,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Tool Sets & Bundles,"Asgard flat box set, drywall finishing tools, 10 inch flat box, 12 inch flat box, drywall compound applicator, AGFLATEXT",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/agflatext.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/agflatext_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez10-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ez12-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/lp01-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/fbhe-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/fa01-ad.webp,,,,,,,,,381.0,Brand,Asgard,1.0,1.0,,,,,"Asgard 10"" & 12"" Flat Box Set (AGFLATEXT) | Aluminum Build","Finish drywall seams efficiently with this $1357 Asgard combo set. Includes 10"" & 12"" flat boxes, pump, filler adapter, and extendable handle for pros.",
Asgard,variable,AH-AD,AH-AD,Asgard Angle Head,1,0,visible,Professional-grade drywall angle head available in multiple sizes for finishing internal corners.,"<p><strong>Asgard Angle Head</strong> delivers professional-grade precision for finishing internal drywall corners in sizes 2.5"", 3"", and 3.5"". These contractor-grade tools simultaneously feather joint compound on both sides of a 90-degree corner, ensuring a clean, uniform finish in a single pass. Engineered for high-volume job sites, they effectively wipe down excess compound following a corner roller, significantly reducing the need for manual sanding and touch-up work.</p><p>Built to withstand rigorous daily use, all angle heads in this family feature a corrosion-resistant die-cast aluminum body paired with durable stainless steel frames and skids. Integrated easy-roll wheels with rubber tires minimize friction, while the patented positive ball retainer ensures a secure connection to your handle or applicator, preventing accidental disconnects during operation.</p><p><strong>Features:</strong></p><ul><li><strong>Dual-Sided Precision:</strong> Simultaneously feathers both sides of an internal corner for a symmetrical, high-quality finish.</li><li><strong>Multiple Sizes:</strong> Available in 2.5"", 3"", and 3.5"" widths to accommodate different corner finishing requirements.</li><li><strong>Durable Construction:</strong> Features a corrosion-resistant die-cast aluminum body with stainless steel frames and skids for long-term reliability.</li><li><strong>Smooth Operation:</strong> Equipped with easy-roll rubber-tired wheels to reduce drag and ensure consistent performance across wall-to-wall and wall-to-ceiling transitions.</li><li><strong>Secure Attachment:</strong> Utilizes a patented positive ball retainer to keep the tool firmly attached to your handle or corner applicator.</li></ul><p><strong>Available Sizes:</strong></p><ul><li>AH25-AD: 2.5"" Angle Head</li><li>AH30-AD: 3"" Angle Head</li><li>AH35-AD: 3.5"" Angle Head</li></ul>",,,,0.01,taxable,,1,100,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard AH25-AD, 2.5 inch angle head, drywall corner finisher, taping tool, internal corner tool",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_03.webp,,,,,,,,,87.0,Size,Asgard,1.0,1.0,Size,"2.5""|3""|3.5""",1.0,1.0,"Asgard 2.5"" Angle Head (AH25-AD) | Die-cast Aluminum Body","Finish internal corners efficiently with the Asgard 2.5"" Angle Head ($316). Features a durable die-cast aluminum body for professional drywall results.",
Asgard,variation,AH25-AD,AH25-AD,"Asgard 2.5"" Angle Head (AH25-AD)",1,0,visible,,,,,,316.0,taxable,,1,100,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard AH25-AD, 2.5 inch angle head, drywall corner finisher, taping tool, internal corner tool",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah25-ad_03.webp,,,AH-AD,,,,,,88.0,Brand,Asgard,1.0,1.0,Size,"2.5""",1.0,1.0,"Asgard 2.5"" Angle Head (AH25-AD) | Die-cast Aluminum Body","Finish internal corners efficiently with the Asgard 2.5"" Angle Head ($316). Features a durable die-cast aluminum body for professional drywall results.",
Asgard,variation,AH30-AD,AH30-AD,"Asgard 3"" Angle Head (AH30-AD)",1,0,visible,,,,,,338.0,taxable,,1,100,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard AH30-AD, 3 inch angle head, drywall corner finisher, automatic taping tools, internal corner tool",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah30-ad_03.webp,,,AH-AD,,,,,,89.0,Brand,Asgard,1.0,1.0,Size,"3""",1.0,1.0,"Asgard 3"" Angle Head (AH30-AD) | Adjustable Spring Tension","Finish internal corners efficiently with the Asgard 3"" Angle Head (AH30-AD). Features adjustable spring tension for $338. Perfect for professional drywall.",
Asgard,variation,AH35-AD,AH35-AD,"Asgard 3.5"" Angle Head (AH35-AD)",1,0,visible,,,,,,356.0,taxable,,1,100,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard 3.5 Angle Head, AH35-AD, drywall corner finisher, angle head drywall tool, joint compound feathering",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah35-ad_03.webp,,,AH-AD,,,,,,90.0,Brand,Asgard,1.0,1.0,Size,"3.5""",1.0,1.0,"Asgard 3.5"" Angle Head (AH35-AD) | Die-Cast Aluminum Body","Finish internal drywall corners efficiently with the $356 Asgard 3.5"" Angle Head. Features adjustable tension and durable die-cast aluminum construction.",
Asgard,simple,BBH-AD,BBH-AD,Asgard Brakeless Box Handle (BBH-AD),1,0,visible,"The Asgard Brakeless Box Handle (BBH-AD) features a friction-based design that simplifies drywall finishing, offering smooth, consistent control and universal compatibility with major finishing box brands.","<p><strong>Asgard Brakeless Box Handle (BBH-AD)</strong> provides professional drywall finishers with a streamlined, high-performance tool designed for consistent, fluid operation. By replacing traditional mechanical braking systems with a precision-engineered friction brake, this handle removes the steep learning curve often associated with standard finishing box handles. It allows for smooth, uninterrupted strokes across both walls and ceilings, ensuring a uniform coat with minimal effort.</p><p>Constructed from durable, lightweight fiberglass, this handle is built to withstand the daily demands of a busy job site while reducing operator fatigue during extended use. The ergonomic knob allows for quick, intuitive adjustments to friction levels, giving the user complete control over the box position and pressure. It is compatible with all major brands of finishing boxes, making it a versatile and reliable addition to any professional toolkit.</p><p><strong>Features:</strong></p><ul><li><strong>Friction Brake Design:</strong> Eliminates complex mechanical linkages for a smoother, more predictable finish and a shorter learning curve.</li><li><strong>Ergonomic Control:</strong> Features an easy-to-adjust knob that allows for precise friction settings to suit individual preferences and specific job requirements.</li><li><strong>Durable Construction:</strong> Manufactured from lightweight, high-strength fiberglass that is easy to clean and resistant to job site wear.</li><li><strong>Universal Compatibility:</strong> Engineered to fit seamlessly with all major brands of automatic drywall finishing boxes.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | Model | BBH-AD | | Length | 34 inches (86 cm) | | Material | Fiberglass | | Brake Type | Friction Brake | | Warranty | 5-Year Limited (TapeTech) |</p>",,,,128.0,taxable,,1,100.0,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Handles & Extensions,"Asgard BBH-AD, brakeless box handle, drywall finishing tool, flat box handle, drywall compound tool",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/bbh-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/bbh-ad_01.webp,,,,,,,,,179.0,Brand,Asgard,1.0,1.0,,,,,Asgard Brakeless Box Handle (BBH-AD) | Friction Brake Design,"At $128, the Asgard BBH-AD brakeless box handle features a friction brake for smooth drywall compound application. Compatible with all major finishing boxes.",
Asgard,simple,CA08-AD,CA08-AD,"Asgard 8"" Drywall Angle Box (CA08-AD)",1,0,visible,"The Asgard 8"" Drywall Angle Box features a high-capacity, lightweight aluminum body and a durable stainless steel nose cone. Designed for professional efficiency, this tool provides consistent compound application for internal corners while maintaining long-term reliability on the job site.","<p><strong>Asgard 8"" Drywall Angle Box (CA08-AD)</strong> provides professional-grade efficiency for applying joint compound to internal corners. This tool is engineered to streamline the finishing process, allowing for consistent, high-volume output that reduces the need for frequent refills during demanding drywall projects.</p><p>Built with a lightweight anodized aluminum body, the unit minimizes operator fatigue while maintaining the structural durability required for daily site use. The precision-engineered stainless steel nose cone ensures a smooth, reliable flow of compound, delivering the professional results expected in high-standard finishing work.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> Optimized to hold more joint compound than smaller models, increasing productivity by extending the time between pump refills.</li><li><strong>Durable Construction:</strong> Features a rugged, anodized aluminum housing paired with a hardened stainless steel nose cone for long-term wear resistance.</li><li><strong>Professional Ergonomics:</strong> Balanced design allows for precise control and ease of handling during vertical and horizontal corner applications.</li><li><strong>System Compatibility:</strong> Designed to integrate seamlessly with standard taping tool systems and corner finishing heads.</li></ul><p><strong>Specifications:</strong></p><p>| Specification | Detail | | :--- | :--- | | Brand | Asgard | | SKU | CA08-AD | | UPC | 0873876004607 | | Tool Size | 8 Inches | | Body Material | Anodized Aluminum | | Nose Cone Material | Stainless Steel | | Warranty | 5 Year Limited Warranty |</p>",,,,270.0,taxable,,1,100.0,,0,0,1.0,1.0,1.0,1.0,,1.0,,Drywall Finishing Tools > Asgard > Corner & Angle Tools,"Asgard 8 inch angle box, CA08-AD, drywall corner tool, angle applicator, drywall finishing tools",https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ca08-ad_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ca08-ad_02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ca08-ad_03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ca08-ad_04.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ca08-ad_05.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ca08-ad_06.webp,,,,,,,,,84.0,Brand,Asgard,1.0,1.0,,,,,"Asgard 8"" Angle Box (CA08-AD) | Anodized Aluminum Body","Apply joint compound to internal corners efficiently with the Asgard 8"" Angle Box. Durable stainless steel nose cone. Professional quality for $270.",
