
Import complete! 1,298 products imported. 547 products were skipped. Failed to import 527 products. View import log. File uploaded: product-wp-catalog-insztzbimw.csv

Product	Reason for failure
Columbia 1/4-20 x 7/8" Flat Socket (FA-298), SKU FA-298	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-298.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa298_0.webp. Error: Not Found
Columbia 1/4-28 x 1/4" Set Screw (FA302), SKU FA302	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa302_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa302.webp. Error: Not Found
Columbia 1/4" x 1/2" Split Pin (FA-288), SKU FA-288	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-288.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa288.webp. Error: Not Found
Columbia 33/64 x 7/8" Flat Washer (FA-308), SKU FA-308	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-308.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa308_0.webp. Error: Not Found
Columbia 5/16-18 x 1 1/4" Hex Bolt (FA-306), SKU FA-306	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa306_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa-306.webp. Error: Not Found
Columbia 6-32 x 5/8" Hex Bolt (FA247), SKU FA247	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa247_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa247.webp. Error: Not Found
Columbia Angle Box Bearing Sleeve (CFB16), SKU CFB16	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb16_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb16.webp. Error: Not Found
Columbia Angle Box Door Hinge (CFB-15), SKU CFB-15	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb-15.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb15_0.webp. Error: Not Found
Columbia Angle Box Hinge Bushing (CFB-15A), SKU CFB-15A	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb-15a.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb15a.webp. Error: Not Found
Columbia Angle Box Hinge Seal - CFB1A (CFB-1A), SKU CFB-1A	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb1a_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb-1a.webp. Error: Not Found
Columbia Angle Head Frame Tension Spring 2" (AH7-2), SKU AH7-2	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah7-2.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah72_0.webp. Error: Not Found
Columbia Angle Head Side Blade (AH4), SKU AH4	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah4_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ah4.webp. Error: Not Found
Columbia Box Handle Mounting Plate (BH01), SKU BH01	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh01_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh01_1.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh01_2.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh01_3.webp. Error: Not Found
Columbia Box Handle Upper Mounting Bracket - BH5 (BH-5), SKU BH-5	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh5_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/bh-5.webp. Error: Not Found
Columbia CT125A - Columbia Taper Bearing (CT-125A), SKU CT-125A	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct-125a.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct125a_0.webp. Error: Not Found
Columbia CT130 - Taper Extension Shaft (CT-130), SKU CT-130	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct-130.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct130_0.webp. Error: Not Found
Columbia CT19 - Taper Paper Feed Guide (CT-19), SKU CT-19	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct-19.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct19_0.webp. Error: Not Found
Columbia CT25 - Taper Knife Guide Square Tube (CT-25), SKU CT-25	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct-25.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct25_0.webp. Error: Not Found
Columbia CT28 - Taper Roller Bushing (CT-28), SKU CT-28	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct28_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/ct-28.webp. Error: Not Found
Columbia "Sawed Off" Mini Automatic Taper (STAPER), SKU STAPER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/staper_0.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/staper.webp. Error: Not Found
Asgard 10" Flat Box (EZ10-AD), SKU EZ10-AD	A product with this SKU already exists.
Asgard 10" MaxxBox Finishing Box (EHC10-AD), SKU EHC10-AD	A product with this SKU already exists.
Asgard 10" Power Assist Finishing Box (PA10-AD), SKU PA10-AD	A product with this SKU already exists.
Asgard 10" and 12" Flat Box Combo Set (AGFLATEXT), SKU AGFLATEXT	A product with this SKU already exists.
Asgard 12" Flat Box (EZ12-AD), SKU EZ12-AD	A product with this SKU already exists.
Asgard 12" Power Assist Finishing Box (PA12-AD), SKU PA12-AD	A product with this SKU already exists.
Asgard 2.5" Angle Head (AH25-AD), SKU AH25-AD	A product with this SKU already exists.
Asgard 3" Angle Head (AH30-AD), SKU AH30-AD	A product with this SKU already exists.
Asgard 3" Nail Spotter (NS03-AD), SKU NS03-AD	A product with this SKU already exists.
Asgard 3.5" Angle Head (AH35-AD), SKU AH35-AD	A product with this SKU already exists.
Asgard 7" Flat Box (EZ07-AD), SKU EZ07-AD	A product with this SKU already exists.
Asgard 7" Power Assist Finishing Box (PA07-AD), SKU PA07-AD	A product with this SKU already exists.
Asgard 8" Drywall Angle Box (CA08-AD), SKU CA08-AD	A product with this SKU already exists.
Asgard Angle Box w/ Handle (8" w/ Extendable Handle) (4I-SJ80-1WRW), SKU 4I-SJ80-1WRW	A product with this SKU already exists.
Asgard Angle Box w/ Handle (8" w/ Fixed Handle) (4K-S6F6-8HQ6), SKU 4K-S6F6-8HQ6	A product with this SKU already exists.
Asgard Angle Head Ball Adapter (CFA-AD), SKU CFA-AD	A product with this SKU already exists.
Asgard Box Filler Adapter (FA01-AD), SKU FA01-AD	A product with this SKU already exists.
