Import complete! 815 products imported. 180 variations imported. Failed to import 137 products. View import log. File uploaded: product-wp-catalog-mlef4muyns.csv
Product	Reason for failure
Asgard Angle Head, SKU AH-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ah-ad.webp. Error: Not Found
Asgard Flat Box, SKU EZFB-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/ezfb-ad.webp. Error: Not Found
Asgard Power Assist Finishing Box, SKU PAFB-AD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pafb-ad.webp. Error: Not Found
Compound Tubes, SKU CMT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/cmt-7.webp. Error: Not Found
Platinum Corner Flusher 2.5" (PT-2.5CF), SKU PT-2.5CF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-2-5cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-2-5cf.webp. Error: Not Found
Platinum 3.5 Corner Flusher (PT-3.5CF), SKU PT-3.5CF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-3-5cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-3-5cf.webp. Error: Not Found
Platinum Flat Box Handle, SKU PT-BH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh.webp. Error: Not Found
Platinum 42" Flat Box Handle (PT-BH42), SKU PT-BH42	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh42.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-bh42.webp. Error: Not Found
Platinum Angle Head Corner Finisher with Wheels, SKU PT-CF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf.webp. Error: Not Found
Platinum 2.5" Angle Head with Wheels (PT-CF2.5), SKU PT-CF2.5	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf2-5.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf2-5.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf2-5.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf2-5.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf2-5.webp. Error: Not Found
