path,rel_path,extension,bytes_size,width,height,format,sha1,readable,reasons,keep,action,duplicate_group_size,kept_canonical_rel_path
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10030-media-1-jpg__5f522134cce61d.webp,Item-Images-AMES-10030-media-1-jpg__5f522134cce61d.webp,.webp,114984,1200,1200,WEBP,bc1fbfd2a600f54ea7f1c9a3c001d2069814e8d8,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10030-media-3-jpg__0f99f6639b4188.webp,Item-Images-AMES-10030-media-3-jpg__0f99f6639b4188.webp,.webp,39650,1200,1200,WEBP,c3d3c19201c14cbccbc15f6a79f4b41a2a2c8d13,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10030-media-5-jpg__454bb6e0f4523d.webp,Item-Images-AMES-10030-media-5-jpg__454bb6e0f4523d.webp,.webp,41296,1200,1200,WEBP,f1f25a9eeaaf45854d5c66b7cc78026bfd9fbbd0,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10030-media-6-jpg__ceac8b00ce0760.webp,Item-Images-AMES-10030-media-6-jpg__ceac8b00ce0760.webp,.webp,37990,1200,1200,WEBP,38a47ac9938c07ed4c75988d41a1d60300551604,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10030-media-7-jpg__64b497f3740d30.webp,Item-Images-AMES-10030-media-7-jpg__64b497f3740d30.webp,.webp,40750,1200,1200,WEBP,ae45c6147ecc09c32349877f074694dccb1c3dec,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10030-media-8-jpg__9c43facc6a8165.webp,Item-Images-AMES-10030-media-8-jpg__9c43facc6a8165.webp,.webp,70578,1200,1200,WEBP,5396f42edf4116cf2ba0088a518eef98097a7cc7,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10030-media-9-jpg__b3f28d232c6f31.webp,Item-Images-AMES-10030-media-9-jpg__b3f28d232c6f31.webp,.webp,73550,1200,1200,WEBP,c0e9363a893a01a777116cdf8c3cf7f6f0666e83,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10031-media-1-jpg__78e8cbacf4d53f.webp,Item-Images-AMES-10031-media-1-jpg__78e8cbacf4d53f.webp,.webp,35310,1200,1200,WEBP,7e0580ba449a70499828204fdcbcadef7d49e671,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10031-media-2-jpg__ccfb977e87cd44.webp,Item-Images-AMES-10031-media-2-jpg__ccfb977e87cd44.webp,.webp,42832,1200,1200,WEBP,dbb2c25a72f9679278db552cdd422da20406b9e5,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\Item-Images-AMES-10031-media-3-jpg__324122de182894.webp,Item-Images-AMES-10031-media-3-jpg__324122de182894.webp,.webp,61374,1200,1200,WEBP,5c7a22d358532aa37991822b02f9edcb5af655ff,True,,True,keep,1,
