canonical_id,canonical_label,sort_order,parent_id,is_subcategory,wc_category_label,brand,brand_wc_path,columbia_family_names,search_tags,notes
automatic-tapers,Automatic Tapers,10,,FALSE,Automatic Taping Tools,Asgard,Drywall Finishing Tools > Asgard > Automatic Taping Tools,,automatic taper | auto taper | taping machine | TAPER | PTAPER | STAPER,
automatic-tapers,Automatic Tapers,10,,FALSE,Automatic Taping Tools,Columbia,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Automatic Taper | Columbia One Predator Taper | Sawed Off Taper | The Predator Family is Expanding",automatic taper | auto taper | TAPER | PTAPER | STAPER | SPTAPER,
automatic-tapers,Automatic Tapers,10,,FALSE,Automatic Taping Tools,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Automatic Taping Tools,,automatic taper | auto taper | taping machine,
automatic-tapers,Automatic Tapers,10,,FALSE,Automatic Taping Tools,TapeTech,Drywall Finishing Tools > TapeTech > Automatic Taping Tools,,automatic taper | auto taper | bazooka,
semi-automatic-tapers,Semi-Automatic Tapers,20,,FALSE,Semi-Automatic Taping Tools,Columbia,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Semi Automatic Taper,SAT | semi auto taper | semi-automatic taper,
semi-automatic-tapers,Semi-Automatic Tapers,20,,FALSE,Semi-Automatic Taping Tools,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Semi-Automatic Taping Tools,,SAT | semi auto taper | semi-automatic taper,
finishing-boxes,Finishing Boxes,30,,FALSE,Flat Boxes,Asgard,Drywall Finishing Tools > Asgard > Flat Boxes,,"flat box | mud box | finishing box | automatic flat box | EZ07-AD | EZ10-AD | EZ12-AD | EHC07-AD | EHC10-AD | EHC12-AD",
finishing-boxes,Finishing Boxes,30,,FALSE,Flat Boxes,Columbia,Drywall Finishing Tools > Columbia > Flat Boxes,"Flat Boxes | Fat Boy Boxes | Automatic Flat Boxes | Inside Track Conversion Kits","flat box | mud box | FFB | FBB | inside track | 5.5FFB | 7FFB | 8FFB | 10FFB | 12FFB | 14FFB",
finishing-boxes,Finishing Boxes,30,,FALSE,Flat Boxes,Platinum Drywall Tools,Drywall Finishing Tools > Platinum Drywall Tools > Flat Boxes,,flat box | mud box | automatic flat box,
finishing-boxes,Finishing Boxes,30,,FALSE,Flat Boxes,TapeTech,Drywall Finishing Tools > TapeTech > Flat Boxes,,flat box | mud box | finishing box,
