"Type","Name","old_sku","new_sku","Parent","ParentSKU"
"simple","Columbia 8pc Starter Finishing Set with Bonus Hand Tool Set","COLATBDL3","ATBDL3","",
"simple","Columbia Basic Finishing Set with Bonus Hand Tool Set","COLATBDL4","ATBDL4","",
"simple","Columbia Basic Mud Roller and Sabre Smoothing Blade Set with Case","COLHTBDL6","HTBDL6","",
"simple","Columbia Basic One Piece Stainless Steel Hand Tool Set","COLHTBDL14","HTBDL14","",
"simple","Columbia Basic Semi - Automatic Taping Tool Set with Express Case","COLSABDL5","SABDL5","",
"simple","Columbia Basic Stainless Steel Knife and Mud Pan Set with Bucket","COLHTBDL5","HTBDL5","",
"simple","Columbia Complete Stainless Steel Putty Knife Set with Bucket","COLHTBDL8","HTBDL8","",
"simple","Columbia Essentials Stainless Steel Putty Knife Set with Bucket","COLHTBDL7","HTBDL7","",
"simple","Columbia Full Semi - Automatic Taping Tool and Sanding Set with Bonus Hand Tool Set","COLSABDL3","SABDL3","",
"simple","Columbia Full Taping Set with Carbon Fiber Taper with Bonus Hand Tool Set","COLATBDL1","ATBDL1","",
"simple","Columbia Mud Roller and Putty Knife Set","COLHTBDL15","HTBDL15","",
"simple","Columbia One Piece Stainless Steel Putty Knife Set","COLHTBDL13","HTBDL13","",
"simple","Columbia Predator Combo Set with Bonus Hand Tool Set","COLATBDL2","ATBDL2","",
"simple","Columbia Predator Full Semi - Automatic Taping Tool and Sanding Set with Bonus Hand Tool Set","COLSABDL4","SABDL4","",
"simple","Columbia Predator Semi - Automatic Taping Tool Set with Bonus Hand Tool Set","COLSABDL2","SABDL2","",
"simple","Columbia Predator Tomahawk Smoothing Blade Set with Hard Case","COLSABDL7","SABDL7","",
"simple","Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel & Hawk Set","COLHTBDL9","HTBDL9","",
"simple","Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel & Hawk Set","COLHTBDL11","HTBDL11","",
"simple","Columbia Semi - Automatic Taping Tool Set with Bonus Hand Tool Set","COLSABDL1","SABDL1","",
"simple","Columbia Silver 0.4 Curved Blade Stainless Steel Finishing Trowel & Hawk Set","COLHTBDL10","HTBDL10","",
"simple","Columbia Stainless Steel Hand Tool Finishing Set","COLHTBDL1","HTBDL1","",
"simple","Columbia Stainless Steel Knife and Mud Pan Set with Bucket","COLHTBDL4","HTBDL4","",
"simple","Columbia Stainless Steel Taping Knife Set","COLHTBDL3","HTBDL3","",
"variation","Columbia Standard Flusher and Twist - Lock Handle Set -  2.5""","COLTLBDL1","TLBDL1","COL-STANDARD-FLUSHER-AND-TWIST-LOCK-HANDLE-SET",
"variation","Columbia Standard Flusher and Twist - Lock Handle Set -  3""","COLTLBD2","TLBD2","COL-STANDARD-FLUSHER-AND-TWIST-LOCK-HANDLE-SET",
"variation","Columbia Standard Flusher and Twist - Lock Handle Set -  3"" Widetrack","COLTLBDL3","TLBDL3","COL-STANDARD-FLUSHER-AND-TWIST-LOCK-HANDLE-SET",
"variation","Columbia Standard Flusher and Twist - Lock Handle Set -  3.5""","COLTLBDL3-5","TLBDL3-5","COL-STANDARD-FLUSHER-AND-TWIST-LOCK-HANDLE-SET",
"variation","Columbia Standard Flusher and Twist - Lock Handle Set -  4""","COLTLBDL4","TLBDL4","COL-STANDARD-FLUSHER-AND-TWIST-LOCK-HANDLE-SET",
"simple","Columbia Starter Semi - Automatic Taping Tool Set with Compact Case","COLSABDL6","SABDL6","",
"simple","Columbia Super Flex 0.3 Flat Blade Stainless Steel Finishing Trowel & Hawk Set","COLHTBDL12","HTBDL12","",
