ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 default,Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 default,Attribute 2 visible,Attribute 2 global,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors
,variation,AH25AD,,"Asgard Angle Head -  2.5""",1,0,visible,"The Asgard 2.5"" Angle Head provides professional-grade corner finishing by applying and feathering joint compound in one efficient pass. Its durable stainless steel design ensures a smooth, consistent finish on every internal 90-degree joint.","<p>Asgard Angle Head - 2.5"" is a professional-grade corner finishing tool designed to apply and feather joint compound in a single, efficient pass. This precision instrument ensures that internal 90-degree corners receive a consistent coat while simultaneously smoothing the edges to minimize sanding requirements. Built for the rigors of high-volume drywall finishing, it provides the reliability and performance expected by trade professionals. The tool integrates seamlessly with standard applicator boxes and handles, making it a versatile addition to any finishing set. <strong>Features:</strong> - <strong>Precision Finishing:</strong> Delivers a perfectly feathered 2.5-inch coat on internal corners for a professional-grade result. - <strong>Stainless Steel Blades:</strong> High-quality construction ensures long-lasting durability and resistance to corrosion during heavy daily use. - <strong>Efficient Operation:</strong> Wipes and feathers both sides of the corner simultaneously, significantly increasing job site productivity. - <strong>Universal Compatibility:</strong> Designed to work with standard corner applicator boxes and finishing handles for easy integration.</p>",,,taxable,,1,,,0,0,1.0,,,,1,,,349.00,Drywall Finishing Tools > Asgard > Corner Tools,"AH25-AD, AH30-AD, AH35-AD, Asgard, Corner Tools, angle head, corner finisher, corner flusher, finisher",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ah25-ad-01.webp,,,ASGANGLEHEAD,,,,,,1,Asgard,Angle Head Size,"2.5""",,1,0,,,,,,"Asgard, AH25-AD, 2.5 inch angle head, corner tool, drywall finisher","Asgard 2.5"" Angle Head | Professional Corner Finisher","Achieve flawless 90-degree corners with the Asgard 2.5"" Angle Head. Durable stainless steel blades for smooth, efficient drywall finishing. SKU: AH25-AD.",/product/asgard-angle-head-2-5-ah25-ad/,"index, follow","Asgard 2.5"" Angle Head","corner finisher, drywall corner tool, AH25-AD, corner flusher, Asgard drywall tools",Asgard,AH25-AD,NewCondition,asgard,Asgard,variation,purchasable,corner,corner_tools,0,ASGANGLEHEAD,size,2.5_in,2.5 in,,25,0,,,,,,ready,
,variation,AH30AD,,"Asgard Angle Head -  3""",1,0,visible,"The Asgard 3"" Angle Head delivers professional-grade corner finishing by wiping and feathering joint compound in a single, efficient pass. Its durable stainless steel construction ensures long-term reliability for high-volume drywall projects.","<p>Asgard Angle Head - 3"" is a professional-grade corner finisher engineered to apply a smooth, consistent coat of joint compound to internal drywall corners. This tool attaches to a corner applicator or compound tube to wipe and feather both sides of a 90-degree angle in one efficient pass.</p><p>Constructed with a durable stainless steel frame, this 3-inch model is specifically designed for the second coat or finishing stage. It provides the necessary pressure to create crisp, sharp lines while minimizing the need for manual sanding on high-volume job sites.</p><p><strong>Features:</strong></p><ul><li><strong>Precision Finishing:</strong> Wipes and feathers both sides of internal corners simultaneously for a professional-grade result.</li><li><strong>Stainless Steel Construction:</strong> High-quality frame resists corrosion and maintains structural integrity under heavy daily use.</li><li><strong>Quick-Release Clip:</strong> Enables fast attachment and removal from applicator handles or compound tubes for improved workflow.</li><li><strong>Optimized 3-Inch Width:</strong> Sized specifically for secondary coats to provide perfect coverage and seamless feathering.</li></ul>",,,taxable,,1,,,0,0,1.05,,,,1,,,373.00,Drywall Finishing Tools > Asgard > Corner Tools,"AH25-AD, AH30-AD, AH35-AD, Asgard, Corner Tools, angle head, corner finisher, corner flusher, finisher",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ah30-ad-01.webp,,,ASGANGLEHEAD,,,,,,2,Asgard,Angle Head Size,"3""",,1,0,,,,,,"Asgard AH30-AD, 3 inch angle head, drywall finisher, corner tool, Asgard tools","Asgard 3"" Angle Head | Professional Corner Finisher","Finish internal drywall corners with the Asgard 3"" Angle Head (AH30-AD). Durable stainless steel design for smooth, professional second-coat results.",/product/asgard-angle-head-3-ah30-ad/,"index, follow","Asgard 3"" Angle Head","corner finisher, drywall corner tool, AH30-AD, corner flusher, internal corner tool",Asgard,AH30-AD,NewCondition,asgard,Asgard,variation,purchasable,corner,corner_tools,0,ASGANGLEHEAD,size,3_in,3 in,,30,0,,,,,,ready,
,variation,AH35AD,,"Asgard Angle Head -  3.5""",1,0,visible,"The Asgard Angle Head - 3.5"" is a professional corner finisher designed to wipe and feather internal drywall joints in a single pass. It provides a smooth, consistent finish for final skim coats on high-production jobsites.","<p>Asgard Angle Head - 3.5"" delivers a professional-grade finish to internal drywall corners by wiping and feathering both sides of the joint in one efficient motion. Designed for high-volume use, this tool ensures consistent compound distribution and a smooth surface for final finishing. The 3.5-inch width is specifically sized for the final skim coat, providing the necessary coverage to hide tape and create crisp, clean lines. Its durable design integrates seamlessly with standard corner applicator handles and compound tubes. <strong>Features:</strong><ul><li><strong>Stainless Steel Blades:</strong> High-quality blades provide a sharp, clean wipe and resist wear over time.</li><li><strong>Cast Aluminum Body:</strong> Offers a lightweight yet robust frame for improved control and longevity.</li><li><strong>Spring-Loaded Action:</strong> Maintains consistent pressure against the corner for a uniform finish.</li><li><strong>Universal Fit:</strong> Compatible with most major brands of corner applicator handles and compound tubes.</li></ul></p>",,,taxable,,1,,,0,0,1.15,,,,1,,,393.00,Drywall Finishing Tools > Asgard > Corner Tools,"AH25-AD, AH30-AD, AH35-AD, Asgard, Corner Tools, angle head, corner finisher, corner flusher, finisher",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ah35-ad-01.webp,,,ASGANGLEHEAD,,,,,,3,Asgard,Angle Head Size,"3.5""",,1,0,,,,,,"AH35-AD, Asgard, corner finisher, corner flusher, 3.5 inch angle head, drywall finishing","Asgard 3.5"" Angle Head | Professional Corner Finisher","Finish drywall corners faster with the Asgard 3.5"" Angle Head. Perfect for final skim coats, this tool ensures a smooth, professional finish every time.",/product/asgard-angle-head-3-5-ah35-ad/,"index, follow","Asgard 3.5"" Angle Head","corner finisher, drywall corner tool, corner flusher, AH35-AD, Asgard tools",Asgard,AH35-AD,NewCondition,asgard,Asgard,variation,purchasable,corner,corner_tools,0,ASGANGLEHEAD,size,3.5_in,3.5 in,,35,0,,,,,,ready,
,variation,EZ07AD,,"Asgard Finishing Box -  7""",1,0,visible,"The Asgard Finishing Box - 7"" delivers a precise base coat of joint compound to drywall seams with professional efficiency. Its adjustable crown settings and durable aluminum build ensure a consistent, high-quality finish on every project.","<p>Asgard Finishing Box - 7"" is a professional-grade tool engineered to apply the initial base coat of joint compound to drywall flat joints and butt joints. This high-capacity box streamlines the finishing process, providing a consistent, feathered edge that minimizes sanding and improves jobsite productivity. <p>Constructed from heavy-duty anodized aluminum, this tool is designed to withstand the rigors of daily commercial use while remaining lightweight for reduced operator fatigue. The adjustable crown dial allows for precise control over compound output, ensuring the perfect amount of material is applied to every seam.</p><h3>Features:</h3><ul><li><strong>Adjustable Blade Tension:</strong> Fine-tune the crown settings to achieve the exact finish required for different joint types.</li><li><strong>Anodized Aluminum Body:</strong> Provides exceptional durability and corrosion resistance for a longer tool lifespan.</li><li><strong>High-Capacity Design:</strong> Holds a significant volume of compound to cover more linear feet between refills.</li><li><strong>Easy-Access Pressure Plate:</strong> Opens wide for quick cleaning and routine maintenance after the job is complete.</li><li><strong>Universal Handle Fit:</strong> Compatible with all industry-standard flat box handles for maximum versatility.</li></ul></p>",,,taxable,,1,,,0,0,2.75,,,,1,,,330.00,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, Flat Boxes, EZ07-AD, EZ10-AD, EZ12-AD, automatic taping tools, flat box, flatbox",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ez07-ad-01.webp,,,ASGFINISHINGBOX,,,,,,1,Asgard,Size,"7""",,1,0,,,,,,"Asgard, EZ07-AD, 7 inch flat box, drywall box, taping tool","Asgard 7"" Finishing Box | Professional Flat Joint Base Coat","The Asgard 7"" Finishing Box EZ07-AD provides a consistent base coat for drywall joints. Durable aluminum construction for professional finishing results.",/product/asgard-finishing-box-7-ez07-ad/,"index, follow","Asgard 7"" Finishing Box","drywall flat box, automatic taping tools, EZ07-AD, joint compound applicator, drywall finishing",Asgard,EZ07-AD,NewCondition,asgard,Asgard,variation,purchasable,finishing,finishing_boxes,0,ASGFINISHINGBOX,size,7_in,7 in,,70,0,,,,,,ready,
,variation,EZ10AD,,"Asgard Finishing Box -  10""",1,0,visible,The Asgard 10-inch Finishing Box delivers a professional feathered finish on drywall flat joints with adjustable crown control. It is the industry standard for efficient second-coat application in high-production environments.,"<p>Asgard Finishing Box - 10"" is a professional-grade drywall tool engineered to apply a perfectly feathered second coat of joint compound over flat seams. This 10-inch model provides the ideal width for covering tape and initial fill coats, ensuring a smooth transition that significantly reduces sanding time.</p><p>Constructed for high-volume production, the EZ10-AD features a robust pressure plate and adjustable tension settings to accommodate various compound consistencies. Its durable design integrates seamlessly with all standard flat box handles, providing the control and reliability required for elite drywall finishing.</p><p><strong>Features:</strong></p><ul><li><strong>Adjustable Crown Control:</strong> The integrated dial allows for precise adjustment of the compound output to achieve the exact crown height needed for every joint.</li><li><strong>High-Capacity Reservoir:</strong> Designed to hold a substantial volume of mud, minimizing refills and maximizing efficiency on large-scale residential or commercial projects.</li><li><strong>Hardened Steel Blades:</strong> Equipped with a long-lasting blade system that maintains a sharp, clean edge for consistent compound distribution.</li><li><strong>Easy-Clean Design:</strong> Features a simplified internal structure that allows for rapid cleanup and straightforward maintenance at the end of the shift.</li></ul>",,,taxable,,1,,,0,0,3.3,,,,1,,,346.00,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, Flat Boxes, EZ07-AD, EZ10-AD, EZ12-AD, automatic taping tools, flat box, flatbox",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ez10-ad-01.webp,,,ASGFINISHINGBOX,,,,,,2,Asgard,Size,"10""",,1,0,,,,,,"Asgard 10 box, EZ10AD, 10 inch flatbox, drywall finishing box, Asgard flat box","Asgard 10"" Finishing Box | EZ10-AD Professional Flat Box","The Asgard 10"" Finishing Box (EZ10-AD) provides precise joint compound application for second coats. Durable, adjustable, and built for drywall pros.",/product/asgard-finishing-box-10-ez10-ad/,"index, follow",Asgard 10 inch Finishing Box,"EZ10-AD, drywall flat box, automatic taping tools, joint compound applicator, Asgard tools",Asgard,EZ10-AD,NewCondition,asgard,Asgard,variation,purchasable,finishing,finishing_boxes,0,ASGFINISHINGBOX,size,10_in,10 in,,100,0,,,,,,ready,
,variation,EZ12AD,,"Asgard Finishing Box -  12""",1,0,visible,"Asgard Finishing Box - 12"" delivers a professional-grade final coat for drywall flat joints, featuring adjustable crown control for a perfectly feathered finish. This high-capacity tool streamlines the finishing process with durable stainless steel components and an easy-to-clean design.","<p>Asgard Finishing Box - 12"" is a high-capacity professional tool engineered for the final coat application on drywall flat joints. It provides a consistent, feathered finish that significantly reduces the time and effort required compared to manual hand-finishing methods. Built with a focus on durability and precision, this 12-inch box allows contractors to achieve trade-quality results with every pass. The adjustable crown dial provides total control over the amount of joint compound applied, ensuring the perfect amount of mud for any job site requirement. The pressure plate is designed to open wide, allowing for rapid cleaning and maintenance after use.<h3>Professional Finishing Performance</h3>The EZ12-AD model is constructed with high-grade materials to withstand the rigors of daily use on commercial and residential job sites. Its stainless steel blades offer long-lasting performance and a smooth application that minimizes sanding time.<strong>Features:</strong>- <strong>Adjustable Crown Control:</strong> Easily fine-tune the mud application to achieve the perfect feathered edge on flat joints.- <strong>High-Capacity Reservoir:</strong> Holds a significant volume of joint compound to maximize coverage between refills.- <strong>Easy-Clean Pressure Plate:</strong> Features a wide-opening design for fast, thorough cleaning and reduced downtime.- <strong>Stainless Steel Blades:</strong> Provides a precise, smooth finish while resisting wear and corrosion over time.- <strong>Anodized Aluminum Construction:</strong> Offers a lightweight yet rugged build for improved maneuverability and tool longevity.</p>",,,taxable,,1,,,0,0,3.85,,,,1,,,361.00,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, Flat Boxes, EZ07-AD, EZ10-AD, EZ12-AD, automatic taping tools, flat box, flatbox",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ez12-ad-01.webp,,,ASGFINISHINGBOX,,,,,,3,Asgard,Size,"12""",,1,0,,,,,,"EZ12-AD, Asgard 12, flatbox, drywall finisher, mud box","Asgard 12"" Finishing Box | Professional Flat Joint Tool","The Asgard 12"" Finishing Box (EZ12-AD) delivers a perfect final coat on drywall joints. High-capacity design with adjustable crown control for trade pros.",/product/asgard-finishing-box-12-ez12-ad/,"index, follow",Asgard 12 inch finishing box,"EZ12-AD, drywall flat box, automatic taping tools, Asgard flat box, 12 inch drywall box",Asgard,EZ12-AD,NewCondition,asgard,Asgard,variation,purchasable,finishing,finishing_boxes,0,ASGFINISHINGBOX,size,12_in,12 in,,120,0,,,,,,ready,
,variation,EHC07AD,,"Asgard MAXXBOX Finishing Box -  7""",1,0,visible,"The Asgard MAXXBOX 7-inch Finishing Box delivers high-capacity mud storage for efficient base-coat application on drywall joints. Its adjustable tension settings ensure a precise, professional finish with fewer refills required.","<p>Asgard MAXXBOX Finishing Box - 7"" is a high-capacity drywall tool engineered to apply the initial base coat of joint compound over flat seams and butt joints. This 7-inch model holds significantly more mud than standard flat boxes, reducing the frequency of refills and increasing job site productivity for professional finishers.</p><p>Built for professional durability, the MAXXBOX features an adjustable blade dial to control the crown of the compound, ensuring a consistent finish across every joint. Its robust construction is designed to withstand the rigors of daily commercial use while maintaining the precise application standards required for high-quality drywall work.</p><p><strong>Features:</strong></p><ul><li><strong>High-Capacity Design:</strong> Holds a larger volume of joint compound than traditional boxes to minimize downtime and maximize coverage per fill.</li><li><strong>Adjustable Blade Tension:</strong> Features a precision dial to easily control the amount of mud applied, allowing for a perfect crown on every seam.</li><li><strong>Durable Construction:</strong> Manufactured with high-grade materials to ensure long-term reliability and performance in demanding environments.</li><li><strong>Easy Maintenance:</strong> Designed for quick cleaning and simple blade replacement to keep your workflow moving without technical delays.</li></ul>",,,taxable,,1,,,0,0,4.0,,,,1,,,403.00,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, Flat Boxes, EHC07-AD, EHC10-AD, EHC12-AD, MAXXBOX, finishing box, flat box, flatbox, maxx box",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ehc07-ad-01.webp,,,ASGMAXXBOXFINISHINGBOX,,,,,,1,Asgard,Size,"7""",,1,0,,,,,,"Asgard EHC07-AD, 7in flatbox, maxx box 7, drywall finishing box, automatic taping tools","Asgard MAXXBOX 7"" Finishing Box | High-Capacity Base Coat","The Asgard MAXXBOX 7"" Finishing Box (EHC07-AD) provides maximum mud capacity for efficient drywall base coats. Durable, adjustable, and professional-grade.",/product/asgard-maxxbox-finishing-box-7-ehc07-ad/,"index, follow","Asgard MAXXBOX 7"" Finishing Box","drywall flat box, 7 inch finishing box, EHC07-AD, high capacity flat box, drywall taping tools",Asgard,EHC07-AD,NewCondition,asgard,Asgard,variation,purchasable,finishing,finishing_boxes,0,ASGMAXXBOXFINISHINGBOX,size,7_in,7 in,,70,0,,,,,,ready,
,variation,EHC10AD,,"Asgard MAXXBOX Finishing Box -  10""",1,0,visible,The Asgard 10-inch MAXXBOX finishing box provides high-capacity mud storage and precision application for professional drywall finishing. Its durable design reduces refill frequency while ensuring a perfectly feathered edge on flat seams.,"<p>Asgard MAXXBOX Finishing Box - 10"" is a high-capacity drywall tool engineered to streamline the application of joint compound to flat seams. This 10-inch model features an expanded reservoir that holds significantly more mud than standard flat boxes, allowing professionals to cover more area with fewer interruptions for refills. <p>The precision-machined design ensures a consistent, feathered finish on every pass, reducing the need for excessive sanding. Built for long-term reliability, it integrates seamlessly with standard flat box handles to provide smooth control and balanced operation during high-volume finishing tasks.</p><h3>Features:</h3><ul><li><strong>High-Capacity Reservoir:</strong> Holds a larger volume of joint compound to maximize efficiency and reduce downtime on the job site.</li><li><strong>Adjustable Blade Tension:</strong> Features a dial to precisely control the amount of compound applied for a perfect finish.</li><li><strong>Durable Construction:</strong> Manufactured with high-grade materials designed to withstand the daily rigors of professional drywall work.</li><li><strong>Easy Maintenance:</strong> Engineered for quick cleaning and simple blade replacement to ensure consistent performance over time.</li></ul></p>",,,taxable,,1,,,0,0,4.5,,,,1,,,413.00,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, Flat Boxes, EHC07-AD, EHC10-AD, EHC12-AD, MAXXBOX, finishing box, flat box, flatbox, maxx box",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ehc10-ad-01.webp,,,ASGMAXXBOXFINISHINGBOX,,,,,,2,Asgard,Size,"10""",,1,0,,,,,,"Asgard EHC10-AD, 10 inch flatbox, maxx box drywall, professional finishing box, Asgard flat box","Asgard 10"" MAXXBOX Finishing Box | High-Capacity Flat Box","The Asgard 10"" MAXXBOX (EHC10-AD) holds more mud for faster drywall finishing. Achieve a professional feathered edge with this high-capacity flat box.",/product/asgard-10-inch-maxxbox-finishing-box-ehc10-ad/,"index, follow","Asgard 10"" MAXXBOX Finishing Box","EHC10-AD, high capacity flat box, drywall finishing tool, joint compound applicator, professional flatbox",Asgard,EHC10-AD,NewCondition,asgard,Asgard,variation,purchasable,finishing,finishing_boxes,0,ASGMAXXBOXFINISHINGBOX,size,10_in,10 in,,100,0,,,,,,ready,
,variation,EHC12AD,,"Asgard MAXXBOX Finishing Box -  12""",1,0,visible,"The Asgard MAXXBOX 12"" Finishing Box offers high-capacity mud storage and adjustable crown control for efficient, professional-grade drywall finishing. Its durable construction ensures long-lasting performance and a perfect feathered finish on every flat joint.","<p>Asgard MAXXBOX Finishing Box - 12"" provides professional drywallers with a high-capacity solution for finishing flat joints with speed and precision. This 12-inch model is engineered to hold a larger volume of joint compound, significantly reducing the time spent refilling and allowing for longer continuous runs on the job site.</p><p>The tool features an adjustable crown setting that gives the user complete control over the amount of mud applied, ensuring a perfectly feathered edge every time. Its robust construction is paired with a user-friendly design that integrates seamlessly with standard finishing handles for reliable daily performance.</p><p><strong>Features:</strong></p><ul><li><strong>Increased Mud Capacity:</strong> The MAXXBOX design holds more compound than standard boxes for improved workflow efficiency.</li><li><strong>Precision Crown Adjustment:</strong> Easily tune the blade tension to achieve the desired finish on various joint types.</li><li><strong>Hard-Wearing Components:</strong> Built with high-quality materials to ensure longevity and consistent performance in demanding environments.</li><li><strong>Smooth Operation:</strong> The pivoting axle and pressure plate design provide effortless application across wall and ceiling surfaces.</li></ul>",,,taxable,,1,,,0,0,5.0,,,,1,,,458.00,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, Flat Boxes, EHC07-AD, EHC10-AD, EHC12-AD, MAXXBOX, finishing box, flat box, flatbox, maxx box",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-ehc12-ad-01.webp,,,ASGMAXXBOXFINISHINGBOX,,,,,,3,Asgard,Size,"12""",,1,0,,,,,,"EHC12-AD, Asgard 12 inch, Maxx Box 12, drywall flat box, finishing tools","Asgard MAXXBOX Finishing Box - 12"" | High-Capacity","The Asgard MAXXBOX Finishing Box - 12"" (EHC12-AD) offers high-capacity mud storage for fewer refills and a professional feathered finish on flat joints.",/product/asgard-maxxbox-finishing-box-12-ehc12-ad/,"index, follow","Asgard MAXXBOX Finishing Box - 12""","high capacity flat box, adjustable crown box, professional drywall tools, EHC12-AD finishing box",Asgard,EHC12-AD,NewCondition,asgard,Asgard,variation,purchasable,finishing,finishing_boxes,0,ASGMAXXBOXFINISHINGBOX,size,12_in,12 in,,120,0,,,,,,ready,
,variation,PA07AD,,"Asgard Power Assist MAXXBOX Finishing Box -  7""",1,0,visible,"The Asgard Power Assist MAXXBOX 7"" Finishing Box combines high-capacity mud storage with a spring-loaded mechanism to reduce physical strain during base-coat application. It is the professional choice for increasing speed and efficiency on flat drywall joints.","<p>Asgard Power Assist MAXXBOX Finishing Box - 7"" is a high-capacity solution engineered to streamline the initial coating of drywall joints. By integrating a spring-loaded pressure plate, this tool significantly reduces the physical force required to dispense joint compound, allowing for faster application with less operator fatigue. This 7-inch model is specifically designed for the base coat, providing the necessary coverage to bury tape while maintaining a professional finish.</p><p>The MAXXBOX design holds significantly more mud than standard flat boxes, meaning fewer trips to the loading pump and more time spent finishing. Its robust construction and adjustable settings ensure consistent performance across various job site conditions.</p><h3>Features:</h3><ul><li><strong>Power Assist Technology:</strong> A spring-activated pressure plate assists in pushing mud out of the box, reducing the physical effort needed during the stroke.</li><li><strong>MAXXBOX High Capacity:</strong> Designed to hold a larger volume of compound than traditional boxes, maximizing efficiency and workflow.</li><li><strong>Adjustable Crown Control:</strong> Features a precision dial to regulate the amount of mud applied, ensuring the perfect crown for every joint.</li><li><strong>Pivoting Axle:</strong> The axle helps compensate for uneven wall surfaces, maintaining a smooth and consistent finish.</li><li><strong>Easy Clean Design:</strong> Built with high-quality components that allow for quick teardown and thorough cleaning after use.</li></ul>",,,taxable,,1,,,0,0,3.0,,,,1,,,472.00,Drywall Finishing Tools > Asgard > Finishing Boxes,"Asgard, Flat Boxes, PA07-AD, PA10-AD, PA12-AD, auto box, auto flat, auto flat box, automatic, finishing box, flat box, power assist",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-pa07-ad-01.webp,,,ASGPOWERASSISTMAXXBOXFINISHINGBOX,,,,,,1,Asgard,Size,"7""",,1,0,,,,,,"Asgard, PA07-AD, 7 inch flat box, power assist box, maxxbox, drywall finishing","Asgard 7"" Power Assist MAXXBOX | High-Capacity Flat Box","Boost efficiency with the Asgard 7"" Power Assist MAXXBOX. High-capacity design with spring-loaded pressure for faster, easier drywall base coats.",/product/asgard-power-assist-maxxbox-7-pa07-ad/,"index, follow","Asgard 7"" Power Assist MAXXBOX","PA07-AD, drywall flat box, automatic finishing box, high capacity drywall box, power assist flat box",Asgard,PA07-AD,NewCondition,asgard,Asgard,variation,purchasable,finishing,finishing_boxes,0,ASGPOWERASSISTMAXXBOXFINISHINGBOX,size,7_in,7 in,,70,0,,,,,,ready,
