Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 used for variations,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 used for variations,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 used for variations,Attribute 3 global,Meta: _mpn
variable,TT-TAPETECH-PREMIUM-FINISHING-KNIFE,,TapeTech Premium Finishing Knife,1,0,visible,"An improved range of premium finishing knives for smoothing joint compound. Featuring a replaceable blade and redesigned grip profile, TapeTech premium finishing knives are the most ergonomic smoothing knives available.","<p>Introducing an improved range of premium finishing knives for smoothing joint compound. Featuring a replaceable blade and redesigned grip profile, TapeTech premium finishing knives are the most ergonomic smoothing knives available. The new handle adapter is more robust, provides quick angle adjustment and improved durability. Best Quality AND Best Value, these premium finishing knives offer the best value in the industry. Up to 49% less than other brands, TapeTech makes it possible for every finisher to achieve the best results! Features: Optimal Comfort, Control And Ergonomics Molded Texture Provides Superior Grip Stainless Steel Blade 33% Lighter Than Competitive Brands Blades Are Now Easily Replaceable 49% Less Than Other Brands</p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Knives,"TapeTech, drywall tools, drywall finishing, finishing knife, drywall finishing knife, stainless steel blade, replaceable blade, ergonomic, smoothing knife, premium finishing knife, joint compound knife",,,,,,,,,,,1,TapeTech,Size,"7"" | 12"" | 14"" | 18"" | 24"" | 32"" | 40"" | 48""",1,1,1,,,,,,,,,,,"PFK07TT, PFK12TT, PFK14TT, PFK18TT, PFK24TT, PFK32TT, PFK40TT, PFK48TT"
variation,PFK07TT,,"TapeTech Premium Finishing Knife – 7""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Knives,"TapeTech, drywall tools, drywall finishing, finishing knife, drywall finishing knife, joint compound knife, replaceable blade, ergonomic handle, stainless steel blade, smoothing knife, drywall knife, premium finishing knife",,,,,TT-TAPETECH-PREMIUM-FINISHING-KNIFE,,,,,,2,TapeTech,Size,"7""",,,1,,,,,,,,,,,PFK07TT
variation,PFK12TT,,"TapeTech Premium Finishing Knife – 12""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Knives,"TapeTech, drywall tools, drywall finishing, finishing knife, drywall finishing knife, joint compound knife, replaceable blade, ergonomic handle, stainless steel blade, smoothing knife, drywall knife, premium finishing knife",,,,,TT-TAPETECH-PREMIUM-FINISHING-KNIFE,,,,,,3,TapeTech,Size,"12""",,,1,,,,,,,,,,,PFK12TT
variation,PFK14TT,,"TapeTech Premium Finishing Knife – 14""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Knives,"TapeTech, drywall tools, drywall finishing, finishing knife, drywall finishing knife, joint compound knife, replaceable blade, ergonomic handle, stainless steel blade, smoothing knife, drywall knife, premium finishing knife",,,,,TT-TAPETECH-PREMIUM-FINISHING-KNIFE,,,,,,4,TapeTech,Size,"14""",,,1,,,,,,,,,,,PFK14TT
variation,PFK18TT,,"TapeTech Premium Finishing Knife – 18""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Knives,"TapeTech, drywall tools, drywall finishing, finishing knife, drywall finishing knife, joint compound knife, replaceable blade, ergonomic handle, stainless steel blade, smoothing knife, drywall knife, premium finishing knife",,,,,TT-TAPETECH-PREMIUM-FINISHING-KNIFE,,,,,,5,TapeTech,Size,"18""",,,1,,,,,,,,,,,PFK18TT
variation,PFK24TT,,"TapeTech Premium Finishing Knife – 24""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Knives,"TapeTech, drywall tools, drywall finishing, finishing knife, drywall finishing knife, joint compound knife, replaceable blade, ergonomic handle, stainless steel blade, smoothing knife, drywall knife, premium finishing knife",,,,,TT-TAPETECH-PREMIUM-FINISHING-KNIFE,,,,,,6,TapeTech,Size,"24""",,,1,,,,,,,,,,,PFK24TT
variation,PFK32TT,,"TapeTech Premium Finishing Knife – 32""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Knives,"TapeTech, drywall tools, drywall finishing, finishing knife, drywall finishing knife, joint compound knife, replaceable blade, ergonomic handle, stainless steel blade, smoothing knife, drywall knife, premium finishing knife",,,,,TT-TAPETECH-PREMIUM-FINISHING-KNIFE,,,,,,7,TapeTech,Size,"32""",,,1,,,,,,,,,,,PFK32TT
variation,PFK40TT,,"TapeTech Premium Finishing Knife – 40""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Knives,"TapeTech, drywall tools, drywall finishing, finishing knife, drywall finishing knife, joint compound knife, replaceable blade, ergonomic handle, stainless steel blade, smoothing knife, drywall knife, premium finishing knife",,,,,TT-TAPETECH-PREMIUM-FINISHING-KNIFE,,,,,,8,TapeTech,Size,"40""",,,1,,,,,,,,,,,PFK40TT
variation,PFK48TT,,"TapeTech Premium Finishing Knife – 48""",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Knives,"TapeTech, drywall tools, drywall finishing, finishing knife, drywall finishing knife, joint compound knife, replaceable blade, ergonomic handle, stainless steel blade, smoothing knife, drywall knife, premium finishing knife",,,,,TT-TAPETECH-PREMIUM-FINISHING-KNIFE,,,,,,9,TapeTech,Size,"48""",,,1,,,,,,,,,,,PFK48TT
variable,TT-X-PREMIUM-GOLD-STAINLESS-STEEL-MAXFLEXX-FINISHING-TROWEL,,TapeTech X Premium Gold Stainless Steel MAXFLEXX Finishing Trowel,1,0,visible,"Premium MAXFLEXX finishing trowels provide the highest level of flexibility and control for a superior final coat on drywall, plaster, EIFS, stucco, concrete, epoxy, and micro-cement.","<p>TapeTech Premium MAXFLEXX finishing trowels provide the highest amount of flexibility and control, producing the ultimate finish on drywall, plaster, EIFS, stucco, concrete, epoxy and micro-cement. Crafted using 0.3 mm European triple-hardened gold stainless steel, these trowels ensure maximum performance and long life. The ProSoft handle is slip-resistant and comfortable to reduce user fatigue. MAXFLEXX finishing trowels are the perfect tool for the final coat.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > TapeTech > Finishing Trowels,"TapeTech, drywall tools, drywall finishing, finishing trowel, drywall trowel, EIFS trowel, stucco trowel, plaster trowel, ProSoft grip, gold stainless steel, maxflexx",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-12-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG12053-PS-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-12-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG12053-PS-02.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-12-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG12053-PS-03.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-12-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG12053-PS-04.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-12-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG12053-PS-05.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-14-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG14053-PS-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-14-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG14053-PS-02.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-14-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG14053-PS-03.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-14-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG14053-PS-04.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-14-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG14053-PS-05.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-16-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG16053-PS-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-16-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG16053-PS-02.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-16-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG16053-PS-03.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-16-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG16053-PS-04.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-16-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG16053-PS-05.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-18-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG18053-PS-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-18-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG18053-PS-02.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-18-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG18053-PS-03.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-18-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG18053-PS-04.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-18-x-4-3-premium-gold-stainless-steel-finishing-trowel-TG18053-PS-05.webp,,,,,,,,,10,TapeTech,Size,"12"" x 4.3"" | 14"" x 4.3"" | 16"" x 4.3"" | 18"" x 4.3""",1,1,1,,,,,,,,,,,"TG12053-PS, TG14053-PS, TG16053-PS, TG18053-PS"
