brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes
Columbia,PC1H,PC1H,Predator One Handle 4',,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PC1H,PC1HEXT Predator Extendable 3'-5',pdf_text,sku_found_in_pdf_text,,,
Columbia,PC1HEXT,PC1HEXT,Predator Extendable 3'-5',,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PC1HEXT,PC1HEXT Predator Extendable 3'-5',pdf_text,sku_found_in_pdf_text,,,
Columbia,PCHXL,PCHXL,Predator Long Extendable 4'-8',,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PCHXL,PCHXL Predator Long Extendable 4'-8' PMHL,pdf_text,sku_found_in_pdf_text,,,
Columbia,PCLT42,PCLT42,"Predator Camlock Tube 42""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PCLT42,"PCLT42 Predator Camlock Tube 42""",pdf_text,sku_found_in_pdf_text,,,
Columbia,PCMT42,PCMT42,"Predator Compound Tube 42""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PCMT42,"PCMT42 Predator Compound Tube 42""",pdf_text,sku_found_in_pdf_text,,,
Columbia,PHMP,PHMP,Predator Mud Pump,,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PHMP,PHMP Predator Mud Pump,pdf_text,sku_found_in_pdf_text,,,
Columbia,PMH,PMH,"Predator Matrix Handle 40""-60""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PMH,PCLT42 PMHS,pdf_text,sku_found_in_pdf_text,,,
Columbia,PMHL,PMHL,"Predator Matrix Handle Long 56""-76""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PMHL,PCHXL Predator Long Extendable 4'-8' PMHL,pdf_text,sku_found_in_pdf_text,,,
Columbia,PMHS,PMHS,"Predator Matrix Handle Short 29""-39""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PMHS,PCLT42 PMHS,pdf_text,sku_found_in_pdf_text,,,
Columbia,PTS,PTS,Predator Tactical Set,,Columbia Family of Sets,tool_set,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,4,3,PTS,need to completely finish a job. PTS Predator Tactical Set,pdf_text,sku_found_in_pdf_text,,,
Columbia,SACS,SACS,Commando Set,,Columbia Family of Sets,tool_set,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,4,3,SACS,SACS Commando Set,pdf_text,sku_found_in_pdf_text,,,
Columbia,TS,TS,Tactical Set,,Columbia Family of Sets,tool_set,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,4,3,TS,COLUMBIA FAMILY OF SETS,pdf_text,sku_found_in_pdf_text,,,
Columbia,TWS,TWS,Warrior Set,,Columbia Family of Sets,tool_set,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,4,3,TWS,Each set comes complete with a Columbia case to protect TWS Warrior Set,pdf_text,sku_found_in_pdf_text,,,
Columbia,PTAPER,PTAPER,Columbia Predator (Carbon Fiber) (53 inch length),,Automatic Taper,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,6,5,PTAPER,PTAPER Columbia Predator,pdf_text,sku_found_in_pdf_text,,,
Columbia,SPTAPER,SPTAPER,Columbia Predator Sawed Off (Carbon Fiber) (39 inch length),,Automatic Taper,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,6,5,SPTAPER,SPTAPER Columbia Predator Sawed Off,pdf_text,sku_found_in_pdf_text,,,
Columbia,STAPER,STAPER,Columbia Sawed Off Taper (39 inch length),,Automatic Taper,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,6,5,STAPER,STAPER Columbia Sawed Off Taper,pdf_text,sku_found_in_pdf_text,,,
Columbia,TAPER,TAPER,Columbia Automatic Taper (53 inch length),,Automatic Taper,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,6,5,TAPER,AUTOMATIC TAPER,pdf_text,sku_found_in_pdf_text,,,
Columbia,CC,CC,Corner Cobra,,Corner Rollers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,8,7,CC,CC Corner Cobra,pdf_text,sku_found_in_pdf_text,,,
Columbia,CR,CR,Corner Roller,,Corner Rollers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,8,7,CR,Item No. Description,pdf_text,sku_found_in_pdf_text,,,
Columbia,CBNCR,CBNCR,Bullnose Outside Corner Roller,,Outside Corner Rollers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,9,8,CBNCR,CBNCR Bullnose Outside Corner Roller,pdf_text,sku_found_in_pdf_text,,,
Columbia,COBCR,COBCR,Standard Outside Corner Roller,,Outside Corner Rollers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,9,8,COBCR,COBCR Standard Outside Corner Roller,pdf_text,sku_found_in_pdf_text,,,
Columbia,COBCRE,COBCRE,European Outside Corner Roller,,Outside Corner Rollers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,9,8,COBCRE,COBCRE European Outside Corner Roller,pdf_text,sku_found_in_pdf_text,,,
Columbia,COBCRW,COBCRW,Wide Outside Corner Roller,,Outside Corner Rollers,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,9,8,COBCRW,COBCRW Wide Outside Corner Roller,pdf_text,sku_found_in_pdf_text,,,
Columbia,2.5AH,2.5AH,"2.5"" Angle Head",,Angle Heads,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,10,9,2.5AH,2.5AH 2.5” Angle Head,pdf_text,sku_found_in_pdf_text,,,
Columbia,2AH,2AH,"2"" Angle Head",,Angle Heads,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,10,9,2AH,2AH 2” Angle Head,pdf_text,sku_found_in_pdf_text,,,
Columbia,3.5AH,3.5AH,"3.5"" Angle Head",,Angle Heads,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,10,9,3.5AH,3.5AH 3.5” Angle Head,pdf_text,sku_found_in_pdf_text,,,
Columbia,3AH,3AH,"3"" Angle Head",,Angle Heads,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,10,9,3AH,3AH 3” Angle Head,pdf_text,sku_found_in_pdf_text,,,
Columbia,AHA,AHA,Angle Head Adapter,Anglehead Adapter,Angle Heads; Columbia One,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,10; 17,9; 16,AHA,AHA Angle Head Adapter; AHA Anglehead Adapter,pdf_text,sku_found_in_pdf_text,,,
Columbia,7CFB,7CFB,"7"" Corner Flusher Box",,Throttle Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,10,7CFB,quick clean. 7CFB 7” Corner Flusher Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,8CFB,8CFB,"8"" Corner Flusher Box",,Throttle Boxes,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,11,10,8CFB,8CFB 8” Corner Flusher Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,10FBB,10FBB,"10"" Fat Boy Flat Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,10FBB,10FBB 10“ Fat Boy Flat Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,10FFB,10FFB,"10"" Flat Finisher Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,10FFB,10FFB 10” Flat Finisher Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,12FBB,12FBB,"12"" Fat Boy Flat Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,12FBB,12FBB 12” Fat Boy Flat Box,pdf_text,sku_found_in_pdf_text,,,
Columbia,12FFB,12FFB,"12"" Flat Finisher Box",,Flat Finisher Box,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,12,11,12FFB,12FFB 12“ Flat Finisher Box,pdf_text,sku_found_in_pdf_text,,,
