"schematic_id","part_id","part_name","qty","source_sku"
"columbia-180-grip-flat-box-handle-sch","FA 302","1/4-28 X 1/4in Set Screw (FA302)","","FA302"
"columbia-180-grip-flat-box-handle-sch","BH 7","Box Handle Cam Follower - BH7 (BH07)","","BH7"
"columbia-180-grip-flat-box-handle-sch","FA 268","#10 Flat Washer (FA268)","","FA268"
"columbia-180-grip-flat-box-handle-sch","BH 26","Box Handle Cam for 180 Handle (BH26)","","BH26"
"columbia-180-grip-flat-box-handle-sch","FA 312","10-24 X 1/4"" Set Screw (FA312)","","FA312"
"columbia-180-grip-flat-box-handle-sch","BH2","Box Handle 180 Grip Plate (BH2)","","BH2"
"columbia-180-grip-flat-box-handle-sch","BH 6","Box Handle Hinge Pin (BH6)","","BH6"
"columbia-180-grip-flat-box-handle-sch","BH 1","Box Handle Mounting Plate (BH01)","","BH1"
"columbia-180-grip-flat-box-handle-sch","FA 265","8-32 x ¾"" Truss Slot (FA265)","","FA265"
"columbia-180-grip-flat-box-handle-sch","FA 257","8-32 x ¼"" Fillister Slot (FA257)","","FA257"
"columbia-180-grip-flat-box-handle-sch","FA 260","8-32 x 3/4 Socket Head Screw (FA260)","","FA260"
"columbia-180-grip-flat-box-handle-sch","BH 5","Box Handle Upper Mounting Bracket - BH5 (BH-5)","","BH5"
"columbia-180-grip-flat-box-handle-sch","FA 311","5/16-18 Hex Nut (FA311)","","FA311"
"columbia-180-grip-flat-box-handle-sch","BH 8-3'","3 ft Box Handle 8 in (BH8-3)","","BH83"
"columbia-180-grip-flat-box-handle-sch","BH 9-3'","3 ft Box Handle 9 in (BH9-3)","","BH93"
"columbia-180-grip-flat-box-handle-sch","FA 260","8-32 x 3/4 Socket Head Screw (FA260)","","FA260"
"columbia-180-grip-flat-box-handle-sch","FA 202","1/16"" x 1/2"" Split Pin (FA202)","","FA202"
"columbia-180-grip-flat-box-handle-sch","BH 4","Flat Box Handle Lower Brake Lever (BH4)","","BH4"
"columbia-180-grip-flat-box-handle-sch","BH 3","Lower Mounting Bracket (BH3)","","BH3"
"columbia-180-grip-flat-box-handle-sch","BH 11","Flat Box Handle Strap Connecting Pin - BH11 (BH-11)","","BH11"
"columbia-180-grip-flat-box-handle-sch","FA 276","10-24 X 7/8 Pan Head Screw (FA276)","","FA276"
"columbia-180-grip-flat-box-handle-sch","BH 24A","Box Handle Door Clip Assembly (BH24A)","","BH24A"
"columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch","CF 4L","Ball Spring Long Flusher (CF4L)","","CF4L"
"columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch","ICATW 2","Inside 90 Applicator with Wheels (ICATW)","","ICATW2"
"columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch","CEXT 3","Wheel for ICATW (CEXT3)","","CEXT3"
"columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch","CEXT 3","Wheel for ICATW (CEXT3)","","CEXT3"
"columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch","ICATW 2","Inside 90 Applicator with Wheels (ICATW)","","ICATW2"
"columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch","ICATW 1","Inside 90 Applicator with Wheels (ICATW)","","ICATW1"
"columbia-standard-flusher-sch","CF4L","Ball Spring Long Flusher (CF4L)","","CF4L"
"columbia-standard-flusher-sch","CF1B","Direct Plate - Flusher (CF1B)","","CF1B"
"columbia-standard-flusher-sch","FA256","8-32 x 3/16"" Pan Slot SS Screw (FA256)","","FA256"
"columbia-standard-flusher-sch","FA324","10-24 x 1/4 Set Screw (FA324)","","FA324"
"columbia-standard-flusher-sch","FA236","6-32 x 1/8"" Binder Slot (FA236)","","FA236"
"columbia-standard-flusher-sch","CF3A","Screw for Corner Flusher Wheel (CF3A)","","CF3A"
"columbia-standard-flusher-sch","CF3B","Wheel for Corner Flusher (CF-3B)","","CF3B"
"columbia-standard-flusher-sch","FA377","6-32 x 1/4 Flat Head Screw (FA377)","","FA377"
"columbia-standard-flusher-sch","FA237","6-32 x 3/16 Binder Slot Screw (FA237)","","FA237"
"columbia-standard-flusher-sch","CF3","Skid - Flusher (CF3)","","CF3"
"columbia-standard-flusher-sch","CF1A","Direct Plate - Flusher (CF1B)","","CF1A"
"columbia-standard-flusher-sch","FA271","6-32 x 5/16 Pan Head Screw (FA271)","","FA271"
"columbia-standard-flusher-sch","CF2","Corner Flusher Wheel Retainer (CF2)","","CF2"
