ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _dtb_official_source_url,Meta: _dtb_official_source_family,Meta: _dtb_copy_quality,Meta: _dtb_copy_refined_at
,variable,COL-FLAT-FINISHER-BOX,,Columbia Flat Finisher Box,1,0,visible,Columbia Flat Finisher Box is an official Columbia Tools flat finishing box family for professional drywall finishing workflows.,"<h2>Columbia Flat Finisher Box</h2><p>Columbia Flat Finisher Box groups the official Columbia Tools configurations in this product family. Columbia flat boxes are built for daily professional finishing, applying compound smoothly and evenly over taped flat joints and butt joints.</p><h3>Key Features</h3><ul><li>Designed for consistent flat-joint and butt-joint finishing</li><li>Bead-wheel axle design is standard on Columbia flat boxes</li><li>Hinged door system supports cleaning and spring access</li><li>Available configurations: 5.5&quot;, 7&quot;, 8&quot;, 10&quot;, 12&quot;, 14&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>Flat finishing box</td></tr><tr><th>Catalog Parent SKU</th><td>COL-FLAT-FINISHER-BOX</td></tr><tr><th>Product Family</th><td>Columbia Flat Finisher Box</td></tr><tr><th>Available Configurations</th><td>5.5&quot;, 7&quot;, 8&quot;, 10&quot;, 12&quot;, 14&quot;</td></tr><tr><th>Primary Workflow</th><td>Dispensing and feathering joint compound over flat and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Flat Boxes,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_55ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_7ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_8ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_10ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_12ffb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_14ffb_01.webp",,,,,,,,,1,Columbia Tools,Size,"5.5"", 7"", 8"", 10"", 12"", 14""",1,0,"5.5""","Columbia Flat Finisher Box, Columbia Tools, drywall finishing tools, COL-FLAT-FINISHER-BOX",Columbia Flat Finisher Box | Columbia Tools | Drywall Toolbox,Columbia Flat Finisher Box is an official Columbia Tools flat finishing box family for professional drywall finishing workflows.,,"index,follow",Columbia Flat Finisher Box Columbia Tools,"Columbia COL-FLAT-FINISHER-BOX, drywall finishing tool, automatic taping tool",Columbia Tools,DTB-COL-FLAT-FINISHER-BOX,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-boxes,flat-boxes,0,,,,,5.5FFB,,0,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/flat-boxes/,Columbia Flat Finisher Box,production-grade-columbia-refined,2026-05-20
,variation,5.5FFB,,"Columbia Flat Finisher Box - 5.5""",0,0,hidden,"Columbia Flat Finisher Box - 5.5"" is the official 5.5"" Columbia Tools configuration for professional drywall finishing workflows.","<h2>Columbia Flat Finisher Box - 5.5&quot;</h2><p>Columbia Flat Finisher Box - 5.5&quot; is the 5.5&quot; configuration in the Columbia Flat Finisher Box family. Columbia flat boxes are built for daily professional finishing, applying compound smoothly and evenly over taped flat joints and butt joints.</p><h3>Key Features</h3><ul><li>Designed for consistent flat-joint and butt-joint finishing</li><li>Bead-wheel axle design is standard on Columbia flat boxes</li><li>Hinged door system supports cleaning and spring access</li><li>Specific configuration: 5.5&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>Flat finishing box</td></tr><tr><th>Official SKU / MPN</th><td>5.5FFB</td></tr><tr><th>Product Family</th><td>Columbia Flat Finisher Box</td></tr><tr><th>Configuration</th><td>5.5&quot;</td></tr><tr><th>Primary Workflow</th><td>Dispensing and feathering joint compound over flat and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_55ffb_01.webp,,,COL-FLAT-FINISHER-BOX,,,,,,1,Columbia Tools,Size,"5.5""",1,0,,"Columbia Flat Finisher Box - 5.5"", Columbia Tools, drywall finishing tools, 5.5FFB","Columbia Flat Finisher Box - 5.5"" | Columbia Tools | Drywall Toolbox","Columbia Flat Finisher Box - 5.5"" is the official 5.5"" Columbia Tools configuration for professional drywall finishing workflows.",,"noindex,follow","Columbia Flat Finisher Box - 5.5"" Columbia Tools","Columbia 5.5FFB, drywall finishing tool, automatic taping tool",Columbia Tools,5.5FFB,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"5.5""","5.5""",,1,1,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/flat-boxes/,Columbia Flat Finisher Box,production-grade-columbia-refined,2026-05-20
,variation,7FFB,,"Columbia Flat Finisher Box - 7""",1,0,visible,"Columbia Flat Finisher Box - 7"" is the official 7"" Columbia Tools configuration for professional drywall finishing workflows.","<h2>Columbia Flat Finisher Box - 7&quot;</h2><p>Columbia Flat Finisher Box - 7&quot; is the 7&quot; configuration in the Columbia Flat Finisher Box family. Columbia flat boxes are built for daily professional finishing, applying compound smoothly and evenly over taped flat joints and butt joints.</p><h3>Key Features</h3><ul><li>Designed for consistent flat-joint and butt-joint finishing</li><li>Bead-wheel axle design is standard on Columbia flat boxes</li><li>Hinged door system supports cleaning and spring access</li><li>Specific configuration: 7&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>Flat finishing box</td></tr><tr><th>Official SKU / MPN</th><td>7FFB</td></tr><tr><th>Product Family</th><td>Columbia Flat Finisher Box</td></tr><tr><th>Configuration</th><td>7&quot;</td></tr><tr><th>Primary Workflow</th><td>Dispensing and feathering joint compound over flat and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,367.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_7ffb_01.webp,,,COL-FLAT-FINISHER-BOX,,,,,,2,Columbia Tools,Size,"7""",1,0,,"Columbia Flat Finisher Box - 7"", Columbia Tools, drywall finishing tools, 7FFB","Columbia Flat Finisher Box - 7"" | Columbia Tools | Drywall Toolbox","Columbia Flat Finisher Box - 7"" is the official 7"" Columbia Tools configuration for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 7"" Columbia Tools","Columbia 7FFB, drywall finishing tool, automatic taping tool",Columbia Tools,7FFB,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"7""","7""",,2,1,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/flat-boxes/,Columbia Flat Finisher Box,production-grade-columbia-refined,2026-05-20
,variation,8FFB,,"Columbia Flat Finisher Box - 8""",1,0,visible,"Columbia Flat Finisher Box - 8"" is the official 8"" Columbia Tools configuration for professional drywall finishing workflows.","<h2>Columbia Flat Finisher Box - 8&quot;</h2><p>Columbia Flat Finisher Box - 8&quot; is the 8&quot; configuration in the Columbia Flat Finisher Box family. Columbia flat boxes are built for daily professional finishing, applying compound smoothly and evenly over taped flat joints and butt joints.</p><h3>Key Features</h3><ul><li>Designed for consistent flat-joint and butt-joint finishing</li><li>Bead-wheel axle design is standard on Columbia flat boxes</li><li>Hinged door system supports cleaning and spring access</li><li>Specific configuration: 8&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>Flat finishing box</td></tr><tr><th>Official SKU / MPN</th><td>8FFB</td></tr><tr><th>Product Family</th><td>Columbia Flat Finisher Box</td></tr><tr><th>Configuration</th><td>8&quot;</td></tr><tr><th>Primary Workflow</th><td>Dispensing and feathering joint compound over flat and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,371.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_8ffb_01.webp,,,COL-FLAT-FINISHER-BOX,,,,,,3,Columbia Tools,Size,"8""",1,0,,"Columbia Flat Finisher Box - 8"", Columbia Tools, drywall finishing tools, 8FFB","Columbia Flat Finisher Box - 8"" | Columbia Tools | Drywall Toolbox","Columbia Flat Finisher Box - 8"" is the official 8"" Columbia Tools configuration for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 8"" Columbia Tools","Columbia 8FFB, drywall finishing tool, automatic taping tool",Columbia Tools,8FFB,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"8""","8""",,3,1,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/flat-boxes/,Columbia Flat Finisher Box,production-grade-columbia-refined,2026-05-20
,variation,10FFB,,"Columbia Flat Finisher Box - 10""",1,0,visible,"Columbia Flat Finisher Box - 10"" is the official 10"" Columbia Tools configuration for professional drywall finishing workflows.","<h2>Columbia Flat Finisher Box - 10&quot;</h2><p>Columbia Flat Finisher Box - 10&quot; is the 10&quot; configuration in the Columbia Flat Finisher Box family. Columbia flat boxes are built for daily professional finishing, applying compound smoothly and evenly over taped flat joints and butt joints.</p><h3>Key Features</h3><ul><li>Designed for consistent flat-joint and butt-joint finishing</li><li>Bead-wheel axle design is standard on Columbia flat boxes</li><li>Hinged door system supports cleaning and spring access</li><li>Specific configuration: 10&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>Flat finishing box</td></tr><tr><th>Official SKU / MPN</th><td>10FFB</td></tr><tr><th>Product Family</th><td>Columbia Flat Finisher Box</td></tr><tr><th>Configuration</th><td>10&quot;</td></tr><tr><th>Primary Workflow</th><td>Dispensing and feathering joint compound over flat and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,375.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_10ffb_01.webp,,,COL-FLAT-FINISHER-BOX,,,,,,4,Columbia Tools,Size,"10""",1,0,,"Columbia Flat Finisher Box - 10"", Columbia Tools, drywall finishing tools, 10FFB","Columbia Flat Finisher Box - 10"" | Columbia Tools | Drywall Toolbox","Columbia Flat Finisher Box - 10"" is the official 10"" Columbia Tools configuration for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 10"" Columbia Tools","Columbia 10FFB, drywall finishing tool, automatic taping tool",Columbia Tools,10FFB,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"10""","10""",,4,1,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/flat-boxes/,Columbia Flat Finisher Box,production-grade-columbia-refined,2026-05-20
,variation,12FFB,,"Columbia Flat Finisher Box - 12""",1,0,visible,"Columbia Flat Finisher Box - 12"" is the official 12"" Columbia Tools configuration for professional drywall finishing workflows.","<h2>Columbia Flat Finisher Box - 12&quot;</h2><p>Columbia Flat Finisher Box - 12&quot; is the 12&quot; configuration in the Columbia Flat Finisher Box family. Columbia flat boxes are built for daily professional finishing, applying compound smoothly and evenly over taped flat joints and butt joints.</p><h3>Key Features</h3><ul><li>Designed for consistent flat-joint and butt-joint finishing</li><li>Bead-wheel axle design is standard on Columbia flat boxes</li><li>Hinged door system supports cleaning and spring access</li><li>Specific configuration: 12&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>Flat finishing box</td></tr><tr><th>Official SKU / MPN</th><td>12FFB</td></tr><tr><th>Product Family</th><td>Columbia Flat Finisher Box</td></tr><tr><th>Configuration</th><td>12&quot;</td></tr><tr><th>Primary Workflow</th><td>Dispensing and feathering joint compound over flat and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,380.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_12ffb_01.webp,,,COL-FLAT-FINISHER-BOX,,,,,,5,Columbia Tools,Size,"12""",1,0,,"Columbia Flat Finisher Box - 12"", Columbia Tools, drywall finishing tools, 12FFB","Columbia Flat Finisher Box - 12"" | Columbia Tools | Drywall Toolbox","Columbia Flat Finisher Box - 12"" is the official 12"" Columbia Tools configuration for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 12"" Columbia Tools","Columbia 12FFB, drywall finishing tool, automatic taping tool",Columbia Tools,12FFB,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"12""","12""",,5,1,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/flat-boxes/,Columbia Flat Finisher Box,production-grade-columbia-refined,2026-05-20
,variation,14FFB,,"Columbia Flat Finisher Box - 14""",1,0,visible,"Columbia Flat Finisher Box - 14"" is the official 14"" Columbia Tools configuration for professional drywall finishing workflows.","<h2>Columbia Flat Finisher Box - 14&quot;</h2><p>Columbia Flat Finisher Box - 14&quot; is the 14&quot; configuration in the Columbia Flat Finisher Box family. Columbia flat boxes are built for daily professional finishing, applying compound smoothly and evenly over taped flat joints and butt joints.</p><h3>Key Features</h3><ul><li>Designed for consistent flat-joint and butt-joint finishing</li><li>Bead-wheel axle design is standard on Columbia flat boxes</li><li>Hinged door system supports cleaning and spring access</li><li>Specific configuration: 14&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>Flat finishing box</td></tr><tr><th>Official SKU / MPN</th><td>14FFB</td></tr><tr><th>Product Family</th><td>Columbia Flat Finisher Box</td></tr><tr><th>Configuration</th><td>14&quot;</td></tr><tr><th>Primary Workflow</th><td>Dispensing and feathering joint compound over flat and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,384.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_14ffb_01.webp,,,COL-FLAT-FINISHER-BOX,,,,,,6,Columbia Tools,Size,"14""",1,0,,"Columbia Flat Finisher Box - 14"", Columbia Tools, drywall finishing tools, 14FFB","Columbia Flat Finisher Box - 14"" | Columbia Tools | Drywall Toolbox","Columbia Flat Finisher Box - 14"" is the official 14"" Columbia Tools configuration for professional drywall finishing workflows.",,"index,follow","Columbia Flat Finisher Box - 14"" Columbia Tools","Columbia 14FFB, drywall finishing tool, automatic taping tool",Columbia Tools,14FFB,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FLAT-FINISHER-BOX,Size,"14""","14""",,6,1,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/flat-boxes/,Columbia Flat Finisher Box,production-grade-columbia-refined,2026-05-20
,variable,COL-FAT-BOY-FLAT-BOX,,Columbia Fat Boy Flat Box,0,0,hidden,Columbia Fat Boy Flat Box is an official Columbia Tools high-capacity flat finishing box family for professional drywall finishing workflows.,"<h2>Columbia Fat Boy Flat Box</h2><p>Columbia Fat Boy Flat Box groups the official Columbia Tools configurations in this product family. Columbia Fat Boy boxes are high-capacity flat boxes designed for contractors who want more compound on the wall between pump fills.</p><h3>Key Features</h3><ul><li>Holds approximately 40% more compound than standard flat boxes according to Columbia catalog copy</li><li>Built for loading flats and butt joints efficiently</li><li>Available in multiple working widths</li><li>Available configurations: 5.5&quot;, 8&quot;, 10&quot;, 12&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>High-capacity flat finishing box</td></tr><tr><th>Catalog Parent SKU</th><td>COL-FAT-BOY-FLAT-BOX</td></tr><tr><th>Product Family</th><td>Columbia Fat Boy Flat Box</td></tr><tr><th>Available Configurations</th><td>5.5&quot;, 8&quot;, 10&quot;, 12&quot;</td></tr><tr><th>Primary Workflow</th><td>High-capacity loading of flats and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Flat Boxes,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_8fbb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_10fbb_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_12fbb_01.webp",,,,,,,,,2,Columbia Tools,Size,"5.5"", 8"", 10"", 12""",1,0,"5.5""","Columbia Fat Boy Flat Box, Columbia Tools, drywall finishing tools, COL-FAT-BOY-FLAT-BOX",Columbia Fat Boy Flat Box | Columbia Tools | Drywall Toolbox,Columbia Fat Boy Flat Box is an official Columbia Tools high-capacity flat finishing box family for professional drywall finishing workflows.,,"noindex,follow",Columbia Fat Boy Flat Box Columbia Tools,"Columbia COL-FAT-BOY-FLAT-BOX, drywall finishing tool, automatic taping tool",Columbia Tools,DTB-COL-FAT-BOY-FLAT-BOX,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-boxes,flat-boxes,0,,,,,5.5FBB,,0,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/fat-boy-boxes/,Columbia Fat Boy Flat Box,production-grade-columbia-refined,2026-05-20
,variation,5.5FBB,,"Columbia Fat Boy Flat Box - 5.5""",0,0,hidden,"Columbia Fat Boy Flat Box - 5.5"" is the official 5.5"" Columbia Tools configuration for professional drywall finishing workflows.","<h2>Columbia Fat Boy Flat Box - 5.5&quot;</h2><p>Columbia Fat Boy Flat Box - 5.5&quot; is the 5.5&quot; configuration in the Columbia Fat Boy Flat Box family. Columbia Fat Boy boxes are high-capacity flat boxes designed for contractors who want more compound on the wall between pump fills.</p><h3>Key Features</h3><ul><li>Holds approximately 40% more compound than standard flat boxes according to Columbia catalog copy</li><li>Built for loading flats and butt joints efficiently</li><li>Available in multiple working widths</li><li>Specific configuration: 5.5&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>High-capacity flat finishing box</td></tr><tr><th>Official SKU / MPN</th><td>5.5FBB</td></tr><tr><th>Product Family</th><td>Columbia Fat Boy Flat Box</td></tr><tr><th>Configuration</th><td>5.5&quot;</td></tr><tr><th>Primary Workflow</th><td>High-capacity loading of flats and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,COL-FAT-BOY-FLAT-BOX,,,,,,1,Columbia Tools,Size,"5.5""",1,0,,"Columbia Fat Boy Flat Box - 5.5"", Columbia Tools, drywall finishing tools, 5.5FBB","Columbia Fat Boy Flat Box - 5.5"" | Columbia Tools | Drywall Toolbox","Columbia Fat Boy Flat Box - 5.5"" is the official 5.5"" Columbia Tools configuration for professional drywall finishing workflows.",,"noindex,follow","Columbia Fat Boy Flat Box - 5.5"" Columbia Tools","Columbia 5.5FBB, drywall finishing tool, automatic taping tool",Columbia Tools,5.5FBB,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FAT-BOY-FLAT-BOX,Size,"5.5""","5.5""",,1,1,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/fat-boy-boxes/,Columbia Fat Boy Flat Box,production-grade-columbia-refined,2026-05-20
,variation,8FBB,,"Columbia Fat Boy Flat Box - 8""",0,0,hidden,"Columbia Fat Boy Flat Box - 8"" is the official 8"" Columbia Tools configuration for professional drywall finishing workflows.","<h2>Columbia Fat Boy Flat Box - 8&quot;</h2><p>Columbia Fat Boy Flat Box - 8&quot; is the 8&quot; configuration in the Columbia Fat Boy Flat Box family. Columbia Fat Boy boxes are high-capacity flat boxes designed for contractors who want more compound on the wall between pump fills.</p><h3>Key Features</h3><ul><li>Holds approximately 40% more compound than standard flat boxes according to Columbia catalog copy</li><li>Built for loading flats and butt joints efficiently</li><li>Available in multiple working widths</li><li>Specific configuration: 8&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>High-capacity flat finishing box</td></tr><tr><th>Official SKU / MPN</th><td>8FBB</td></tr><tr><th>Product Family</th><td>Columbia Fat Boy Flat Box</td></tr><tr><th>Configuration</th><td>8&quot;</td></tr><tr><th>Primary Workflow</th><td>High-capacity loading of flats and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_8fbb_01.webp,,,COL-FAT-BOY-FLAT-BOX,,,,,,2,Columbia Tools,Size,"8""",1,0,,"Columbia Fat Boy Flat Box - 8"", Columbia Tools, drywall finishing tools, 8FBB","Columbia Fat Boy Flat Box - 8"" | Columbia Tools | Drywall Toolbox","Columbia Fat Boy Flat Box - 8"" is the official 8"" Columbia Tools configuration for professional drywall finishing workflows.",,"noindex,follow","Columbia Fat Boy Flat Box - 8"" Columbia Tools","Columbia 8FBB, drywall finishing tool, automatic taping tool",Columbia Tools,8FBB,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FAT-BOY-FLAT-BOX,Size,"8""","8""",,2,1,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/fat-boy-boxes/,Columbia Fat Boy Flat Box,production-grade-columbia-refined,2026-05-20
,variation,10FBB,,"Columbia Fat Boy Flat Box - 10""",0,0,hidden,"Columbia Fat Boy Flat Box - 10"" is the official 10"" Columbia Tools configuration for professional drywall finishing workflows.","<h2>Columbia Fat Boy Flat Box - 10&quot;</h2><p>Columbia Fat Boy Flat Box - 10&quot; is the 10&quot; configuration in the Columbia Fat Boy Flat Box family. Columbia Fat Boy boxes are high-capacity flat boxes designed for contractors who want more compound on the wall between pump fills.</p><h3>Key Features</h3><ul><li>Holds approximately 40% more compound than standard flat boxes according to Columbia catalog copy</li><li>Built for loading flats and butt joints efficiently</li><li>Available in multiple working widths</li><li>Specific configuration: 10&quot;</li></ul><h3>Specifications</h3><table class=""dtb-product-spec-table""><tbody><tr><th>Brand</th><td>Columbia Tools</td></tr><tr><th>Product Type</th><td>High-capacity flat finishing box</td></tr><tr><th>Official SKU / MPN</th><td>10FBB</td></tr><tr><th>Product Family</th><td>Columbia Fat Boy Flat Box</td></tr><tr><th>Configuration</th><td>10&quot;</td></tr><tr><th>Primary Workflow</th><td>High-capacity loading of flats and butt joints</td></tr><tr><th>Availability</th><td>In stock</td></tr></tbody></table>",,,taxable,,1,,,0,0,,,,,0,,,,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_10fbb_01.webp,,,COL-FAT-BOY-FLAT-BOX,,,,,,3,Columbia Tools,Size,"10""",1,0,,"Columbia Fat Boy Flat Box - 10"", Columbia Tools, drywall finishing tools, 10FBB","Columbia Fat Boy Flat Box - 10"" | Columbia Tools | Drywall Toolbox","Columbia Fat Boy Flat Box - 10"" is the official 10"" Columbia Tools configuration for professional drywall finishing workflows.",,"noindex,follow","Columbia Fat Boy Flat Box - 10"" Columbia Tools","Columbia 10FBB, drywall finishing tool, automatic taping tool",Columbia Tools,10FBB,NewCondition,columbia,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-FAT-BOY-FLAT-BOX,Size,"10""","10""",,3,1,,,,,,official-source-copy-refined,,Columbia Tools,,,,,https://www.columbiatools.com/columbia-tools/finishing-boxes/fat-boy-boxes/,Columbia Fat Boy Flat Box,production-grade-columbia-refined,2026-05-20
