brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes,catalog_title,slug,catalog_category,short_description,description,description_source,image_urls,image_source,distributor,distributor_sku,distributor_name,distributor_match_status,seo_title,seo_description,content_notes
Columbia,PC1H,PC1H,Predator One Handle 4',,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PC1H,PC1HEXT Predator Extendable 3'-5',pdf_text,sku_found_in_pdf_text,,,,Columbia Predator One Handle 4',columbia-predator-one-handle-4,Drywall Finishing Tools > Columbia > Columbia Predator,Columbia Predator One Handle,Columbia Predator One Handle,TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/CTTPC1H_M.jpg,TSWFast distributor scrape,TSWFast,PC1H,Columbia Predator One Handle,matched_by_brand_and_normalized_sku,Columbia Predator One Handle 4' | Drywall Toolbox,Columbia Predator One Handle,Official SKU/name retained; description/images enriched from TSWFast distributor data.
Columbia,PC1HEXT,PC1HEXT,Predator Extendable 3'-5',,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PC1HEXT,PC1HEXT Predator Extendable 3'-5',pdf_text,sku_found_in_pdf_text,,,,Columbia Predator Extendable 3'-5',columbia-predator-extendable-3-5,Drywall Finishing Tools > Columbia > Columbia Predator,Columbia 3-5' Predator One Extendable Handle,Columbia 3-5' Predator One Extendable Handle,TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/CTTPC1HEXT_M.jpg,TSWFast distributor scrape,TSWFast,PC1HEXT,Columbia 3-5' Predator One Extendable Handle,matched_by_brand_and_normalized_sku,Columbia Predator Extendable 3'-5' | Drywall Toolbox,Columbia 3-5' Predator One Extendable Handle,Official SKU/name retained; description/images enriched from TSWFast distributor data.
Columbia,PCHXL,PCHXL,Predator Long Extendable 4'-8',,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PCHXL,PCHXL Predator Long Extendable 4'-8' PMHL,pdf_text,sku_found_in_pdf_text,,,,Columbia Predator Long Extendable 4'-8',columbia-predator-long-extendable-4-8,Drywall Finishing Tools > Columbia > Columbia Predator,Columbia 4-8' Predator Long Extendable Handle,Columbia 4-8' Predator Long Extendable Handle,TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/15527_MD-Predator_Long_Extendable.png,TSWFast distributor scrape,TSWFast,PCHXL,Columbia 4-8' Predator Long Extendable Handle,matched_by_brand_and_normalized_sku,Columbia Predator Long Extendable 4'-8' | Drywall Toolbox,Columbia 4-8' Predator Long Extendable Handle,Official SKU/name retained; description/images enriched from TSWFast distributor data.
Columbia,PCLT42,PCLT42,"Predator Camlock Tube 42""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PCLT42,"PCLT42 Predator Camlock Tube 42""",pdf_text,sku_found_in_pdf_text,,,,"Columbia Predator Camlock Tube 42""",columbia-predator-camlock-tube-42,Drywall Finishing Tools > Columbia > Columbia Predator,"Columbia 42"" Predator Cam Lock Tube","Columbia 42"" Predator Cam Lock Tube",TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/CTTPCLT42_M.jpg,TSWFast distributor scrape,TSWFast,PCLT42,"Columbia 42"" Predator Cam Lock Tube",matched_by_brand_and_normalized_sku,"Columbia Predator Camlock Tube 42"" | Drywall Toolbox","Columbia 42"" Predator Cam Lock Tube",Official SKU/name retained; description/images enriched from TSWFast distributor data.
Columbia,PCMT42,PCMT42,"Predator Compound Tube 42""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PCMT42,"PCMT42 Predator Compound Tube 42""",pdf_text,sku_found_in_pdf_text,,,,"Columbia Predator Compound Tube 42""",columbia-predator-compound-tube-42,Drywall Finishing Tools > Columbia > Columbia Predator,"Columbia 42"" Predator Compound Tube","Columbia 42"" Predator Compound Tube",TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/CTTPCMT42_M.jpg,TSWFast distributor scrape,TSWFast,PCMT42,"Columbia 42"" Predator Compound Tube",matched_by_brand_and_normalized_sku,"Columbia Predator Compound Tube 42"" | Drywall Toolbox","Columbia 42"" Predator Compound Tube",Official SKU/name retained; description/images enriched from TSWFast distributor data.
Columbia,PHMP,PHMP,Predator Mud Pump,,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PHMP,PHMP Predator Mud Pump,pdf_text,sku_found_in_pdf_text,,,,Columbia Predator Mud Pump,columbia-predator-mud-pump,Drywall Finishing Tools > Columbia > Columbia Predator,Columbia Predator Hot Mud Pump,Columbia Predator Hot Mud Pump,TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/CTTPHMP_M.jpg,TSWFast distributor scrape,TSWFast,PHMP,Columbia Predator Hot Mud Pump,matched_by_brand_and_normalized_sku,Columbia Predator Mud Pump | Drywall Toolbox,Columbia Predator Hot Mud Pump,Official SKU/name retained; description/images enriched from TSWFast distributor data.
Columbia,PMH,PMH,"Predator Matrix Handle 40""-60""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PMH,PCLT42 PMHS,pdf_text,sku_found_in_pdf_text,,,,"Columbia Predator Matrix Handle 40""-60""",columbia-predator-matrix-handle-40-60,Drywall Finishing Tools > Columbia > Columbia Predator,"Columbia 40""-58"" Predator Matrix Box Handle","Columbia 40""-58"" Predator Matrix Box Handle",TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/CTTPMH_M.jpg,TSWFast distributor scrape,TSWFast,PMH,"Columbia 40""-58"" Predator Matrix Box Handle",matched_by_brand_and_normalized_sku,"Columbia Predator Matrix Handle 40""-60"" | Drywall Toolbox","Columbia 40""-58"" Predator Matrix Box Handle",Official SKU/name retained; description/images enriched from TSWFast distributor data.
Columbia,PMHL,PMHL,"Predator Matrix Handle Long 56""-76""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PMHL,PCHXL Predator Long Extendable 4'-8' PMHL,pdf_text,sku_found_in_pdf_text,,,,"Columbia Predator Matrix Handle Long 56""-76""",columbia-predator-matrix-handle-long-56-76,Drywall Finishing Tools > Columbia > Columbia Predator,"Columbia 56""-76"" Predator Matrix Box Handle","Columbia 56""-76"" Predator Matrix Box Handle",TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/CTTPMH_M.jpg,TSWFast distributor scrape,TSWFast,PMHL,"Columbia 56""-76"" Predator Matrix Box Handle",matched_by_brand_and_normalized_sku,"Columbia Predator Matrix Handle Long 56""-76"" | Drywall Toolbox","Columbia 56""-76"" Predator Matrix Box Handle",Official SKU/name retained; description/images enriched from TSWFast distributor data.
Columbia,PMHS,PMHS,"Predator Matrix Handle Short 29""-39""",,Columbia Predator,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,3,2,PMHS,PCLT42 PMHS,pdf_text,sku_found_in_pdf_text,,,,"Columbia Predator Matrix Handle Short 29""-39""",columbia-predator-matrix-handle-short-29-39,Drywall Finishing Tools > Columbia > Columbia Predator,"Columbia 29""-39"" Predator Matrix Box Handle","Columbia 29""-39"" Predator Matrix Box Handle",TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/15526_MD-Predator_Matrix_Handle.png,TSWFast distributor scrape,TSWFast,PMHS,"Columbia 29""-39"" Predator Matrix Box Handle",matched_by_brand_and_normalized_sku,"Columbia Predator Matrix Handle Short 29""-39"" | Drywall Toolbox","Columbia 29""-39"" Predator Matrix Box Handle",Official SKU/name retained; description/images enriched from TSWFast distributor data.
Columbia,PTS,PTS,Predator Tactical Set,,Columbia Family of Sets,tool_set,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,4,3,PTS,need to completely finish a job. PTS Predator Tactical Set,pdf_text,sku_found_in_pdf_text,,,,Columbia Predator Tactical Set,columbia-predator-tactical-set,Drywall Finishing Tools > Columbia > Tool Sets,The NEW Predator Tactical Set makes moving to Automatic Taping Tools easy and includes the upgrade of the Columbia Predator Carbon Fibre Automatic Taper!,"The NEW Predator Tactical Set makes moving to Automatic Taping Tools easy and includes the upgrade of the Columbia Predator Carbon Fibre Automatic Taper! Every taping tool you will need to completely finish a house comes packaged inside our durable, rugged Road Case. This set takes the guess work out of choosing the perfect drywall taping tools kit. Set Includes: Road Case Predator Automatic Taper 10″ Flat Box 12″ Flat Box Matrix Handle 7″ Tomahawk 24″ Tomahawk 8″ Throttle Box 3″ Anglehead Hot Mud Pump Box Filler & Gooseneck Corner Roller AHA 3″ Nail Spotter Columbia One Handle and Columbia One EXT Sander Head Twist Lock Handle Tomalock Adapter Repair Kits: AH-RK, FFBR9-10, FFBR9-12, FFBR7-7A, CTR-1",TSWFast distributor scrape,https://s3.amazonaws.com/tswfastcomfiles/product/CTTPTS_M.jpg,TSWFast distributor scrape,TSWFast,PTS,Columbia Predator Tactical Set,matched_by_brand_and_normalized_sku,Columbia Predator Tactical Set | Drywall Toolbox,The NEW Predator Tactical Set makes moving to Automatic Taping Tools easy and includes the upgrade of the Columbia Predator Carbon Fibre Automatic Taper!,Official SKU/name retained; description/images enriched from TSWFast distributor data.
