brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes,removal_reason
Columbia,HNSA-5-2,HNSA-5-2,"2"" Wheel Conversion Kit","Nail Spotter Wheel Kit 2""",Nail Spotters; Maintenance Kits,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,14; 24,13; 23,HNSA-5-2,"HNSA-5-2 2” Wheel Conversion Kit; HNSA-5-2 Nail Spotter Wheel Kit 2""",pdf_text; pdf_visual_table,sku_found_in_pdf_text; sku_verified_from_rendered_pdf_or_garbled_text,,,appears as both tool and maintenance_kit,parts/maintenance kit match
Columbia,HNSA-5-3,HNSA-5-3,"3"" Wheel Conversion Kit","Nail Spotter Wheel Kit 3""",Nail Spotters; Maintenance Kits,tool,1,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,14; 24,13; 23,HNSA-5-3,"HNSA-5-3 3” Wheel Conversion Kit; HNSA-5-3 Nail Spotter Wheel Kit 3""",pdf_text; pdf_visual_table,sku_found_in_pdf_text; sku_verified_from_rendered_pdf_or_garbled_text,,,appears as both tool and maintenance_kit,parts/maintenance kit match
Columbia,AHR-BK-2,AHR-BK-2,"Anglehead Blade Kit 2""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,AHR-BK-2,AHR-BK-2 Anglehead Blade Kit 2”,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,AHR-BK-2.5,AHR-BK-2.5,"Anglehead Blade Kit 2.5""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,AHR-BK-2.5,AHR-BK-2.5 Anglehead Blade Kit 2.5”,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,AHR-BK-3,AHR-BK-3,"Anglehead Blade Kit 3.5""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,AHR-BK-3,AHR-BK-3 Anglehead Blade Kit 3.5”,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,AHR-K,AHR-K,Anglehead Maintenance Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,AHR-K,AHR-K Anglehead Maintenance Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,CC-RK,CC-RK,Corner Cobra Maintenance Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,CC-RK,CC-RK Corner Cobra Maintenance Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,CRA-2,CRA-2,Corner Roller Wheel Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,CRA-2,CRA-2 Corner Roller Wheel Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,CTA-41,CTA-41,Cutter Block Assembly,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,CTA-41,CTA-41 Cutter Block Assembly,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,CTR-1,CTR-1,Taper Maintenance Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,CTR-1,CTR-1 Taper Maintenance Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,CTR-2,CTR-2,Taper Head Maintenance Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,CTR-2,CTR-2 Taper Head Maintenance Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,CTR-42A,CTR-42A,Taper Blades Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,CTR-42A,CTR-42A Taper Blades Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,CTR-63,CTR-63,Taper Needles Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,CTR-63,CTR-63 Taper Needles Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,CTR-72,CTR-72,Taper Cables Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,CTR-72,CTR-72 Taper Cables Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,FFBA-36,FFBA-36,Box Wheels Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,FFBA-36,FFBA-36 Box Wheels Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,FFBR-7-7A,FFBR-7-7A,Box Shoes Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,FFBR-7-7A,FFBR-7-7A Box Shoes Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
