bundle_sku,bundle_name,action,status,bundle_variant_id,component_count,message
SACS,Columbia Commando Set,create_bundle,created,716869932,10,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716869932, ""type"": ""Kit"", ""title"": ""Columbia Commando Set"", ""sku_code"": ""SACS"", ""upc_code"": """", ""model_number"": """", ""price"": 919.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:09.109Z"", ""updated_at"": ""2026-07-08T18:12:39.830Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""Columbia Commando Set"", ""full_t"
4-605,"LEVEL5 10""/12"" Box Set with Extendable Handle - Standard",create_bundle,created,716871967,4,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716871967, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""4-605"", ""upc_code"": """", ""model_number"": """", ""price"": 1453.17, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:59.326Z"", ""updated_at"": ""2026-07-08T18:12:44.724Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""LEVEL5 10\""/12\"" Box Set with Extendable "
4-629,"LEVEL5 10""/12"" Box Set with Extendable Handle - Mega",create_bundle,created,716871975,4,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716871975, ""type"": ""Kit"", ""title"": ""Mega"", ""sku_code"": ""4-629"", ""upc_code"": """", ""model_number"": """", ""price"": 1866.46, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:37:59.665Z"", ""updated_at"": ""2026-07-08T18:12:47.638Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""LEVEL5 10\""/12\"" Box Set with Extendable Hand"
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,create_bundle,created,716872077,10,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872077, ""type"": ""Kit"", ""title"": ""Tools Only"", ""sku_code"": ""4-602"", ""upc_code"": """", ""model_number"": """", ""price"": 2395.52, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:05.120Z"", ""updated_at"": ""2026-07-08T18:12:53.063Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""LEVEL5 Entry to Automatic Finishing Set"
4-630,LEVEL5 The Starter Taping Set,create_bundle,created,716872085,5,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872085, ""type"": ""Kit"", ""title"": ""LEVEL5 The Starter Taping Set"", ""sku_code"": ""4-630"", ""upc_code"": """", ""model_number"": """", ""price"": 2111.16, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:05.611Z"", ""updated_at"": ""2026-07-08T18:12:58.888Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""LEVEL5 The Starter T"
PT-FIN,Platinum Drywall Starter Finishing Set,create_bundle,created,716872232,11,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872232, ""type"": ""Kit"", ""title"": ""Platinum Drywall Starter Finishing Set"", ""sku_code"": ""PT-FIN"", ""upc_code"": """", ""model_number"": """", ""price"": 1399.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:13.537Z"", ""updated_at"": ""2026-07-08T18:13:05.815Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""Platinum Dr"
TTSFS,TapeTech Standard Full Set - Standard,create_bundle,created,716872723,13,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872723, ""type"": ""Kit"", ""title"": ""TapeTech Standard Full Set - Standard"", ""sku_code"": ""TTSFS"", ""upc_code"": """", ""model_number"": """", ""price"": 4958.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:38.138Z"", ""updated_at"": ""2026-07-08T18:13:15.156Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Stan"
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,create_bundle,created,716872725,13,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872725, ""type"": ""Kit"", ""title"": ""TapeTech Standard Full Set - With 2 Pumps"", ""sku_code"": ""TTSFS-2"", ""upc_code"": """", ""model_number"": """", ""price"": 5357.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:38.405Z"", ""updated_at"": ""2026-07-08T18:13:21.100Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTec"
TTBBS,TapeTech Basic Box Set,create_bundle,created,716872770,5,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872770, ""type"": ""Kit"", ""title"": ""TapeTech Basic Box Set"", ""sku_code"": ""TTBBS"", ""upc_code"": """", ""model_number"": """", ""price"": 1644.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:41.418Z"", ""updated_at"": ""2026-07-08T18:13:25.763Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Basic Box Set"", ""fu"
TTBTS,TapeTech Basic Taping Set,create_bundle,created,716872773,7,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872773, ""type"": ""Kit"", ""title"": ""TapeTech Basic Taping Set"", ""sku_code"": ""TTBTS"", ""upc_code"": """", ""model_number"": """", ""price"": 2829.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:41.648Z"", ""updated_at"": ""2026-07-08T18:13:29.219Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Basic Taping Set"
TTCFS,TapeTech Corner Finishing Set,create_bundle,created,716872797,5,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872797, ""type"": ""Kit"", ""title"": ""TapeTech Corner Finishing Set"", ""sku_code"": ""TTCFS"", ""upc_code"": """", ""model_number"": """", ""price"": 1416.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:42.570Z"", ""updated_at"": ""2026-07-08T18:13:31.768Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Corner Finis"
TTFINISH7/10,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,create_bundle,created,716872804,12,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872804, ""type"": ""Kit"", ""title"": ""TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes"", ""sku_code"": ""TTFINISH7/10"", ""upc_code"": """", ""model_number"": """", ""price"": 2654.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:43.274Z"", ""updated_at"": ""2026-07-08T18:13:35.483Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product"
TTFBC,TapeTech Flat Box Combo,create_bundle,created,716872819,5,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872819, ""type"": ""Kit"", ""title"": ""TapeTech Flat Box Combo"", ""sku_code"": ""TTFBC"", ""upc_code"": """", ""model_number"": """", ""price"": 1480.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:44.587Z"", ""updated_at"": ""2026-07-08T18:13:39.321Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Flat Box Combo"", """
