Type,SKU,Parent SKU,Slug,Name,Published,Visibility in catalog,Short description,Description,Regular price,In stock?,Categories,Tags,Brands,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),meta:product_family,meta:model,meta:search_keywords,meta:seo_title,meta:seo_description,meta:seo_robots,meta:seo_focus_keyword,meta:schema_brand,meta:schema_mpn,meta:schema_condition
simple,UTA,,columbia-universal-thread-adaptor,Columbia Universal Thread Adaptor,1,visible,"Upgrade the versatility of your Columbia Fiberglass Smoothing Blade Extension Handle with this Composite-Body Skimming Blade Adapter. This is the same adapter included with Columbia extension handles, designed specifically to connect composite-body Columbia skimming blades to extendable handles with a secure, non-ro...","<p>Upgrade the versatility of your Columbia Fiberglass Smoothing Blade Extension Handle with this Composite-Body Skimming Blade Adapter. This is the same adapter included with Columbia extension handles, designed specifically to connect composite-body Columbia skimming blades to extendable handles with a secure, non-rotating fit.</p> <p>Precision-made for durability and ease of use, this adapter ensures a strong, stable connection that improves control, reach, and finishing consistency on walls and ceilings.</p> <p>Ideal for drywall finishers and professional contractors, this adapter allows seamless compatibility between your Columbia skimming blades and extension handles—keeping your setup efficient and jobsite-ready.</p> <h3>Features</h3> <ul> <li> <strong>Columbia Compatibility</strong> – Designed for use with Columbia composite-body skimming blades.</li> <li> <strong>Universal Acme Thread </strong>– Connects easily to Columbia fiberglass extension handles.</li> <li> <strong>Secure, Non-Rotating Fit</strong> – Maintains stability under pressure during finishing.</li> <li> <strong>Durable Composite Construction</strong> – Built to withstand demanding jobsite conditions.<br/> </li> </ul>",11.0,1,Drywall Finishing Tools > Columbia > Handles & Extensions,"Columbia, Handles & Extensions, UTA, adaptor for pole, finishing blade adaptor, finishing blades, pole adaptor, skim blade, skimming blades, smoothing blade, wiping blade",Columbia,,0,,,,,Columbia Universal Thread Adaptor,UTA,"Columbia Universal Thread Adaptor - [UTA], Columbia, Drywall Finishing Tools > Columbia > Handles & Extensions, UTA",Columbia Universal Thread Adaptor -,Upgrade the versatility of your Columbia Fiberglass Smoothing Blade Extension Handle with this Composite-Body Skimming Blade Adapter. This is the same adap,"index,follow",Columbia Universal Thread Adaptor - [UTA],Columbia,UTA,NewCondition
simple,4-760,,level-5-automatic-taper,Level5 Automatic Taper,1,visible,The LEVEL5 Automatic Drywall Taper is used to simultaneously apply the optimal amount of joint compound and tape to wall and ceiling joints. This automatic taper is a true workhorse in the industry.,"<p>The LEVEL5 Automatic Drywall Taper is used to simultaneously apply the optimal amount of joint compound and tape to wall and ceiling joints. This automatic taper is a true workhorse in the industry.</p> <p>Every component has been carefully designed to ensure the auto taper is lightweight while providing the highest durability, reliability, and corrosion resistance. The fit, finish and ultra-smooth operation of the LEVEL5 Automatic Taper are unparalleled at this value point.</p> <ul> <li>ULTRA FAST TAPING | Significantly increases drywall taping efficiency by applying the first bed of mud and tape in one pass.</li> <li>GROW YOUR BUSINESS | The LEVEL5 automatic taper enables you to increase your job throughput and profitability - without compromising the finish quality your customers expect.</li> <li>SMOOTH OPERATION | All components are precision machined using the highest quality aluminum, stainless steel and composite materials. The LEVEL5 automatic taper performs flawlessly.</li> <li>EASY CLEANUP | New QUICK-CLEAN head features a simple thumb screw to remove the cover plate for easy access and cleaning.</li> <li>RELIABLE, LONG-TERM PERFORMANCE | LEVEL5 automatic drywall finishing tools have the highest reliability record in the industry. They have a hard-earned reputation as workhorse tools you can trust.</li> </ul> <h3>2ND GENERATION ENHANCEMENTS</h3> <ul> <li>A new hollow drive wheel reduces weight and operates with less compound accumulation.</li> <li>All hardware mounting bands upgraded to stainless steel for a tighter grip and increased durability.</li> <li>New robotically-welded, one-piece stainless steel push rod assembly and precision machined one-piece stainless steel drive sprocket provide greater strength and long-term durability.</li> <li>A lighter-weight cutter spring provides easier tape cutting.</li> <li>Cutter rod guide is now precision machined and hard-coat anodized for smoother operation.</li> <li>Cutter change rod now hard-coat anodized for smoother operation.</li> <li>Cutter change rod also features a new design for easy removal.</li> <li>A new proprietary urethane rubber internal plunger cup provides smoother operation, 100% seal and long wear life.</li> <li>The tape roll assembly has been upgraded to machined billet aluminum with hard-coat anodizing and the design has been updated for easier tape roll loading.</li> <li>An adjustable tensioner on tape spool ensures the tape roll can’t free wheel when its not under load.</li> <li>A heavier gauge tape roll keeper rod doesn’t bend under the weight of the tape roll.</li> <li>The creaser trigger and its mounting base have been upgraded to precision- machined billet aluminum with hard-coat anodizing.</li> </ul> <h3>EVERY LEVEL5 AUTOMATIC TAPER [2ND GEN] ALSO INCLUDES:</h3> <ul> <li>(3) additional cutting blades</li> <li>(3) additional tape advancing needles</li> <li>(1) replacement creaser wheel spring</li> <li>(1) tape jam tool</li> <li>(2) garden hose nozzle adapters (for easy cleanup)</li> <li>(1) gooseneck cleaning brush</li> </ul> <h3>TIPS &amp; TRICKS</h3> <ul> <li>We recommend you use general purpose finishing compound or general purpose “lightweight” finishing compound. You can also use “machine mud” which is designed specifically for automatic finishing tools, but it can be more expensive and harder to source. DO NOT use any type of durabond or “hot muds”, as these fast setting compounds could harden inside your automatic taper - requiring you to break your taper down and manually clean every component.</li> <li>When you first start using the automatic taper, it is suggested you practice using it on scrap drywall or a practice board, so you can get a feel for: <ul> <li>Getting the correct mud consistency. It should be thin enough so that the taper runs smoothly along the seam, but thick enough that the tape remains in place on the wall</li> <li>Setting the drive wheel brake. The drive wheel brake ensures the drive wheel doesn’t spin backwards when you pull the taper off the wall due to pressure from the cable - as this will create gaps in the mud that is applied behind the tape. You want the brake to be set just enough so that there is not any noticeable resistance and the taper moves smoothly along the seams.</li> <li>Setting the tape advancing (“gooser”) needle. The automatic taper is set up from the LEVEL5 factory to be used with paper tape. If you are using Fibafuse mesh tape, which is slightly thicker, you will need to back off the advancing needle so that the tape advances correctly when you activate the cutting mechanism.</li> </ul> </li> <li>PRO TIP: Each time to start a new seam run, charge/load the head of the automatic taper with compound by doing a quick 5 to 6” spin of your drive wheel against the wall without advancing the tape; this will ensure that when the tape advances it is fully coated with compound.</li> <li>On flat seams, always use the automatic taper at a slight angle to the wall or ceiling so that only one side of the drive wheel is touching. If you run the taper flat against the wall, too much of the joint compound will squeeze out from behind the tape.</li> <li>PRO TIP: During a long flat seam run on a ceiling, rock the taper from one side of the drive wheel to the other side every 2 - 3 feet; this action will ensure the mud and tape stays in place until you’ve had a chance to bed the tape down with a trailing knife.</li> <li>On inside corner seams, keep your taper as close to 45 degrees as possible, so that both wheels are touching the two walls or the ceiling and the wall. This will make sure tape is centered correctly in the seam as you push it in place with the creaser wheel.</li> <li>Inside corners generally have more drag than flat seams. When taping these angles, give yourself a few extra inches of lead tape at the start of the run. This extra tape will compensate for any movement in the tape as you move across the seam.</li> <li>When you get to the end of a seam or a corner, cut the tape 3” to 4” before you finish. Then let the remaining tape roll over the drive wheel and into the corner. With a little practice, you will be able to cut to the perfect length every time.</li> <li>PRO TIP: If you feel that you have cut the tape a little short, gently pull up on the tape with your hand from partway down the wall. You should be able to center the tape a bit and close the gap.</li> <li>Always stop the automatic taper completely before activating the control sleeve to cut the tape. Otherwise the tape won’t cut properly at a right angle to the taper and could double cut even jam up your tape.</li> <li>Before you use your automatic taper, always oil up all moving parts liberally with 3-in-1 machine oil. DO NOT use the original WD-40, as it is caustic and will break down your gaskets and plunger. In fact, we don’t recommend you use any lubrication that is in a spray can, unless you know what the propellant is. Often it is benzyne, which is also very hard on gaskets and seals. We highly recommend common machine oil such as 3-in-ONE</li> <li>Once you’ve finished cleaning your taper, we suggest liberally coating all moving parts and the inside of the tube with 3-in-ONE oil again. It will displace the water and reduce any opportunity for corrosion.</li> <li>PRO TIP: You can make short work of cleaning your taper by getting a small electric pressure washer.</li> <li>When cleaning your automatic taper do not force the plunger towards the head by jamming a rod, stick or anything else from the bottom and pushing against it. This could cause your cable to become caught up at the head and potentially snap it.</li> <li>PRO TIP: Automatic tapers have several small wearable parts. To minimize any downtime on the jobsite, we recommend you purchase an in-field repair kit (#5-815) that includes most of parts that are often replaced - blades, needles, cable, springs, etc.</li> </ul>",1594.0,1,Drywall Finishing Tools > Level 5 > Automatic Taping Tools,"4-760, Automatic Taping Tools, Level 5, auto taper, bazooka, level 5, level5, taper",Level 5,,0,,,,,Level 5 Automatic Taper,4-760,"Level 5 Automatic Taper - [4-760], Level 5, Drywall Finishing Tools > Level 5 > Automatic Taping Tools, 4-760",Level5 Automatic Taper -,The LEVEL5 Automatic Drywall Taper is used to simultaneously apply the optimal amount of joint compound and tape to wall and ceiling joints. This automatic,"index,follow",Level 5 Automatic Taper - [4-760],Level 5,4-760,NewCondition
variable,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,,level-5-blue-steel-big-back-taping-knife-soft-grip-handle,Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle,1,visible,"Use these LEVEL5 ""Big Back"" drywall taping knives for mudding over nail and screw indents, filling flats, patching holes, applying drywall corner bead or top coating seams for a professional finish. Featuring a LEVEL5 Soft-Grip Handle, this mud knife offers ergonomic handling, slip-resistance and all-day comfort. ""B...","<p>Use these LEVEL5 ""Big Back"" drywall taping knives for mudding over nail and screw indents, filling flats, patching holes, applying drywall corner bead or top coating seams for a professional finish. Featuring a LEVEL5 Soft-Grip Handle, this mud knife offers ergonomic handling, slip-resistance and all-day comfort. ""Big Back"" taping knives hold up to 25% more compound vs standard taping knives.</p> <p>LEVEL5 Blue Steel Drywall Taping Knives provide outstanding flex, feel and work-ability. These are lightweight workhorse drywall knives which offer premium build quality, precision results and fast application rates. ""Big Back"" taping knives hold up to 25% more compound vs standard taping knives.</p> <h3>Features</h3> <ul> <li>""Big Back"" blade holds up to 25% more mud compound.</li> <li>Premium blue steel blade with precision flex for a smoother finish.</li> <li>Wider, thicker and stronger blade in comparison with competitive models.</li> <li>Lightweight soft-grip handle ergonomically designed for all-day use.</li> <li>Alloy-Metal hammer end for setting drywall nails.</li> <li>All LEVEL5 hand tools feature large hang holes.</li> </ul>",,1,Drywall Finishing Tools > Level 5 > Knives & Blades,"5-180, 5-182, 5-184, 5-186, 5-188, CLEARANCE, Level 5, Knives & Blades, blue steel, level 5, level5, soft grip, taping knife",Level 5,,0,Size,"8"" | 10"" | 12"" | 14"" | 16""",,,Level 5 Blue Steel Big Back Taping Knife,LVL5-LEVEL-5-BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,"Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-180, 5-182, 5-184, 5-186, 5-188], Level 5, Drywall Finishing Tools > Level 5 > Knives & Blades, LVL5-LEVEL-5-BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE",Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -,"Use these LEVEL5 ""Big Back"" drywall taping knives for mudding over nail and screw indents, filling flats, patching holes, applying drywall corner bead or t","index,follow","Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-180, 5-182, 5-184, 5-186, 5-188]",Level 5,"5-180, 5-182, 5-184, 5-186, 5-188",NewCondition
variation,5-180,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,level-5-blue-steel-big-back-taping-knife-soft-grip-handle-8,"Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  8""",1,visible,,,17.0,0,Drywall Finishing Tools > Level 5 > Knives & Blades,"5-180, 5-182, 5-184, 5-186, 5-188, CLEARANCE, Level 5, Knives & Blades, blue steel, level 5, level5, soft grip, taping knife",Level 5,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,1,Size,"8""",,,Level 5 Blue Steel Big Back Taping Knife,5-180,"Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-180], Level 5, Drywall Finishing Tools > Level 5 > Knives & Blades, 5-180","Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  8""",,"index,follow",Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-180],Level 5,5-180,NewCondition
variation,5-182,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,level-5-blue-steel-big-back-taping-knife-soft-grip-handle-10,"Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  10""",1,visible,,,18.0,1,Drywall Finishing Tools > Level 5 > Knives & Blades,"5-180, 5-182, 5-184, 5-186, 5-188, CLEARANCE, Level 5, Knives & Blades, blue steel, level 5, level5, soft grip, taping knife",Level 5,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,2,Size,"10""",,,Level 5 Blue Steel Big Back Taping Knife,5-182,"Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-182], Level 5, Drywall Finishing Tools > Level 5 > Knives & Blades, 5-182","Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  10""",,"index,follow",Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-182],Level 5,5-182,NewCondition
variation,5-184,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,level-5-blue-steel-big-back-taping-knife-soft-grip-handle-12,"Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  12""",1,visible,,,19.0,1,Drywall Finishing Tools > Level 5 > Knives & Blades,"5-180, 5-182, 5-184, 5-186, 5-188, CLEARANCE, Level 5, Knives & Blades, blue steel, level 5, level5, soft grip, taping knife",Level 5,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,3,Size,"12""",,,Level 5 Blue Steel Big Back Taping Knife,5-184,"Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-184], Level 5, Drywall Finishing Tools > Level 5 > Knives & Blades, 5-184","Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  12""",,"index,follow",Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-184],Level 5,5-184,NewCondition
variation,5-186,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,level-5-blue-steel-big-back-taping-knife-soft-grip-handle-14,"Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  14""",1,visible,,,20.0,1,Drywall Finishing Tools > Level 5 > Knives & Blades,"5-180, 5-182, 5-184, 5-186, 5-188, CLEARANCE, Level 5, Knives & Blades, blue steel, level 5, level5, soft grip, taping knife",Level 5,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,4,Size,"14""",,,Level 5 Blue Steel Big Back Taping Knife,5-186,"Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-186], Level 5, Drywall Finishing Tools > Level 5 > Knives & Blades, 5-186","Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  14""",,"index,follow",Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-186],Level 5,5-186,NewCondition
variation,5-188,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,level-5-blue-steel-big-back-taping-knife-soft-grip-handle-16,"Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  16""",1,visible,,,22.0,1,Drywall Finishing Tools > Level 5 > Knives & Blades,"5-180, 5-182, 5-184, 5-186, 5-188, CLEARANCE, Level 5, Knives & Blades, blue steel, level 5, level5, soft grip, taping knife",Level 5,BLUE-STEEL-BIG-BACK-TAPING-KNIFE-SOFT-GRIP-HANDLE,5,Size,"16""",,,Level 5 Blue Steel Big Back Taping Knife,5-188,"Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-188], Level 5, Drywall Finishing Tools > Level 5 > Knives & Blades, 5-188","Level5 Blue Steel Big Back Taping Knife - Soft Grip Handle -  16""",,"index,follow",Level 5 Blue Steel Big Back Taping Knife - Soft Grip Handle - [5-188],Level 5,5-188,NewCondition
variable,BLUE-STEEL-TAPING-KNIFE-SOFT-GRIP-HANDLE,,level-5-blue-steel-taping-knife-soft-grip-handle,Level5 Blue Steel Taping Knife - Soft Grip Handle,1,visible,"Use these LEVEL5 drywall taping knife for mudding over nail and screw indents, filling flats, patching holes, applying drywall corner bead or top coating seams for a professional finish. Its wide blade surface and precision flex feathers joint compound to perfection.","<p>Use these LEVEL5 drywall taping knife for mudding over nail and screw indents, filling flats, patching holes, applying drywall corner bead or top coating seams for a professional finish. Its wide blade surface and precision flex feathers joint compound to perfection.</p> <p>LEVEL5 Blue Steel Drywall Taping Knives provide outstanding flex, feel and work-ability. These are lightweight workhorse drywall knives which offer premium build quality, precision results and fast application rates.</p> <h3>Features</h3> <ul> <li>Premium blue steel blade with precision flex for a smoother finish.</li> <li>Wider, thicker and stronger blade in comparison with competitive models.</li> <li>Lightweight soft-grip handle ergonomically designed for all-day use.</li> <li>Alloy-Metal hammer end for setting drywall nails.</li> <li>All LEVEL5 hand tools feature large hang holes.</li> </ul>",,1,Drywall Finishing Tools > Level 5 > Knives & Blades,"5-122, 5-124, 5-126, 5-127, 5-128, Level 5, Knives & Blades, blue steel, level 5, level5, soft grip, taping knife",Level 5,,0,Size,"6"" | 8"" | 10"" | 12"" | 14""",,,Level 5 Blue Steel Taping Knife,LVL5-LEVEL-5-BLUE-STEEL-TAPING-KNIFE-SOFT-GRIP-HANDLE,"Level 5 Blue Steel Taping Knife - Soft Grip Handle - [5-122, 5-124, 5-126, 5-127, 5-128], Level 5, Drywall Finishing Tools > Level 5 > Knives & Blades, LVL5-LEVEL-5-BLUE-STEEL-TAPING-KNIFE-SOFT-GRIP-HANDLE",Level5 Blue Steel Taping Knife - Soft Grip Handle -,"Use these LEVEL5 drywall taping knife for mudding over nail and screw indents, filling flats, patching holes, applying drywall corner bead or top coating s","index,follow","Level 5 Blue Steel Taping Knife - Soft Grip Handle - [5-122, 5-124, 5-126, 5-127, 5-128]",Level 5,"5-122, 5-124, 5-126, 5-127, 5-128",NewCondition
variation,5-122,BLUE-STEEL-TAPING-KNIFE-SOFT-GRIP-HANDLE,level-5-blue-steel-taping-knife-soft-grip-handle-6,"Level5 Blue Steel Taping Knife - Soft Grip Handle -  6""",1,visible,,,16.0,1,Drywall Finishing Tools > Level 5 > Knives & Blades,"5-122, 5-124, 5-126, 5-127, 5-128, Level 5, Knives & Blades, blue steel, level 5, level5, soft grip, taping knife",Level 5,BLUE-STEEL-TAPING-KNIFE-SOFT-GRIP-HANDLE,1,Size,"6""",,,Level 5 Blue Steel Taping Knife,5-122,"Level 5 Blue Steel Taping Knife - Soft Grip Handle - [5-122], Level 5, Drywall Finishing Tools > Level 5 > Knives & Blades, 5-122","Level5 Blue Steel Taping Knife - Soft Grip Handle -  6""",,"index,follow",Level 5 Blue Steel Taping Knife - Soft Grip Handle - [5-122],Level 5,5-122,NewCondition
