"brand","catalog_category","product_type","parent_sku","product_name","is_variable_product","attribute_names","attribute_values","variation_name","variation_position","sku","mpn","attribute_1","attribute_2","attribute_3","available","price","compare_at_price","weight_grams","tags","short_description","description_text","features"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","variable","ASG-ASGARD-ANGLE-HEAD","Asgard Angle Head","true","Angle Head Size","Angle Head Size: 2.5"" | 3"" | 3.5""","2.5""","1","AH25-AD","AH25-AD","2.5""","","","true","348.00","348.00","454","AH25-AD, AH30-AD, AH35-AD, angle head, Asgard, corner finisher, corner flusher, finisher","The Asgard® Angle Head is used to perfectly feather the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. The Angle Head is generally used as part of the Taping process to wipe down the corner after the corne...","The Asgard® Angle Head is used to perfectly feather the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. The Angle Head is generally used as part of the Taping process to wipe down the corner after the corner roller (CR01-AD) is used to set the joint tape into the corner. When the Angle Head is used to wipe down the corners, attach it to the FH-AD or XH-AD support handles with the CFA-AD adapter (not included). Wipes down excess joint compound in internal corners Embeds joint tape in internal corners of walls and ceilings Finishes internal corners of walls and ceilings Features Stainless Steel Frames Patented, positive Ball Retainer EasyRoll Wheels Adjustable Springs","Stainless Steel Frames | Patented, positive Ball Retainer | EasyRoll Wheels | Adjustable Springs"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","variable","ASG-ASGARD-ANGLE-HEAD","Asgard Angle Head","true","Angle Head Size","Angle Head Size: 2.5"" | 3"" | 3.5""","3""","2","AH30-AD","AH30-AD","3""","","","false","373.00","373.00","476","AH25-AD, AH30-AD, AH35-AD, angle head, Asgard, corner finisher, corner flusher, finisher","The Asgard® Angle Head is used to perfectly feather the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. The Angle Head is generally used as part of the Taping process to wipe down the corner after the corne...","The Asgard® Angle Head is used to perfectly feather the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. The Angle Head is generally used as part of the Taping process to wipe down the corner after the corner roller (CR01-AD) is used to set the joint tape into the corner. When the Angle Head is used to wipe down the corners, attach it to the FH-AD or XH-AD support handles with the CFA-AD adapter (not included). Wipes down excess joint compound in internal corners Embeds joint tape in internal corners of walls and ceilings Finishes internal corners of walls and ceilings Features Stainless Steel Frames Patented, positive Ball Retainer EasyRoll Wheels Adjustable Springs","Stainless Steel Frames | Patented, positive Ball Retainer | EasyRoll Wheels | Adjustable Springs"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","variable","ASG-ASGARD-ANGLE-HEAD","Asgard Angle Head","true","Angle Head Size","Angle Head Size: 2.5"" | 3"" | 3.5""","3.5""","3","AH35-AD","AH35-AD","3.5""","","","false","392.00","392.00","522","AH25-AD, AH30-AD, AH35-AD, angle head, Asgard, corner finisher, corner flusher, finisher","The Asgard® Angle Head is used to perfectly feather the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. The Angle Head is generally used as part of the Taping process to wipe down the corner after the corne...","The Asgard® Angle Head is used to perfectly feather the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. The Angle Head is generally used as part of the Taping process to wipe down the corner after the corner roller (CR01-AD) is used to set the joint tape into the corner. When the Angle Head is used to wipe down the corners, attach it to the FH-AD or XH-AD support handles with the CFA-AD adapter (not included). Wipes down excess joint compound in internal corners Embeds joint tape in internal corners of walls and ceilings Finishes internal corners of walls and ceilings Features Stainless Steel Frames Patented, positive Ball Retainer EasyRoll Wheels Adjustable Springs","Stainless Steel Frames | Patented, positive Ball Retainer | EasyRoll Wheels | Adjustable Springs"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-ANGLE-HEAD-ADAPTER","Asgard Angle Head Adapter","false","","","","1","CFA-AD","CFA-AD","","","","true","45.00","45.00","318","accessory, adaptor, angle head adaptor, Asgard, CFA-AD, semi automatic","The Asgard CFA-AD Angle Head Adapter is used to connect the 2.5” or 3” Angle Head to the support handle as part of the Taping process. The Angle Head Adapter connects securely to the XH-AD or FH-AD support handles. The support handle, Angle Head Adapter and Angle Head are used to wipe down the excess joint compound...","The Asgard CFA-AD Angle Head Adapter is used to connect the 2.5” or 3” Angle Head to the support handle as part of the Taping process. The Angle Head Adapter connects securely to the XH-AD or FH-AD support handles. The support handle, Angle Head Adapter and Angle Head are used to wipe down the excess joint compound after the corner roller sets the joint tape in the internal corner. Attaches securely to FH-AD or XH-AD Support Handles to operate Angle Heads during Taping process.","Attaches securely to FH-AD or XH-AD Support Handles to operate Angle Heads during Taping process."
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-APPLICATOR-BOX-HEAD-ONLY","Asgard Applicator Box – Head Only","false","Size","Size: 8""","8""","1","CA08-AD","CA08-AD","8""","","","true","298.00","298.00","1270","Asgard, CA08-AD, corner angle box, corner box, corner finisher box, corner flusher box, cornerbox, flusher box","The Asgard® CA08-AD Corner Applicator supplies joint compound to the Angle Heads for fast and efficient finishing of internal corners (angles). The CA08-AD Corner Applicator features a stainless steel cone and a D-Shaped adapter to prevent rotation. Use with the FH-AD or XH-AD Support Handle – not included.","The Asgard® CA08-AD Corner Applicator supplies joint compound to the Angle Heads for fast and efficient finishing of internal corners (angles). The CA08-AD Corner Applicator features a stainless steel cone and a D-Shaped adapter to prevent rotation. Use with the FH-AD or XH-AD Support Handle – not included. Finishes internal corners (with Angle Heads) Features Stainless Steel Cone D-Shaped adapter to prevent rotation.","Stainless Steel Cone | D-Shaped adapter to prevent rotation."
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-BRAKELESS-BOX-EXTENDABLE-HANDLE-38-60","Asgard Brakeless Box Extendable Handle - 38” - 60”","false","","","","1","BBHE-AD","BBHE-AD","","","","true","293.00","293.00","1746","Asgard, BBHE-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle","Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic kno...","Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic knob makes it easy to adjust the amount of friction. Attaches to all Asgard finishing boxes for professional finishing of flat joints on walls and ceilings Features Extends from 38” to 60” (97 cm to 152 cm) Friction brake design eliminates the learning curve associated with standard finishing box handles Optimal handle diameter for superior ergonomics Note: Flat box not included.","Extends from 38” to 60” (97 cm to 152 cm) | Friction brake design eliminates the learning curve associated with standard finishing box handles | Optimal handle diameter for superior ergonomics"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-BRAKELESS-BOX-HANDLE-FIXED-LENGTH-34","Asgard Brakeless Box Handle (Fixed Length) - 34""","false","","","","1","BBH-AD","BBH-AD","","","","true","141.00","141.00","1338","Asgard, BBH-AD, Brakeless, Brakeless Box Handle, Brakeless Handle, flat box handle","Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic kno...","Asgard® introduces the first full length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. Ergonomic knob makes it easy to adjust the amount of friction. Attaches to all Asgard finishing boxes for professional finishing of flat joints on walls and ceilings Features Friction brake design eliminates the learning curve associated with standard finishing box handles Optimal handle diameter for superior ergonomics Easy to clean fiberglass construction 34"" (86 cm) length Note: Flat box not included.","Friction brake design eliminates the learning curve associated with standard finishing box handles | Optimal handle diameter for superior ergonomics | Easy to clean fiberglass construction | 34"" (86 cm) length"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-CLASSIC-FINISHING-SET-1","Asgard Classic Finishing Set","false","","","","1","TTBDL9","TTBDL9","","","","false","1244.00","1464.00","","Asgard, BBHE-AD, EZ10-AD, EZ12-AD, FA01-AD, flat box set, LP01-AD, mud pump, set, taping set","The Asgard Classic Finishing Box Combo includes the tools you need to start finishing flat joints quickly and professionally. The adjustable length handle provides flexibility for multiple ceiling heights","The Asgard Classic Finishing Box Combo includes the tools you need to start finishing flat joints quickly and professionally. The adjustable length handle provides flexibility for multiple ceiling heights 10"" and 12"" Flat Finishing Boxes (EZ10-AD) (EZ12-AD) The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint. Loading Pump and Filler Adapter (LP01-AD) (FA01-AD) The Asgard® Loading Pump combines reliability with innovation. It is used together with the GN01-TT Gooseneck and FA01-AD Filler Adapter to fill the Automatic Taper, Finishing Boxes, Corner Applicator and Nail Spotter with joint compound. The LP01-AD features the slim tube design preferred by professional finishers and robust construction for dependable performance and long life. The twist-lock foot valve provides secure attachment and easy removal for cleaning and maintenance. Unlike loading pumps from other brands the Asgard LP01-AD does not require a paper gasket for the filler adapter or gooseneck due to an innovative, integrated O-Ring that provides a terrific seal with fewer headaches from lost, worn or damaged paper gaskets. Fills Automatic Tapers (with GN01-TT Gooseneck) Fills finishing boxes, corner applicator and nail spotter (with FA01-AD filler adapter) Brakeless Box Extendable Handle - 38” - 60 (BBHE-AD) Asgard® introduces the first full-length brakeless finishing box handle. The friction brake design eliminates the learning curve associated with standard finishing box handles and makes it easy to achieve professional results within minutes of starting to work with automatic taping and finishing tools. The ergonomic knob makes it easy to adjust the amount of friction.","Fills Automatic Tapers (with GN01-TT Gooseneck) | Fills finishing boxes, corner applicator and nail spotter (with FA01-AD filler adapter)"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-EXTENDABLE-FINISHING-BOX-HANDLE-41-63","Asgard Extendable Finishing Box Handle - 41"" - 63""","false","","","","1","FBHE-AD","FBHE-AD","","","","true","322.00","322.00","1678","Asgard, Extendable Handle, FBHE-AD, flat box handle","The Asgard® Extendable Finishing Box Handle attaches to the Classic, MAXXBOX® or Power Assist® Finishing Boxes and provides control to cleanly sweep the boxes off the joint for a perfect finish. The FBHE-AD Handle is the strongest extendable finishing box handle and the industry and adjusts from 41"" to 63"" for incre...","The Asgard® Extendable Finishing Box Handle attaches to the Classic, MAXXBOX® or Power Assist® Finishing Boxes and provides control to cleanly sweep the boxes off the joint for a perfect finish. The FBHE-AD Handle is the strongest extendable finishing box handle and the industry and adjusts from 41"" to 63"" for increased reach and versatility",""
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-EXTENSION-SUPPORT-HANDLE-43-TO-76","Asgard Extension Support Handle - 43” to 76”","false","","","","1","XH-AD","XH-AD","","","","true","224.00","224.00","1497","Asgard, corner roller handle, extendable handle, nail spotter handle, semi automatic, XH-AD","Asgard® Tools feature an interchangeable handle system that allows one support handle to be used with the Corner Applicator, Corner Roller and Nail Spotter without additional adapters. To attach the support handles to the Angle Heads, use the CFA-AD adapter. The XH-AD extendable support handle features robust constr...","Asgard® Tools feature an interchangeable handle system that allows one support handle to be used with the Corner Applicator, Corner Roller and Nail Spotter without additional adapters. To attach the support handles to the Angle Heads, use the CFA-AD adapter. The XH-AD extendable support handle features robust construction and its optimal diameter makes it extremely ergonomic. The XH-AD extends from 43” to 76” (106 cm to 193 cm). The D-shaped fitting securely positions the handle in the Corner Applicator to prevent the tool from rotating during use. Attaches to Corner Roller, Corner Applicator, Nail Spotter and Angle Heads (with CFA-AD adapter) Features Extends from 43” to 76” (106 cm to 193 cm) D-Shaped fitting prevents Corner Applicator from rotating Note: Handle only. Other tools shown not included.","Extends from 43” to 76” (106 cm to 193 cm) | D-Shaped fitting prevents Corner Applicator from rotating"
