schematic_id,brand,old_model_number,new_model_number,model_name
columbia-angle-head,Columbia Tools,CTT-AH,COL-ANGLE-HEAD,Angle Head
columbia-box-filler,Columbia Tools,BOXFILLER,COL-BOX-FILLER,Box Filler
columbia-closet-monster-flat-box-handle,Columbia Tools,CTT-CM,CMH,Closet Monster Flat Box Handle
columbia-compound-tube,Columbia Tools,CTT-CT,COL-COMPOUND-TUBE,Compound Tube
columbia-direct-corner-flusher,Columbia Tools,CTT-DCF,COL-DIRECT-FLUSHER,Direct Corner Flusher
columbia-flat-box,Columbia Tools,CTT-FB,COL-FLAT-FINISHER-BOX,Flat Box
columbia-flat-box-handle,Columbia Tools,CTT-FBH,COL-180-GRIP-FLAT-BOX-HANDLE,Flat Box Handle
columbia-gooseneck-adapter,Columbia Tools,CTT-GNA,COL-GOOSENECK,Gooseneck Adapter
columbia-inside-corner-applicator,Columbia Tools,2WHEEL,ICA2-1,Inside Corner Applicator
columbia-inside-corner-roller,Columbia Tools,CTT-ICR,CR,Inside Corner Roller
columbia-long-extendable-handle,Columbia Tools,PCHXL,CHXL,Long Extendable Handle
columbia-matrix,Columbia Tools,CTT-MH,COL-PREDATOR-MATRIX-HANDLE,Predator Matrix Handle
columbia-mud-pump,Columbia Tools,CTT-MP,HMP,Mud Pump
columbia-nailspotter,Columbia Tools,CTT-NS,3NS,"Nailspotter 3"""
columbia-predator-taper,Columbia Tools,CTT-PAT,PTAPER,Predator Taper
columbia-sander-head,Columbia Tools,CTT-SH,PDDM,Sander Head
columbia-standard-corner-flusher,Columbia Tools,CTT-SCF,COL-STANDARD-FLUSHER,Standard Corner Flusher
columbia-standard-outside-corner-roller,Columbia Tools,CTT-OCR,COBCR,Standard Outside Corner Roller
columbia-tomahawk-smoothing-blades,Columbia Tools,CTT-TSB,COL-TOMAHAWK-SMOOTHING-BLADE,Tomahawk Smoothing Blades
