Status,Official Model,Catalog SKU,Catalog Name,"Existing GTIN, UPC, EAN, or ISBN","Official GTIN, UPC, EAN, or ISBN",Existing Weight (lbs),Official Weight (lbs),Existing Length (in),Official Length (in),Existing Width (in),Official Width (in),Existing Height (in),Official Height (in),Existing Meta: _dtb_shipping_package_length_cm,Official Meta: _dtb_shipping_package_length_cm,Existing Meta: _dtb_shipping_package_width_cm,Official Meta: _dtb_shipping_package_width_cm,Existing Meta: _dtb_shipping_package_height_cm,Official Meta: _dtb_shipping_package_height_cm,Existing Meta: _dtb_shipping_package_weight_kg,Official Meta: _dtb_shipping_package_weight_kg,Existing Meta: _dtb_shipping_spec_source,Official Meta: _dtb_shipping_spec_source,Existing Meta: _dtb_shipping_spec_model,Official Meta: _dtb_shipping_spec_model,Existing Meta: _dtb_shipping_spec_description,Official Meta: _dtb_shipping_spec_description,Existing Meta: _dtb_shipping_spec_verified,Official Meta: _dtb_shipping_spec_verified,Action,Notes
MATCHED_EXACT_SKU,16TT,16TT,TapeTech Applicator Head - Outside Corner,873876000395,873876000395,0.6,0.6,6.5,6.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,16TT90,16TT90,TapeTech Applicator Head - Inside Corner,873876000401,873876000401,0.55,0.55,6.5,6.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,BHE-SW,BHE-SW,"TapeTech Brakeless Box Handle - Rotational Extendable 34""-60""",873876000890,873876000890,6.4,6.4,46,46,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,BH,BH,"TapeTech Brakeless Box Handle - Fixed 34""",873876000906,873876000906,5.1,5.1,44,44,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,BHE,BHE,"TapeTech Brakeless Box Handle - Extendable 34""-60""",873876000883,873876000883,6.2,6.2,46,46,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,FBH2642TT-CF,FBH2642TT-CF,"TapeTech Carbon Fiber Box Handle - 26""-42""",873876002658,873876002658,3.6,3.6,31,31,4,4,4,4,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,FBH4272TT-CF,FBH4272TT-CF,"TapeTech Carbon Fiber Box Handle - 42""-72""",873876002665,873876002665,4.2,4.2,47,47,4,4,4,4,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,CT24TT,CT24TT,"TapeTech Compound Tube - 24""",873876002245,873876002245,2.4,2.4,32.25,32.25,4.25,4.25,4.25,4.25,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,CT36TT,CT36TT,"TapeTech Compound Tube - 36""",873876002252,873876002252,3.1,3.1,48.25,48.25,4.25,4.25,4.25,4.25,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,CT42TT,CT42TT,"TapeTech Compound Tube - 42""",873876002269,873876002269,3.6,3.6,50.25,50.25,5.25,5.25,5.25,5.25,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,CA07TT,CA07TT,"TapeTech Corner Applicator - 7""",873876002788,873876002788,2.5,2.5,8,8,8,8,4,4,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,CA08TT,CA08TT,"TapeTech Corner Applicator - 8""",873876002795,873876002795,2.8,2.8,9,9,9,9,4,4,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,42TT,42TT,"TapeTech Corner Finisher - 2.5""",873876002290,873876002290,1,1,5,5,5,5,6,6,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,48TT,48TT,"TapeTech Corner Finisher - 3"" EasyRoll® Adjustable",873876000562,873876000562,1.05,1.05,6,6,4,4,4,4,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,15TTE,15TTE,TapeTech Corner Roller - Inside Corner,873876000388,873876000388,1.9,1.9,8,8,4,4,4,4,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,17TT,17TT,TapeTech Corner Roller - Outside Corner,873876000418,873876000418,1.65,1.65,6.5,6.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,17TTE,17TTE,TapeTech Corner Roller - Flex Tape Outside Corner,873876000425,873876000425,1.65,1.65,6.5,6.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,07TT,07TT,TapeTech EasyClean® Automatic Taper - Standard,873876002146,873876002146,9.25,9.25,55,55,7,7,7,7,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
MATCHED_EXACT_SKU,EZ07TT,EZ07TT,"TapeTech EasyClean® Finishing Box - 7""",873876002603,873876002603,2.75,2.75,10,10,6,6,4,4,,,,,,,,,,,,,,,,,UNCHANGED,Exact normalized SKU and TapeTech brand guard passed.
