Model,Description,UPC Code,Ship Box Length (in),Ship Box Width (in),Ship Box Height (in),Ship Package Weight (lbs),Ship Box Length (cm),Ship Box Width (cm),Ship Box Height (cm),Ship Package Weight (kg)
16TT,Mud Head for Outside Corner (90 Degrees),873876000395,6.5,4.5,4.5,0.6,17,12,12,0.2722
16TT90,Mud Head for Inside Corner (90 Degrees),873876000401,6.5,4.5,4.5,0.55,17,12,12,0.2495
BHE-SW,EasyClean Extendable Box Handle with Swivel,873876000890,46,4.5,4.5,6.4,117,12,12,2.903
BH,EasyClean Box Handle,873876000906,44,4.5,4.5,5.1,112,12,12,2.3133
BHE,EasyClean Extendable Box Handle,873876000883,46,4.5,4.5,6.2,117,12,12,2.8123
FBH2642TT-CF,Carbon Fiber Box Handle 26-42 in,873876002658,31,4,4,3.6,79,11,11,1.6329
FBH4272TT-CF,Carbon Fiber Box Handle 42-72 in,873876002665,47,4,4,4.2,120,11,11,1.9051
CT24TT,"24"" Compound Tube",873876002245,32.25,4.25,4.25,2.4,82,11,11,1.0886
CT36TT,"36"" Compound Tube",873876002252,48.25,4.25,4.25,3.1,124,11,11,1.4061
CT42TT,"42"" Compound Tube",873876002269,50.25,5.25,5.25,3.6,128,13,13,1.6329
CA07TT,"7"" Corner Applicator",873876002788,8,8,4,2.5,21,21,11,1.13
CA08TT,"8"" Corner Applicator",873876002795,9,9,4,2.8,23,23,11,1.27
42TT,"2.5"" Corner Finisher",873876002290,5,5,6,1,12.7,12.7,15.24,0.45
48TT,"3"" Easy Roll Adjustable Corner Finisher",873876000562,6,4,4,1.05,16,11,11,0.4763
15TTE,Inside Corner Roller,873876000388,8,4,4,1.9,21,11,11,0.8618
17TT,Outside Corner Roller,873876000418,6.5,4.5,4.5,1.65,17,12,12,0.7484
17TTE,Outside Corner Roller (for Flex Tape),873876000425,6.5,4.5,4.5,1.65,17,12,12,0.7484
07TT,EasyClean Automatic Taper,873876002146,55,7,7,9.25,140,18,18,4.1957
EZ07TT,"7"" EasyClean® Finishing Box with EasyRoll™ Wheels",873876002603,10,6,4,2.75,26,16,11,1.2474
EZ10TT,"10"" EasyClean® Finishing Box with EasyRoll™ Wheels",873876002610,12,6,4,3.3,31,16,11,1.4969
EZ12TT,"12"" EasyClean® Finishing Box with EasyRoll™ Wheels",873876002627,14,6,4,3.85,36,16,11,1.7463
76TT,EasyClean Loading Pump,873876002108,23.5,7.5,6.5,9.6,60,20,17,4.3545
EHC07,"7"" MAXXBOX™ Extra High Capacity Finishing Box",873876002115,9,8,6,4,23,21,16,1.81
EHC10,"10"" MAXXBOX™ Extra High Capacity Finishing Box",873876002122,12,8,6,4.5,31,21,16,2.04
EHC12,"12"" MAXXBOX™ Extra High Capacity Finishing Box",873876002139,14,8,6,5,36,21,16,2.27
PAHC07,"7"" Power Assist MAXXBOX Extra High Capacity Finishing Box",873876002306,9,8,6,4.2,23,21,16,1.9051
PAHC10,"10"" Power Assist MAXXBOX Extra High Capacity Finishing Box",873876002313,12,8,6,4.8,31,21,16,2.1772
PAHC12,"12"" Power Assist MAXXBOX Extra High Capacity Finishing Box",873876002320,14,8,6,5.2,36,21,16,2.3587
FHTT,Interchangeable Fiberglass Support Handle,873876002726,45.5,2.25,2.25,3.3,115.57000000000001,5.7149999999999999,5.7149999999999999,1.4969
14TT,MudRunner,873876000371,65,6.5,6.5,8.75,166,17,17,3.9689
