brand,optionGroup,type,sku,parentSku,name,price,inStock,mpn,sizeLabel,categories
Asgard,adapter,simple,CFA-AD,,Asgard Angle Head Adapter - [CFA-AD],45.0,True,CFA-AD,CFA-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,angle_head,variation,AH25-AD,ASG-ASGARD-ANGLE-HEAD,Asgard Angle Head - [AH25-AD],349.0,True,AH25-AD,"Angle Head Size: 2.5""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,angle_head,variation,AH30-AD,ASG-ASGARD-ANGLE-HEAD,Asgard Angle Head - [AH30-AD],373.0,False,AH30-AD,"Angle Head Size: 3""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,angle_head,variation,AH35-AD,ASG-ASGARD-ANGLE-HEAD,Asgard Angle Head - [AH35-AD],393.0,False,AH35-AD,"Angle Head Size: 3.5""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,automatic_taper,simple,AT01-AD,,Asgard The HAMMER™ Automatic Taper - [AT01-AD],1402.0,True,AT01-AD,AT01-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,corner_applicator,simple,CA08-AD,,Asgard Applicator Box – Head Only - [CA08-AD],298.0,True,CA08-AD,CA08-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,filler_adapter,simple,XH-AD,,Asgard Extension Support Handle - 43” to 76” - [XH-AD],224.0,True,XH-AD,XH-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,filler_adapter,simple,FH-AD,,"Asgard Fiberglass Handle - 43"" - [FH-AD]",48.0,True,FH-AD,FH-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box,variation,EZ07-AD,ASG-ASGARD-FINISHING-BOX,Asgard Finishing Box - [EZ07-AD],330.0,True,EZ07-AD,"Size: 7""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box,variation,EHC07-AD,ASG-ASGARD-MAXXBOX-FINISHING-BOX,Asgard MAXXBOX Finishing Box - [EHC07-AD],403.0,True,EHC07-AD,"Size: 7""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box,variation,PA07-AD,ASG-ASGARD-POWER-ASSIST-MAXXBOX-FINISHING-BOX,Asgard Power Assist MAXXBOX Finishing Box - [PA07-AD],472.0,True,PA07-AD,"Size: 7""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box,variation,EZ10-AD,ASG-ASGARD-FINISHING-BOX,Asgard Finishing Box - [EZ10-AD],346.0,True,EZ10-AD,"Size: 10""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box,variation,EHC10-AD,ASG-ASGARD-MAXXBOX-FINISHING-BOX,Asgard MAXXBOX Finishing Box - [EHC10-AD],413.0,True,EHC10-AD,"Size: 10""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box,variation,PA10-AD,ASG-ASGARD-POWER-ASSIST-MAXXBOX-FINISHING-BOX,Asgard Power Assist MAXXBOX Finishing Box - [PA10-AD],488.0,True,PA10-AD,"Size: 10""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box,variation,EZ12-AD,ASG-ASGARD-FINISHING-BOX,Asgard Finishing Box - [EZ12-AD],361.0,True,EZ12-AD,"Size: 12""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box,variation,EHC12-AD,ASG-ASGARD-MAXXBOX-FINISHING-BOX,Asgard MAXXBOX Finishing Box - [EHC12-AD],458.0,True,EHC12-AD,"Size: 12""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box,variation,PA12-AD,ASG-ASGARD-POWER-ASSIST-MAXXBOX-FINISHING-BOX,Asgard Power Assist MAXXBOX Finishing Box - [PA12-AD],503.0,True,PA12-AD,"Size: 12""",Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box_handle,simple,BBH-AD,,"Asgard Brakeless Box Handle (Fixed Length) - 34"" - [BBH-AD]",142.0,True,BBH-AD,BBH-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box_handle,simple,BBHE-AD,,Asgard Brakeless Box Extendable Handle - 38” - 60” - [BBHE-AD],294.0,True,BBHE-AD,BBHE-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,flat_box_handle,simple,FBHE-AD,,"Asgard Extendable Finishing Box Handle - 41"" - 63"" - [FBHE-AD]",322.0,True,FBHE-AD,FBHE-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,loading_pump,simple,GN01-AD,,Asgard Gooseneck Adapter - [GN01-AD],111.0,True,GN01-AD,GN01-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,loading_pump,simple,LP01-AD,,Asgard Loading Pump - [LP01-AD],417.0,True,LP01-AD,LP01-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,other_tool,simple,NS03-AD,,Asgard Nail Spotter – Head Only - [NS03-AD],298.0,True,NS03-AD,NS03-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,preset_bundle,simple,TTBDL9,,Asgard Classic Finishing Set - [TTBDL9],1246.0,False,TTBDL9,TTBDL9,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Asgard,support_handle,simple,CR01-AD,,Asgard Inside Corner Roller – Head Only - [CR01-AD],178.0,True,CR01-AD,CR01-AD,Drywall Finishing Tools > Asgard > Automatic Taping Tools
Columbia,angle_head,variation,2AH,COL-COLUMBIA-ANGLE-HEAD,Columbia Angle Head - [2AH],358.0,True,2AH,"Angle Head Size: 2""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,angle_head,variation,2.5AH,COL-COLUMBIA-ANGLE-HEAD,Columbia Angle Head - [2.5AH],363.0,True,2.5AH,"Angle Head Size: 2.5""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,angle_head,variation,3AH,COL-COLUMBIA-ANGLE-HEAD,Columbia Angle Head - [3AH],367.0,True,3AH,"Angle Head Size: 3""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,angle_head,variation,3.5AH,COL-COLUMBIA-ANGLE-HEAD,Columbia Angle Head - [3.5AH],409.0,True,3.5AH,"Angle Head Size: 3.5""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,C1PTAPER,,Columbia One Predator Automatic Taper - [C1PTAPER],1896.0,True,C1PTAPER,C1PTAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,TBPTAPER,,Columbia 6ft Tall Boy Predator Automatic Taper - [TBPTAPER],1919.0,True,TBPTAPER,TBPTAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,STAPER,,"Columbia Sawed Off Automatic Taper 39"" - [STAPER]",1683.0,False,STAPER,STAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,SPTAPER,,"Columbia Sawed Off Predator Automatic Taper 39"" - [SPTAPER]",1896.0,False,SPTAPER,SPTAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,TAPER,,Columbia Automatic Taper - [TAPER],1683.0,True,TAPER,TAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,SAT,,Columbia Semi Automatic Taper - [SAT],192.0,True,SAT,SAT,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,ICA2-1,,Columbia 2 Wheeled Internal 90° Applicator - [ICA2-1],49.0,True,ICA2-1,ICA2-1,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,ICA4-1,,Columbia 4 Wheeled Internal 90° Applicator - [ICA4-1],63.0,True,ICA4-1,ICA4-1,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,variation,7CFB,COL-COLUMBIA-THROTTLE-BOX,Columbia Throttle Box - [7CFB],299.0,True,7CFB,"Size: 7""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,corner_applicator,variation,8CFB,COL-COLUMBIA-THROTTLE-BOX,Columbia Throttle Box - [8CFB],311.0,True,8CFB,"Size: 8""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,corner_applicator,variation,CMT24,COL-COLUMBIA-COMPOUND-TUBE,Columbia Compound Tube - [CMT24],158.0,True,CMT24,"Size: 24""",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,variation,CMT32,COL-COLUMBIA-COMPOUND-TUBE,Columbia Compound Tube - [CMT32],167.0,True,CMT32,"Size: 32""",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,variation,CMT42,COL-COLUMBIA-COMPOUND-TUBE,Columbia Compound Tube - [CMT42],182.0,True,CMT42,"Size: 42""",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,PCMT42,,Columbia Predator Compound Tube - [PCMT42],217.0,True,PCMT42,PCMT42,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,variation,CMT55,COL-COLUMBIA-COMPOUND-TUBE,Columbia Compound Tube - [CMT55],190.0,True,CMT55,"Size: 55""",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,CEXT90,,Columbia External 90° Applicator - [CEXT90],98.0,True,CEXT90,CEXT90,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,BF,,Columbia Box Filler - [BF],52.0,True,BF,BF,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,corner_applicator,simple,CLT-BF,,Columbia Cam Lock Tube Box Filler - [CLT-BF],66.0,True,CLT-BF,CLT-BF,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,corner_applicator,simple,CFLT,,Columbia Flat Applicator - [CFLT],60.0,True,CFLT,CFLT,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,TBBF,,Columbia Tall Boy Box Filler - [TBBF],52.0,True,TBBF,TBBF,Drywall Finishing Tools > Columbia > Automatic Taping Tools
