action,SKU,ID,Name,detail
removed_from_launch_scope,AB1,11096,Automatic Box Handle Body,kind=part
removed_from_launch_scope,AB3ALEFT,11097,Automatic Box End Plate Left,kind=part
removed_from_launch_scope,AB3ARIGHT,11098,Automatic Box End Plate Right,kind=part
removed_from_launch_scope,AB40,11099,Automatic Box Air Valve Seat,kind=part
removed_from_launch_scope,AB41,11100,Automatic Box Air Valve Stem,kind=part
removed_from_launch_scope,AB42,11101,Automatic Box Air Valve Body,kind=part
removed_from_launch_scope,AB43,11102,Automatic Box Throttle Housing,kind=part
removed_from_launch_scope,AB44,11103,Automatic Box Clutch Spring,kind=part
removed_from_launch_scope,AB44A,11104,Automatic Box Clutch Spring Short,kind=part
removed_from_launch_scope,AB44B,11105,Automatic Box Clutch Spring Long,kind=part
removed_from_launch_scope,AB45,11106,Automatic Box Throttle Set Screw,kind=part
removed_from_launch_scope,AB46,11107,Automatic Box Throttle Pin,kind=part
removed_from_launch_scope,AB47,11108,Automatic Box Thumb Valve,kind=part
removed_from_launch_scope,AB48,11109,Automatic Box Air Valve O - Ring,kind=part
removed_from_launch_scope,AB49,11110,Automatic Box Handle Mount,kind=part
removed_from_launch_scope,AB50,11111,Automatic Box Pressure Spring,kind=part
removed_from_launch_scope,AB51,11112,Automatic Box Release Clip,kind=part
removed_from_launch_scope,AB52,11113,Automatic Box Thumb Valve Seat,kind=part
removed_from_launch_scope,AB54,11114,Automatic Box Air Valve Assembly,kind=part
removed_from_launch_scope,AH1,11117,Spring Housing Angle Head (AH1A),kind=part
removed_from_launch_scope,AH11,11121,Return Spring Post Angle Head,kind=part
removed_from_launch_scope,AH15,11122,Handle Ball,kind=part
removed_from_launch_scope,AH16,11123,Retaining Spring Backer,kind=part
removed_from_launch_scope,AH23INL,11124,Left Frame Sub - Assembly 3 in (AHA2 - 3L),kind=part
removed_from_launch_scope,AH23INR,11125,Right Frame Sub - Assembly 3 in (AHA2 - 3R),kind=part
removed_from_launch_scope,AH20,11126,Angle Head Pivot Pin,kind=part
removed_from_launch_scope,AH21,11127,Angle Head Hinge Spacer,kind=part
removed_from_launch_scope,AH22,11128,Angle Head Frame Clamp,kind=part
removed_from_launch_scope,AH23,11129,Angle Head Frame Retaining Pin,kind=part
removed_from_launch_scope,AH6,11133,Funnel Retainer Spring,kind=part
removed_from_launch_scope,AHBALL,11142,Angle Head Ball Adapter (AHA),kind=part
removed_from_launch_scope,AH12,11143,"Head Casting - 2""",kind=part
removed_from_launch_scope,AH125,11146,"Head Casting - 2.5""",kind=part
removed_from_launch_scope,AH13,11149,"Head Casting - 3""",kind=part
removed_from_launch_scope,AH135,11150,"Head Casting - 3.5""",kind=part
removed_from_launch_scope,AH18,11153,Socket Wear Cap,kind=part
removed_from_launch_scope,AH1A,11156,Spring Housing,kind=part
removed_from_launch_scope,AH1B,11159,Return Spring,kind=part
removed_from_launch_scope,AH32,11162,"2"" Top Blade",kind=part
removed_from_launch_scope,AH325,12424,"2.5"" Top Blade",kind=part
removed_from_launch_scope,AH33,12425,"3"" Top Blade",kind=part
removed_from_launch_scope,AH335,12426,"3.5"" Top Blade",kind=part
removed_from_launch_scope,AH4,12427,Side Blade,kind=part
removed_from_launch_scope,AH5,12428,Frame Retainer Clip,kind=part
removed_from_launch_scope,AH6A,12429,Funnel Retainer Clip,kind=part
removed_from_launch_scope,AH72,12430,"Frame Tension Spring - 2""",kind=part
removed_from_launch_scope,AH725,12431,"Frame Tension Spring - 2.5""",kind=part
removed_from_launch_scope,AH73,12432,"Framer Tention Spring - 3""",kind=part
removed_from_launch_scope,AH735,12433,"Frame Tension Spring - 3.5""",kind=part
removed_from_launch_scope,AH8,12434,Top Retainer Corner Clip,kind=part
