"attachment_id","schematic_id","brand","model_number","model_name","part_count","notes","product_ids"
"","asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch","Asgard","AH25AD","Asgard Angle Head -  2.5""","23","normalized_from=asgard-ah25-ad-sch; slug=asgard-angle-head-2-5-ah25-ad; sku=AH25AD",""
"","asgard-angle-head-3-ah30-ad-sch","Asgard","AH30AD","Asgard Angle Head -  3""","28","normalized_from=asgard-ah30-ad-sch; slug=asgard-angle-head-3-ah30-ad; sku=AH30AD",""
"","asgard-angle-head-3-5-ah35-ad-sch","Asgard","AH35AD","Asgard Angle Head -  3.5""","29","normalized_from=asgard-ah35-ad-sch; slug=asgard-angle-head-3-5-ah35-ad; sku=AH35AD",""
"","asgard-hammer-automatic-taper-at01-ad-sch","Asgard","AT01AD","Asgard The HAMMER™ Automatic Taper","35","normalized_from=asgard-at01-ad-sch; slug=asgard-hammer-automatic-taper-at01-ad; sku=AT01AD",""
"","asgard-brakeless-box-handle-34-bbh-ad-sch","Asgard","BBHAD","Asgard Brakeless Box Handle (Fixed Length) - 34""","9","normalized_from=asgard-bbh-ad-sch; slug=asgard-brakeless-box-handle-34-bbh-ad; sku=BBHAD",""
"","asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch","Asgard","BBHEAD","Asgard Brakeless Box Extendable Handle - 38” - 60”","12","normalized_from=asgard-bbhe-ad-sch; slug=asgard-brakeless-box-extendable-handle-38-60-bbhe-ad; sku=BBHEAD",""
"","asgard-ca08-ad-applicator-box-head-sch","Asgard","CA08AD","Asgard Applicator Box – Head Only","32","normalized_from=asgard-ca08-ad-sch; slug=asgard-ca08-ad-applicator-box-head; sku=CA08AD",""
"","asgard-angle-head-adapter-cfa-ad-sch","Asgard","CFAAD","Asgard Angle Head Adapter","3","normalized_from=asgard-cfa-ad-sch; slug=asgard-angle-head-adapter-cfa-ad; sku=CFAAD",""
"","asgard-inside-corner-roller-cr01-ad-sch","Asgard","CR01AD","Asgard Inside Corner Roller – Head Only","14","normalized_from=asgard-cr01-ad-sch; slug=asgard-inside-corner-roller-cr01-ad; sku=CR01AD",""
"","asgard-maxxbox-finishing-box-7-ehc07-ad-sch","Asgard","EHC07AD","Asgard MAXXBOX Finishing Box -  7""","61","normalized_from=asgard-ehc07-ad-sch; slug=asgard-maxxbox-finishing-box-7-ehc07-ad; sku=EHC07AD",""
"","asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch","Asgard","EHC10AD","Asgard MAXXBOX Finishing Box -  10""","61","normalized_from=asgard-ehc10-ad-sch; slug=asgard-10-inch-maxxbox-finishing-box-ehc10-ad; sku=EHC10AD",""
"","asgard-maxxbox-finishing-box-12-ehc12-ad-sch","Asgard","EHC12AD","Asgard MAXXBOX Finishing Box -  12""","63","normalized_from=asgard-ehc12-ad-sch; slug=asgard-maxxbox-finishing-box-12-ehc12-ad; sku=EHC12AD",""
"","asgard-finishing-box-7-ez07-ad-sch","Asgard","EZ07AD","Asgard Finishing Box -  7""","55","normalized_from=asgard-ez07-ad-sch; slug=asgard-finishing-box-7-ez07-ad; sku=EZ07AD",""
"","asgard-finishing-box-10-ez10-ad-sch","Asgard","EZ10AD","Asgard Finishing Box -  10""","55","normalized_from=asgard-ez10-ad-sch; slug=asgard-finishing-box-10-ez10-ad; sku=EZ10AD",""
"","asgard-finishing-box-12-ez12-ad-sch","Asgard","EZ12AD","Asgard Finishing Box -  12""","56","normalized_from=asgard-ez12-ad-sch; slug=asgard-finishing-box-12-ez12-ad; sku=EZ12AD",""
"","asgard-angle-head-2-5-ah25-ad-adapters-fa01-ad-sch","Asgard","AH25AD","Asgard Angle Head -  2.5""","6","normalized_from=asgard-fa01-ad-sch; slug=asgard-angle-head-2-5-ah25-ad; sku=AH25AD",""
"","asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch","Asgard","FBHEAD","Asgard Extendable Finishing Box Handle - 41"" - 63""","26","normalized_from=asgard-fbhe-ad-sch; slug=asgard-extendable-finishing-box-handle-41-63-fbhe-ad; sku=FBHEAD",""
"","asgard-fh-ad-fiberglass-handle-43-sch","Asgard","FHAD","Asgard Fiberglass Handle - 43""","2","normalized_from=asgard-fh-ad-sch; slug=asgard-fh-ad-fiberglass-handle-43; sku=FHAD",""
"","asgard-mud-pumps-gn01-ad-sch","Asgard","GN01AD","Asgard Gooseneck Adapter","4","normalized_from=asgard-gn01-ad-sch; slug=asgard-mud-pumps-gn01-ad; sku=GN01AD",""
"","asgard-loading-pump-lp01-ad-sch","Asgard","LP01AD","Asgard Loading Pump","35","normalized_from=asgard-lp01-ad-sch; slug=asgard-loading-pump-lp01-ad; sku=LP01AD",""
