"schematic_id","part_id","part_name","qty"
"asgard-fa01-ad-sch","722039","Discharge Tube","1"
"asgard-fa01-ad-sch","709043","709043 - S-Hook","1"
"asgard-fa01-ad-sch","709034","709034 - Filler O-Ring Kit 5-Pack","1"
"asgard-fa01-ad-sch","700042","700042 - Connector for Filler","1"
"asgard-fa01-ad-sch","709043","709043 - S-Hook","1"
"asgard-fa01-ad-sch","704040","704040 - Filler Tube Assembly","1"
"asgard-ah25-ad-sch","059091","059091 - 6-32 X 1/2 Fill. Hd Screw","1"
"asgard-ah25-ad-sch","402002B","402002B","1"
"asgard-ah25-ad-sch","409010","409010 - Retainer Spring","1"
"asgard-ah25-ad-sch","402012","402012 - Ball Retainer","1"
"asgard-ah25-ad-sch","480021","480021 - Blade Tension Spring (Small)","1"
"asgard-ah25-ad-sch","480017F","480017 - Center Clip (Short)","1"
"asgard-ah25-ad-sch","402019","402019 - Blade Holder Stop","1"
"asgard-ah25-ad-sch","059084","059084 - 8-32 X 1/4 1/2 Dog Setscrew","1"
"asgard-ah25-ad-sch","420016","420016 - 2.5in Frame (Right)","1"
"asgard-ah25-ad-sch","480002B","480002B","1"
"asgard-ah25-ad-sch","484014F","484014F - Center Clip Assy","1"
"asgard-ah25-ad-sch","359005","359005 - 6-32 X 1/4 Bind Hd Screw","1"
"asgard-ah25-ad-sch","059037","059037 - 4-40 X 1/4 Bind Hd Screw","1"
"asgard-ah25-ad-sch","489022","489022 - Screw, 4-40 X 31/64","1"
"asgard-ah25-ad-sch","480230","480230 - Head Frame Stop","1"
"asgard-ah25-ad-sch","489013","489013 - 6-32x1/8 Socket Hd Setscrew","1"
"asgard-ah25-ad-sch","420009","420009 - Carbide Blade 2.5in","1"
"asgard-ah25-ad-sch","409011","409011 - Skid Blade","1"
"asgard-ah25-ad-sch","420015","420015 - 2.5in Frame (Left)","1"
"asgard-ah25-ad-sch","402019","402019 - Blade Holder Stop","1"
"asgard-ah25-ad-sch","059037","059037 - 4-40 X 1/4 Bind Hd Screw","1"
"asgard-ah25-ad-sch","402006","402006 - Insert Socket","1"
"asgard-ah25-ad-sch","359005","359005 - 6-32 X 1/4 Bind Hd Screw","1"
"asgard-ah30-ad-sch","059091","059091 - 6-32 X 1/2 Fill. Hd Screw","1"
"asgard-ah30-ad-sch","4020028","4020028","1"
"asgard-ah30-ad-sch","409010","409010 - Retainer Spring","1"
"asgard-ah30-ad-sch","402012","402012 - Ball Retainer","1"
"asgard-ah30-ad-sch","480021","480021 - Blade Tension Spring (Small)","1"
"asgard-ah30-ad-sch","480017F","480017 - Center Clip (Short)","1"
"asgard-ah30-ad-sch","486001","TapeTech 3"" Easy Roll Head Casting (486001)","1"
"asgard-ah30-ad-sch","059084","059084 - 8-32 X 1/4 1/2 Dog Setscrew","1"
"asgard-ah30-ad-sch","460005","460005","1"
"asgard-ah30-ad-sch","480008F","480008 - Spring Adjusting Cam (Left)","1"
"asgard-ah30-ad-sch","46Y013","46Y013","1"
"asgard-ah30-ad-sch","450009F","450009 - 3"" Carbide Blade","1"
"asgard-ah30-ad-sch","40Y011","40Y011","1"
"asgard-ah30-ad-sch","4B0015F","4B0015F","1"
"asgard-ah30-ad-sch","402006","402006 - Insert Socket","1"
"asgard-ah30-ad-sch","359005","359005 - 6-32 X 1/4 Bind Hd Screw","1"
"asgard-ah30-ad-sch","409020","409020","1"
"asgard-ah30-ad-sch","480007F","480007 - Spring Adjusting Cam (Right)","1"
"asgard-ah30-ad-sch","05P037","05P037","1"
"asgard-ah30-ad-sch","405022","405022","1"
"asgard-ah30-ad-sch","480016","TapeTech Stainless Steel Frame, Right (480016)","1"
"asgard-ah30-ad-sch","4B0002B","4B0002B","1"
"asgard-ah30-ad-sch","484G14F","484G14F","1"
"asgard-ah30-ad-sch","480026","480026 - TapeTech Replacement Angle Head Wheel","1"
"asgard-ah30-ad-sch","489026","489026","1"
"asgard-ah30-ad-sch","48Y027","48Y027","1"
"asgard-ah30-ad-sch","489023","489023 - #6 SS Flat Washer","1"
