ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _dtb_specs_json,Meta: _includes_0_name,Meta: _includes_0_sku,Meta: _includes_1_name,Meta: _includes_1_sku,Meta: _includes_2_name,Meta: _includes_2_sku,Meta: _includes_3_name,Meta: _includes_3_sku,Meta: _includes_4_name,Meta: _includes_4_sku,Meta: _includes_5_name,Meta: _includes_5_sku,Meta: _includes_6_name,Meta: _includes_6_sku,Meta: _includes_7_name,Meta: _includes_7_sku,Meta: _includes_8_name,Meta: _includes_8_sku,Meta: _includes_9_name,Meta: _includes_9_sku,Meta: _includes_10_name,Meta: _includes_10_sku,Meta: _includes_11_name,Meta: _includes_11_sku,Meta: _includes_12_name,Meta: _includes_12_sku,Meta: _includes_13_name,Meta: _includes_13_sku,Meta: _includes_14_name,Meta: _includes_14_sku
,variable,COL-180-GRIP-FLAT-BOX-HANDLE,,Columbia 180° Grip Flat Box Handle,1,0,visible,The Columbia 180° Grip Flat Box Handle features a rotating ergonomic design that minimizes wrist fatigue and maximizes control during drywall finishing. Its lightweight aluminum construction ensures consistent pressure and long-term durability for professional daily use.,"<h3>Columbia 180° Grip Flat Box Handle</h3><p>The Columbia 180° Grip Flat Box Handle provides drywall professionals with the leverage and control required for high-volume finishing. By utilizing a specialized rotating grip, this tool minimizes the physical strain typically caused by repetitive motion, allowing for smoother, more consistent passes on walls and ceilings.</p><p>Constructed from high-grade aluminum, the handle maintains a lightweight profile while ensuring the rigidity necessary to apply even pressure to flat boxes. Its design facilitates natural wrist alignment, significantly reducing fatigue during extended shifts.</p><h3>Features</h3><ul><li><strong>180° Rotating Grip:</strong> Enables fluid movement and natural hand positioning, reducing torque stress during push and pull strokes.</li><li><strong>Rigid Aluminum Build:</strong> Offers a durable, lightweight frame that prevents flex for precise compound application.</li><li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with Columbia flat boxes and most standard industry finishing tools.</li><li><strong>Versatile Length Options:</strong> Available in 3′, 42″, 4′, 5′, and 6′ configurations to accommodate various ceiling heights and wall reaches.</li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Flat Box Handles,"Columbia,Drywall Finishing Tools",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_flat_box_handle_01.webp,,,,,,,,,11,Columbia Tools,Handle Length,"3', 42"", 4', 5', 6'",1,0,3',"Columbia 180 degree handle, flat box handle, drywall finishing tool, drywall box handle, aluminum box handle, Columbia tools",Columbia 180° Grip Flat Box Handle | Pro Drywall Tool,Enhance your drywall finishing with the Columbia 180° Grip Flat Box Handle. Ergonomic rotating design reduces fatigue and improves control on every run.,/product/columbia-180-degree-grip-flat-box-handle/,"index, follow",Columbia 180° Grip Flat Box Handle,"drywall finishing tools, flat box handle, drywall taping tools, Columbia Taping Tools, drywall finishing handle",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,flat-box-handles,flat-box-handles,0,,,,,3BH,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-180-GRIP-FLAT-BOX-HANDLE""},{""label"":""Handle Length"",""value"":""3', 42\"", 4', 5', 6'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,3BH,,Columbia 180° Grip Flat Box Handle - 3',1,0,visible,"The Columbia 180° Grip Flat Box Handle - 3' features an ergonomic rotating design that reduces wrist fatigue and improves control during drywall finishing. Its lightweight, rigid aluminum construction ensures consistent pressure for professional-grade results.","<p>Columbia 180° Grip Flat Box Handle - 3' provides drywall professionals with an ergonomic solution for high-volume finishing tasks. By incorporating a rotating grip mechanism, this tool minimizes repetitive strain and allows for fluid, natural movement during both push and pull strokes. Its rigid aluminum construction ensures consistent pressure application, preventing the flex often found in standard handles and resulting in a cleaner, more uniform finish. Designed for durability and ease of use, this handle integrates seamlessly into existing tool kits, making it a reliable choice for daily production environments. <h3>Features:</h3><ul><li><strong>180° Rotating Grip:</strong> Enables natural wrist alignment and reduces fatigue during extended use.</li><li><strong>Lightweight Aluminum Build:</strong> Offers a high strength-to-weight ratio for precise control without unnecessary bulk.</li><li><strong>Universal Compatibility:</strong> Engineered to fit Columbia flat boxes and most major industry-standard finishing boxes.</li><li><strong>Optimized 3' Length:</strong> Provides the ideal reach for standard wall heights and efficient maneuverability.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,174.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,1,Columbia Tools,Handle Length,3',1,0,,"Columbia 3ft handle, 180 degree grip, drywall flat box, taping tool handle, professional drywall finishing, aluminum box handle",Columbia 180° Grip Flat Box Handle - 3' | Ergonomic Drywall,The 3' Columbia 180° Grip Flat Box Handle features a rotating design to reduce fatigue and ensure consistent pressure for professional drywall finishing.,/product/columbia-180-grip-flat-box-handle-3ft/,"index, follow",Columbia 180° Grip Flat Box Handle,"drywall finishing tool, flat box handle, drywall taping tools, 3ft box handle, ergonomic drywall handle",Columbia Tools,3BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,3',3',,1,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""3BH""},{""label"":""Model"",""value"":""3BH""},{""label"":""Handle Length"",""value"":""3'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,42BH,,"Columbia 180° Grip Flat Box Handle - 42""",1,0,visible,"The Columbia 180° Grip Flat Box Handle - 42"" features a rotating grip design that reduces wrist fatigue and improves control during drywall finishing. This lightweight, aluminum-constructed handle offers universal compatibility for consistent, professional-grade results.","<p>Columbia 180° Grip Flat Box Handle - 42"" provides drywall professionals with a high-performance tool designed to minimize physical strain during extended finishing shifts. The unique 180° rotating grip mechanism allows for fluid, natural movement, effectively neutralizing the torque stress common with standard fixed-handle designs. Constructed from high-grade aluminum, this handle maintains structural rigidity to ensure consistent pressure application across every joint. <h3>Features:</h3><ul><li><strong>180° Rotating Grip:</strong> Facilitates ergonomic hand positioning for both push and pull strokes, significantly reducing wrist fatigue.</li><li><strong>Lightweight Aluminum Build:</strong> Offers a balanced, rigid feel that prevents handle flex and ensures precise box control.</li><li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with Columbia flat boxes and most major industry-standard finishing boxes.</li><li><strong>Canadian Craftsmanship:</strong> Built for durability and daily production demands in professional drywall environments.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,175.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,2,Columbia Tools,Handle Length,"42""",1,0,,"Columbia 42 inch handle, drywall flat box handle, 180 degree grip handle, drywall finishing equipment, taping tool handle","Columbia 180° Grip Flat Box Handle 42"" | Pro Drywall Tool","Upgrade your workflow with the 42"" Columbia 180° Grip Flat Box Handle. Features a rotating grip for reduced fatigue and universal box compatibility.",/product/columbia-180-grip-flat-box-handle-42/,"index, follow",Columbia 180° Grip Flat Box Handle,"drywall finishing tool, flat box handle, drywall taping tools, 42 inch box handle",Columbia Tools,42BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,"42""","42""",,2,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""42BH""},{""label"":""Model"",""value"":""42BH""},{""label"":""Handle Length"",""value"":""42\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,4BH,,Columbia 180° Grip Flat Box Handle - 4',1,0,visible,"The Columbia 180° Grip Flat Box Handle - 4' features a rotating grip that minimizes wrist fatigue and provides precise control for professional drywall finishing. Its lightweight aluminum construction ensures consistent pressure and durability for daily, high-production use.","<p>Columbia 180° Grip Flat Box Handle - 4' provides drywall professionals with a high-performance tool designed to minimize physical strain during extended finishing sessions. The unique 180° rotating grip mechanism allows for fluid, natural hand positioning, effectively neutralizing the torque stress common with standard fixed-handle designs. Constructed from high-grade aluminum, this handle maintains a lightweight profile while ensuring the rigidity required for consistent, uniform pressure across every joint. It is an essential component for contractors seeking to improve efficiency and reduce fatigue on high-volume job sites. <h3>Features:</h3><ul><li><strong>180° Rotating Grip:</strong> Facilitates ergonomic hand placement during both push and pull strokes to significantly lower wrist fatigue.</li><li><strong>Precision Aluminum Build:</strong> Offers a superior strength-to-weight ratio, preventing handle flex for more accurate box control.</li><li><strong>Universal Compatibility:</strong> Engineered to integrate seamlessly with Columbia flat boxes and the majority of industry-standard finishing boxes.</li><li><strong>Optimized Length:</strong> The 4-foot reach is specifically calibrated for standard wall heights and ceiling work, providing the ideal balance of leverage and maneuverability.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,176.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,3,Columbia Tools,Handle Length,4',1,0,,"Columbia 4ft handle, 180 degree grip handle, drywall flat box handle, taping tool handle, professional drywall tools",Columbia 180° Grip Flat Box Handle 4' | Pro Drywall Tool,The 4' Columbia 180° Grip Flat Box Handle reduces wrist fatigue with a rotating design. Durable aluminum construction for professional drywall finishing.,/product/columbia-180-grip-flat-box-handle-4ft/,"index, follow",Columbia 180° Grip Flat Box Handle,"drywall finishing tool, flat box handle, drywall taping tools, 4ft box handle, drywall contractor equipment",Columbia Tools,4BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,4',4',,3,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""4BH""},{""label"":""Model"",""value"":""4BH""},{""label"":""Handle Length"",""value"":""4'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,5BH,,Columbia 180° Grip Flat Box Handle - 5',1,0,visible,The Columbia 180° Grip Flat Box Handle - 5' features a rotating grip that reduces wrist fatigue and ensures consistent pressure for professional drywall finishing. Its lightweight aluminum construction offers the durability and control required for high-production environments.,"<p>Columbia 180° Grip Flat Box Handle - 5' is engineered for drywall professionals who require consistent, fatigue-free performance during high-volume finishing tasks. The signature 180° rotating grip mechanism allows for natural hand positioning throughout the entire stroke, effectively neutralizing the torque stress common with standard fixed-grip tools. Constructed from high-grade, lightweight aluminum, this handle provides the rigidity necessary to maintain precise box pressure without unwanted flex. It is a reliable, Canadian-made solution designed to withstand the rigors of daily job site use while improving overall finishing efficiency. <h3>Features:</h3><ul><li><strong>180° Rotating Grip:</strong> Minimizes wrist strain by enabling fluid, ergonomic hand movement during both push and pull motions.</li><li><strong>Precision Aluminum Build:</strong> Offers a high strength-to-weight ratio, ensuring the tool remains easy to maneuver while maintaining structural integrity.</li><li><strong>Universal Compatibility:</strong> Designed to integrate seamlessly with Columbia flat boxes and the majority of industry-standard finishing boxes.</li><li><strong>Optimized Reach:</strong> The 5-foot length provides the ideal leverage and extension for standard wall heights and ceiling work.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,177.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,4,Columbia Tools,Handle Length,5',1,0,,"Columbia 5ft handle, 180 degree grip handle, drywall flat box tool, professional drywall handle, aluminum box handle",Columbia 180° Grip Flat Box Handle - 5' | Pro Drywall Tool,"The 5' Columbia 180° Grip Flat Box Handle features a rotating grip for reduced fatigue and precise drywall finishing. Durable, lightweight, and reliable.",/product/columbia-180-grip-flat-box-handle-5ft/,"index, follow",Columbia 180° Grip Flat Box Handle,"drywall finishing handle, 5ft flat box handle, drywall taping tools, Columbia Taping Tools, drywall box handle",Columbia Tools,5BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,5',5',,4,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""5BH""},{""label"":""Model"",""value"":""5BH""},{""label"":""Handle Length"",""value"":""5'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,6BH,,Columbia 180° Grip Flat Box Handle - 6',1,0,visible,"The Columbia 180° Grip Flat Box Handle - 6' offers extended reach and superior leverage for professional drywall finishing. Its rotating grip design reduces wrist fatigue while ensuring precise, consistent pressure on every pass.","<p>Columbia 180° Grip Flat Box Handle - 6' provides drywall professionals with the reach and leverage required for high-ceiling finishing tasks. This tool features a specialized rotating grip mechanism that minimizes wrist strain during repetitive push and pull motions, ensuring consistent pressure application throughout the workday. Constructed from high-grade aluminum, the handle maintains structural rigidity to prevent flex while remaining lightweight for extended use. <h3>Features:</h3><ul><li><strong>180° Rotating Grip:</strong> Allows for natural hand positioning, significantly reducing torque and operator fatigue.</li><li><strong>Rigid Aluminum Build:</strong> Engineered for durability and consistent box pressure across all wall and ceiling surfaces.</li><li><strong>Universal Compatibility:</strong> Designed to integrate seamlessly with Columbia flat boxes and most standard industry finishing boxes.</li><li><strong>Extended Reach:</strong> The 6-foot length is optimized for high-wall and ceiling applications, providing maximum coverage without the need for stilts or ladders.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,178.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_flat_box_handle_01.webp,,,COL-180-GRIP-FLAT-BOX-HANDLE,,,,,,5,Columbia Tools,Handle Length,6',1,0,,"Columbia 6ft handle, 180 degree grip handle, drywall flat box tool, drywall finishing equipment, professional drywall handle",Columbia 180° Grip Flat Box Handle - 6' | Drywall Tool,The 6' Columbia 180° Grip Flat Box Handle provides extended reach and reduced wrist fatigue for professional drywall finishing. Durable aluminum build.,/product/columbia-180-grip-flat-box-handle-6ft/,"index, follow",Columbia 180° Grip Flat Box Handle 6ft,"drywall finishing tool, flat box handle, drywall taping tools, 6ft box handle, drywall finishing handle",Columbia Tools,6BH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-180-GRIP-FLAT-BOX-HANDLE,Handle Length,6',6',,5,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""6BH""},{""label"":""Model"",""value"":""6BH""},{""label"":""Handle Length"",""value"":""6'""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variable,COL-ANGLE-HEAD,,Columbia Angle Head,1,0,visible,"The Columbia Angle Head delivers professional-grade finishing for 90-degree internal angles with consistent compound application. Built from billet aluminum and stainless steel, it ensures long-term durability for demanding drywall applications.","<p>Columbia Angle Head provides precise, professional-grade finishing for 90-degree internal corners. Engineered for consistent joint compound application, this tool ensures perfectly feathered edges for seamless wall transitions. Its robust construction withstands the rigors of daily commercial use, offering reliable performance for high-volume drywall projects. <h3>Features</h3><ul><li><strong>Secure Locking Mechanism:</strong> Maintains a stable, fool-proof connection to the ball for consistent operation.</li><li><strong>Enhanced Durability:</strong> Equipped with stainless steel wings that offer superior wear resistance compared to standard nickel-plated components.</li><li><strong>Solid Billet Aluminum Body:</strong> Features a precision-machined, anodized gun metal finish that provides greater longevity than cast alternatives.</li><li><strong>Clear Wing Identification:</strong> Engraved markings allow for immediate left and right orientation, reducing setup time.</li><li><strong>Superior Finish Quality:</strong> Designed to produce a finely feathered edge, ensuring smooth integration of compound over tape after corner rolling.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,,Drywall Finishing Tools > Columbia Tools > Angle Heads,"Columbia,Drywall Finishing Tools",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_2ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_25ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_25ah_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_25ah_03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_25ah_04.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_35ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_35ah_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_35ah_03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_35ah_04.webp",,,,,,,,,5,Columbia Tools,Size,"2"", 2.5"", 3"", 3.5""",1,0,"2""","Columbia Angle Head, drywall corner tool, internal angle finisher, drywall finishing, corner glazer, COL-ANGLE-HEAD",Columbia Angle Head | Professional Drywall Corner Tool,Achieve precise 90-degree internal corner finishes with the Columbia Angle Head. Durable billet aluminum and stainless steel construction for pros.,/product/columbia-angle-head-col-angle-head/,"index, follow",Columbia Angle Head,"drywall corner tool, internal angle finisher, drywall finishing tools, corner glazer",Columbia Tools,,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,angle-heads,angle-heads,0,,,,,2AH,,0,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""COL-ANGLE-HEAD""},{""label"":""Size"",""value"":""2\"", 2.5\"", 3\"", 3.5\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,2AH,,"Columbia Angle Head - 2""",1,0,visible,"The 2"" Columbia Angle Head is a precision-engineered tool designed for consistent, professional-grade finishing of 90-degree internal drywall corners. Its robust billet aluminum and stainless steel construction ensures long-term reliability and high-quality feathering.","<p>Columbia Angle Head - 2"" provides precise, professional-grade finishing for 90-degree internal corners. This tool is engineered to apply joint compound and feather edges with consistent accuracy, meeting the demands of high-volume drywall finishing projects. Built from high-grade billet aluminum and stainless steel, it offers the durability required for daily job site use. <h3>Features</h3><ul><li><strong>Secure Locking Mechanism:</strong> Maintains a stable, reliable connection to the ball during operation.</li><li><strong>Enhanced Durability:</strong> Equipped with stainless steel wings that offer superior wear resistance compared to standard nickel-plated components.</li><li><strong>Solid Billet Aluminum Body:</strong> Features an anodized gun metal finish for increased resilience and a longer service life than cast alternatives.</li><li><strong>Clear Wing Identification:</strong> Engraved markings allow for quick left and right orientation, reducing setup time.</li><li><strong>Superior Finish Quality:</strong> Designed to produce a finely feathered edge, ensuring seamless compound integration after corner rolling.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,358.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_2ah_01.webp,,,COL-ANGLE-HEAD,,,,,,1,Columbia Tools,Size,"2""",1,0,,"Columbia 2 inch Angle Head, drywall corner tool, corner finisher, 2 inch angle head, drywall finishing tool, corner glazer","Columbia 2"" Angle Head | Professional Drywall Corner Tool","Achieve precise 90-degree internal corner finishes with the 2"" Columbia Angle Head. Durable billet aluminum and stainless steel construction.",/product/columbia-angle-head-2-inch/,"index, follow",Columbia 2 inch Angle Head,"drywall corner finisher, angle head tool, drywall finishing, internal corner tool, corner glazer",Columbia Tools,2AH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-ANGLE-HEAD,Size,"2""","2""",,1,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""2AH""},{""label"":""Model"",""value"":""2AH""},{""label"":""Size"",""value"":""2\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,2.5AH,,"Columbia Angle Head - 2.5""",0,0,hidden,"The Columbia Angle Head 2.5"" is a professional-grade tool engineered for consistent, high-quality finishing on 90-degree internal drywall corners. Its durable billet aluminum and stainless steel construction ensures long-term reliability for demanding finishing workflows.","<p>Columbia Angle Head - 2.5"" provides precise, professional-grade finishing for 90-degree internal drywall corners. Built for high-volume commercial use, this tool ensures consistent compound application and clean edge feathering on every pass. The construction utilizes high-grade billet aluminum and hardened stainless steel to withstand the rigors of daily job site demands. <h3>Features</h3><ul><li><strong>Secure Locking Mechanism:</strong> Engineered for a reliable, stable connection to the ball, preventing slippage during operation.</li><li><strong>Enhanced Durability:</strong> Equipped with robust stainless steel wings that offer superior wear resistance compared to standard nickel-plated components.</li><li><strong>Solid Billet Aluminum Body:</strong> Features a precision-machined, anodized gun metal finish that provides greater structural integrity than cast alternatives.</li><li><strong>Clear Wing Identification:</strong> Laser-engraved markings allow for rapid left and right wing identification, reducing setup time.</li><li><strong>Superior Finish Quality:</strong> Designed to produce a perfectly feathered edge, ensuring seamless integration of compound over tape after corner rolling.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,,,,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_25ah_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_25ah_02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_25ah_03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_tools_25ah_04.webp",,,COL-ANGLE-HEAD,,,,,,2,Columbia Tools,Size,"2.5""",1,0,,"Columbia 2.5 inch angle head, drywall corner tool, corner finisher, drywall finishing, internal angle tool, corner glazer","Columbia Angle Head 2.5"" | Professional Drywall Corner Tool","Achieve precise 90-degree internal corner finishes with the 2.5"" Columbia Angle Head. Durable billet aluminum construction for professional drywallers.",/product/columbia-angle-head-2-5-inch/,"index, follow",Columbia Angle Head 2.5 inch,"drywall corner finisher, angle head tool, drywall finishing tool, internal corner finisher, corner glazer",Columbia Tools,2.5AH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-ANGLE-HEAD,Size,"2.5""","2.5""",,2,1,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""2.5AH""},{""label"":""Model"",""value"":""2.5AH""},{""label"":""Size"",""value"":""2.5\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,variation,3AH,,"Columbia Angle Head - 3""",1,0,visible,"The 3"" Columbia Angle Head is a professional-grade tool designed for precise compound application and feathering on 90-degree internal drywall corners. Its robust billet aluminum and stainless steel construction ensures long-lasting performance in demanding environments.","<p>Columbia Angle Head - 3"" provides precise, professional-grade finishing for 90-degree internal drywall corners. This tool is engineered to apply joint compound and feather edges with consistent accuracy, meeting the demands of high-volume commercial projects. Built from high-grade billet aluminum and reinforced with stainless steel, it offers exceptional durability and long-term reliability on the job site.<h3>Features</h3><ul><li><strong>Secure Locking Mechanism:</strong> Engineered for a reliable, stable connection to the ball, preventing slippage during operation.</li><li><strong>Stainless Steel Wings:</strong> Constructed with hardened stainless steel wings that offer superior wear resistance compared to standard nickel-plated components.</li><li><strong>Billet Aluminum Body:</strong> Features a solid, anodized gun metal finish that provides greater structural integrity and longevity than cast metal alternatives.</li><li><strong>Engraved Identification:</strong> Wings are clearly marked for left and right orientation, allowing for rapid setup and efficient workflow management.</li><li><strong>Precision Feathering:</strong> Designed to produce a smooth, finely feathered finish that integrates seamlessly with tape after the corner rolling process.</li></ul></p>",,,taxable,,1,,,0,0,,,,,0,,,367.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_3ah_01.webp,,,COL-ANGLE-HEAD,,,,,,3,Columbia Tools,Size,"3""",1,0,,"Columbia 3 inch angle head, drywall corner finisher, 3 inch corner head, drywall finishing tool, corner applicator","Columbia 3"" Angle Head | Professional Drywall Corner Tool","Achieve professional 90-degree drywall corner finishes with the 3"" Columbia Angle Head. Durable billet aluminum and stainless steel construction.",/product/columbia-angle-head-3-inch/,"index, follow",3 inch Columbia Angle Head,"drywall finishing tool, corner finisher, internal angle head, drywall corner tool, 90 degree corner finisher",Columbia Tools,3AH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-ANGLE-HEAD,Size,"3""","3""",,3,1,,,,,,official-brand-catalog-price-validated,,Columbia Tools,,,,,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""3AH""},{""label"":""Model"",""value"":""3AH""},{""label"":""Size"",""value"":""3\""""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
