"Type","SKU","Name","ParentSKU","ParentName","Brand","Categories","VariationAxis","VariationLabel","ManufacturerSKU","MPN","CurrentRegularPrice","CurrentSalePrice","ProductURL","SearchQuery","RealRegularPrice","SourceURL","Notes"
variation,3WTCSF,"Columbia Combo Flusher - 3"" Widetrack",COL-COMBO-FLUSHER,Columbia Combo Flusher,Columbia Tools,,Size,"3"" Widetrack",,3WTCSF,1.00,,/product/columbia-combo-flusher-3-inch-widetrack-3wtcsf/,"Columbia Tools Columbia Combo Flusher - 3"" Widetrack 3WTCSF",122.51,https://lousdrywall.com/products/columbia-3-widetrack-combo-flusher,"Only verified live price found is from a Canadian dealer (Lou's Drywall Accessories, CAD). No U.S. dealer was found stocking the 3"" Widetrack COMBO Flusher (3WTCSF) specifically online with a listed price -- U.S. dealers (CSR, Master Building Materials) stock the 2.5""/3""/3.5"" Combo Flusher sizes but not the widetrack combo variant. Recommend calling a U.S. Columbia dealer (Al's Taping Tools, 800-458-7895) to special-order/confirm USD pricing before publishing. Converted from 174.00 CAD at 1 CAD = 0.704062 USD on 2026-07-08; rounded USD price = 122.51."
"variation","HMP-C","Columbia Hot Mud Pump - CDN","COL-HOT-MUD-PUMP","Columbia Hot Mud Pump","Columbia Tools","","Model","CDN","","HMP-C","1.00","","/product/columbia-hot-mud-pump-cdn/","Columbia Tools Columbia Hot Mud Pump - CDN HMP-C","380.00","https://www.alstapingtools.com/columbia-hot-mud-pump/","Verified price is for the standard U.S.-pail Columbia Hot Mud Pump (SKU HMP). Per CSR Building Supplies, the CDN/""Canadian"" version (HMP-C) is the same pump with a longer tube for Canadian-style pails -- CSR does not list a price differential between US and CDN tube lengths. Recommend a quick confirmation call to Columbia/a dealer if exact CDN-specific pricing differs."
"variation","COBCRE","Columbia Outside Corner Roller - European","COL-OUTSIDE-CORNER-ROLLER","Columbia Outside Corner Roller","Columbia Tools","","Profile","European","","COBCRE","1.00","","/product/columbia-outside-corner-roller-european-cobcre/","Columbia Tools Columbia Outside Corner Roller - European COBCRE","","","Not yet independently verified with a live, sourced price -- flagged for follow-up research pass rather than estimated/guessed."
"variation","OA90-325","Columbia UHMW Mud Applicator - Outside 90° 325","COL-UHMW-MUD-APPLICATOR","Columbia UHMW Mud Applicator","Columbia Tools","","Applicator Type","Outside 90° 325","","OA90-325","1.00","","/product/columbia-uhmw-mud-applicator-outside-90-325/","Columbia Tools Columbia UHMW Mud Applicator - Outside 90° 325 OA90-325","89.25","https://eastcoastdrywall.com/products/columbia-outside-90-grooved-mud-head","Exact SKU/variant match (Style: Classic 325, for 325 NO-COAT) confirmed at East Coast Drywall Tools Inc., a U.S. Columbia dealer (PA)."
"simple","FA280","#10 Belleville Washer","","","Columbia Tools","Drywall Finishing Tools > Columbia Tools > Parts","","","","FA280","1.00","","/product/columbia-tools-10-belleville-washer-fa280/","Columbia Tools #10 Belleville Washer FA280","","",""
"simple","FA228","#6 Flat Washer","","","Columbia Tools","Drywall Finishing Tools > Columbia Tools > Parts","","","","FA228","1.00","","/product/columbia-tools-6-flat-washer-fa228/","Columbia Tools #6 Flat Washer FA228","","",""
"simple","FA229","#6 Lock Washer","","","Columbia Tools","Drywall Finishing Tools > Columbia Tools > Parts","","","","FA229","1.00","","/product/columbia-tools-6-lock-washer-fa229/","Columbia Tools #6 Lock Washer FA229","","",""
"simple","FA230","#6 Star Washer","","","Columbia Tools","Drywall Finishing Tools > Columbia Tools > Parts","","","","FA230","1.00","","/product/columbia-tools-6-star-washer-fa230/","Columbia Tools #6 Star Washer FA230","","",""
"simple","FA202","1/16 X 1/2"" Cotter Pin","","","Columbia Tools","Drywall Finishing Tools > Columbia Tools > Parts","","","","FA202","1.00","","/product/columbia-tools-1-16-x-1-2-cotter-pin-fa202/","Columbia Tools 1/16 X 1/2"" Cotter Pin FA202","","",""
"simple","FA200","1/16 x 1/4"" Split Pin","","","Columbia Tools","Drywall Finishing Tools > Columbia Tools > Parts","","","","FA200","1.00","","/product/columbia-tools-fa200-1-16-x-1-4-split-pin/","Columbia Tools 1/16 x 1/4"" Split Pin FA200","","",""
