sku_code,kit_id,bundle_name,before_product_title,before_kit_title,before_full_title,after_kit_title,after_full_title,status,message
SACS,716869932,Columbia Commando Set,Columbia Commando Set,Standard,Columbia Commando Set Standard,,,skipped_not_duplicate,
4-605,716871967,"LEVEL5 10""/12"" Box Set with Extendable Handle - Standard","LEVEL5 10""/12"" Box Set with Extendable Handle",Standard,"LEVEL5 10""/12"" Box Set with Extendable Handle Standard",,,skipped_not_duplicate,
4-629,716871975,"LEVEL5 10""/12"" Box Set with Extendable Handle - Mega","LEVEL5 10""/12"" Box Set with Extendable Handle",Mega,"LEVEL5 10""/12"" Box Set with Extendable Handle Mega",,,skipped_not_duplicate,
4-602,716872077,LEVEL5 Entry to Automatic Finishing Set - Tools Only,LEVEL5 Entry to Automatic Finishing Set,Tools Only,LEVEL5 Entry to Automatic Finishing Set Tools Only,,,skipped_not_duplicate,
4-630,716872085,LEVEL5 The Starter Taping Set,LEVEL5 The Starter Taping Set,LEVEL5 The Starter Taping Set,LEVEL5 The Starter Taping Set LEVEL5 The Starter Taping Set,Standard,LEVEL5 The Starter Taping Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872085, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""4-630"", ""upc_code"": """", ""model_number"": """", ""price"": 2111.16, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:05.611Z"", ""updated_at"": ""2026-07-08T22:45:28.761Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""LEVEL5 The Starter Taping Set"", ""full_tit"
PT-FIN,716872232,Platinum Drywall Starter Finishing Set,Platinum Drywall Starter Finishing Set,Platinum Drywall Starter Finishing Set,Platinum Drywall Starter Finishing Set Platinum Drywall Starter Finishing Set,Standard,Platinum Drywall Starter Finishing Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872232, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""PT-FIN"", ""upc_code"": """", ""model_number"": """", ""price"": 1399.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:13.537Z"", ""updated_at"": ""2026-07-08T22:45:29.896Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""Platinum Drywall Starter Finishing Set"", "
TTSFS,716872723,TapeTech Standard Full Set - Standard,TapeTech Standard Full Set - Standard,TapeTech Standard Full Set - Standard,TapeTech Standard Full Set - Standard TapeTech Standard Full Set - Standard,Standard,TapeTech Standard Full Set - Standard Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872723, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTSFS"", ""upc_code"": """", ""model_number"": """", ""price"": 4958.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:38.138Z"", ""updated_at"": ""2026-07-08T22:45:31.068Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Standard Full Set - Standard"", ""f"
TTSFS-2,716872725,TapeTech Standard Full Set - With 2 Pumps,TapeTech Standard Full Set - With 2 Pumps,TapeTech Standard Full Set - With 2 Pumps,TapeTech Standard Full Set - With 2 Pumps TapeTech Standard Full Set - With 2 Pumps,Standard,TapeTech Standard Full Set - With 2 Pumps Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872725, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTSFS-2"", ""upc_code"": """", ""model_number"": """", ""price"": 5357.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:38.405Z"", ""updated_at"": ""2026-07-08T22:45:34.092Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Standard Full Set - With 2 Pump"
TTBBS,716872770,TapeTech Basic Box Set,TapeTech Basic Box Set,TapeTech Basic Box Set,TapeTech Basic Box Set TapeTech Basic Box Set,Standard,TapeTech Basic Box Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872770, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTBBS"", ""upc_code"": """", ""model_number"": """", ""price"": 1644.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:41.418Z"", ""updated_at"": ""2026-07-08T22:45:35.302Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Basic Box Set"", ""full_title"": ""Ta"
TTBTS,716872773,TapeTech Basic Taping Set,TapeTech Basic Taping Set,TapeTech Basic Taping Set,TapeTech Basic Taping Set TapeTech Basic Taping Set,Standard,TapeTech Basic Taping Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872773, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTBTS"", ""upc_code"": """", ""model_number"": """", ""price"": 2829.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:41.648Z"", ""updated_at"": ""2026-07-08T22:45:36.443Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Basic Taping Set"", ""full_title"": "
TTCFS,716872797,TapeTech Corner Finishing Set,TapeTech Corner Finishing Set,TapeTech Corner Finishing Set,TapeTech Corner Finishing Set TapeTech Corner Finishing Set,Standard,TapeTech Corner Finishing Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872797, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTCFS"", ""upc_code"": """", ""model_number"": """", ""price"": 1416.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:42.570Z"", ""updated_at"": ""2026-07-08T22:45:38.094Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Corner Finishing Set"", ""full_titl"
TTFINISH7/10,716872804,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,Standard,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872804, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTFINISH7/10"", ""upc_code"": """", ""model_number"": """", ""price"": 2654.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:43.274Z"", ""updated_at"": ""2026-07-08T22:45:39.333Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Drywall Finishing Set - 7 "
