"SKU","Name","Cost","Min Margin %","Current Price","Pricing Strategy"
"COL-180-GRIP-FLAT-BOX-HANDLE","Columbia 180° Grip Flat Box Handle","0.00","18","","ai_auto"
"3BH","Columbia 180° Grip Flat Box Handle - 3'","125.28","16","174.00","undercut"
"42BH","Columbia 180° Grip Flat Box Handle - 42""","126.00","16","175.00","undercut"
"4BH","Columbia 180° Grip Flat Box Handle - 4'","126.72","16","176.00","undercut"
"5BH","Columbia 180° Grip Flat Box Handle - 5'","127.44","16","177.00","undercut"
"6BH","Columbia 180° Grip Flat Box Handle - 6'","128.16","16","178.00","undercut"
"COL-ANGLE-HEAD","Columbia Angle Head","0.00","18","","ai_auto"
"2AH","Columbia Angle Head - 2""","257.76","14","358.00","cost_plus"
"2.5AH","Columbia Angle Head - 2.5""","0.00","18","","ai_auto"
"3AH","Columbia Angle Head - 3""","264.24","14","367.00","cost_plus"
"3.5AH","Columbia Angle Head - 3.5""","0.00","18","","ai_auto"
"AHA","Columbia Angle Head Adapter","0.00","18","","ai_auto"
"COL-AUTOMATIC-FAT-BOY-BOX","Columbia Automatic Fat Boy Box","0.00","18","","ai_auto"
"8FBBA","Columbia Automatic Fat Boy Box - 8""","310.32","14","431.00","cost_plus"
"10FBBA","Columbia Automatic Fat Boy Box - 10""","313.20","14","435.00","cost_plus"
"12FBBA","Columbia Automatic Fat Boy Box - 12""","318.96","14","443.00","cost_plus"
"COL-AUTOMATIC-FLAT-BOX","Columbia Automatic Flat Box","0.00","18","","ai_auto"
"8FFBA","Columbia Automatic Flat Box - 8""","285.84","14","397.00","cost_plus"
"10FFBA","Columbia Automatic Flat Box - 10""","288.72","14","401.00","cost_plus"
"12FFBA","Columbia Automatic Flat Box - 12""","291.60","14","405.00","cost_plus"
"14FFBA","Columbia Automatic Flat Box - 14""","294.48","14","409.00","cost_plus"
"COL-AUTOMATIC-TAPER","Columbia Automatic Taper","0.00","18","","ai_auto"
"TAPER","Columbia Automatic Taper - Standard 53""","1211.76","14","1683.00","cost_plus"
"PTAPER","Columbia Automatic Taper - Predator Carbon Fiber 53""","0.00","18","","ai_auto"
"STAPER","Columbia Automatic Taper - Sawed Off 39""","1211.76","14","1683.00","cost_plus"
