action,schematic_id,brand,old_model_number,new_model_number,model_name,catalog_sku,catalog_name,catalog_type,catalog_kind,score,runner_up_score,reason
review,asgard-ah25-ad,Asgard,AH25-AD,AH25-AD,2.5″ Angle Head Corner Finisher,,,,,0,0,no candidate
review,asgard-ah30-ad,Asgard,AH30-AD,AH30-AD,3″ Angle Head Corner Finisher,,,,,0,0,no candidate
review,asgard-ah35-ad,Asgard,AH35-AD,AH35-AD,3.5″ Angle Head Corner Finisher,,,,,0,0,no candidate
review,asgard-at01-ad,Asgard,AT01-AD,AT01-AD,HAMMER Automatic Taper,,,,,0,0,no candidate
review,asgard-bbh-ad,Asgard,BBH-AD,BBH-AD,Brakeless Box Handle,,,,,0,0,no candidate
review,asgard-bbhe-ad,Asgard,BBHE-AD,BBHE-AD,Brakeless Box Handle – Extendable,,,,,0,0,no candidate
review,asgard-ca08-ad,Asgard,CA08-AD,CA08-AD,8″ Angle Box Corner Applicator,,,,,0,0,no candidate
review,asgard-cfa-ad,Asgard,CFA-AD,CFA-AD,Angle Head Adapter,,,,,0,0,no candidate
review,asgard-cr01-ad,Asgard,CR01-AD,CR01-AD,Inside Corner Roller,,,,,0,0,no candidate
review,asgard-ehc07-ad,Asgard,EHC07-AD,EHC07-AD,7″ MaxxBox Finishing Box,,,,,0,0,no candidate
review,asgard-ehc10-ad,Asgard,EHC10-AD,EHC10-AD,10″ MaxxBox Finishing Box,,,,,0,0,no candidate
review,asgard-ehc12-ad,Asgard,EHC12-AD,EHC12-AD,12″ MaxxBox Finishing Box,,,,,0,0,no candidate
review,asgard-ez07-ad,Asgard,EZ07-AD,EZ07-AD,7″ Flat Finishing Box,,,,,0,0,no candidate
review,asgard-ez10-ad,Asgard,EZ10-AD,EZ10-AD,10″ Flat Finishing Box,,,,,0,0,no candidate
review,asgard-ez12-ad,Asgard,EZ12-AD,EZ12-AD,12″ Flat Finishing Box,,,,,0,0,no candidate
review,asgard-fa01-ad,Asgard,FA01-AD,FA01-AD,Filler Adapter,,,,,0,0,no candidate
review,asgard-fbhe-ad,Asgard,FBHE-AD,FBHE-AD,Extendable Flat Box Handle with Brake,,,,,0,0,no candidate
review,asgard-fh-ad,Asgard,FH-AD,FH-AD,Fiberglass Handle,,,,,0,0,no candidate
review,asgard-gn01-ad,Asgard,GN01-AD,GN01-AD,Gooseneck,,,,,0,0,no candidate
review,asgard-lp01-ad,Asgard,LP01-AD,LP01-AD,Compound Loading Pump,,,,,0,0,no candidate
review,asgard-ns03-ad,Asgard,NS03-AD,NS03-AD,3″ Nail Spotter,,,,,0,0,no candidate
review,asgard-pa07-ad,Asgard,PA07-AD,PA07-AD,7″ Power Assist Finishing Box,,,,,0,0,no candidate
review,asgard-pa10-ad,Asgard,PA10-AD,PA10-AD,10″ Power Assist Finishing Box,,,,,0,0,no candidate
review,asgard-pa12-ad,Asgard,PA12-AD,PA12-AD,12″ Power Assist Finishing Box,,,,,0,0,no candidate
