schematic_id,brand,old_notes,new_notes
columbia-2-way-internal-corner-applicator-1,Columbia Tools,source=Columbia\Schematics\Applicators\TwoWayInternalCorner\schematic_data.json; images=2-WAY-INTERNAL-CORNER-APPLICATOR-1.webp|TWO-WAY-INTERNAL-CORNER-APPLICATOR.webp,source=Columbia\Schematics\Applicators\TwoWayInternalCorner\schematic_data.json; images=2-WAY-INTERNAL-CORNER-APPLICATOR-1-SCHEMATIC.webp
columbia-8-wheel-external-corner-applicator-1,Columbia Tools,source=Columbia\Schematics\Applicators\ExternalCorner\schematic_data.json; images=8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1.webp|EXTERNAL-90-APLICATOR-CEXT90-FRONT.webp,source=Columbia\Schematics\Applicators\ExternalCorner\schematic_data.json; images=8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1-SCHEMATIC.webp
columbia-anglehead-2014-3,Columbia Tools,source=Columbia\Schematics\Angleheads\AngleHead\schematic_data.json; images=AngleHead-2014-3.webp|angleheadbacksquare.webp,source=Columbia\Schematics\Angleheads\AngleHead\schematic_data.json; images=ANGLEHEAD-2014-3-SCHEMATIC.webp
columbia-box-filler,Columbia Tools,source=Columbia\Schematics\Pumps\BoxFiller\schematic_data.json; images=BOX-FILLER.webp|boxfiller.webp,source=Columbia\Schematics\Pumps\BoxFiller\schematic_data.json; images=BOX-FILLER-SCHEMATIC.webp
columbia-classic-combo-flusher-1,Columbia Tools,source=Columbia\Schematics\CornerFlushers\ComboFlusher\schematic_data.json; images=CLASSIC-COMBO-FLUSHER-1.webp|COMBO-FLUSHER.webp,source=Columbia\Schematics\CornerFlushers\ComboFlusher\schematic_data.json; images=CLASSIC-COMBO-FLUSHER-1-SCHEMATIC.webp
columbia-columbia-one,Columbia Tools,source=Columbia\Schematics\Handles\ColumbiaOne\schematic_data.json; images=COLUMBIA-ONE.webp|columbiaonesquare.webp,source=Columbia\Schematics\Handles\ColumbiaOne\schematic_data.json; images=COLUMBIA-ONE-SCHEMATIC.webp
columbia-corner-cobra,Columbia Tools,source=Columbia\Schematics\CornerRollers\CornerCobra\schematic_data.json; images=CORNER-COBRA-SCHEMATIC.2024.webp|NEWCORNERCOBRA-scaled.webp,source=Columbia\Schematics\CornerRollers\CornerCobra\schematic_data.json; images=CORNER-COBRA-SCHEMATIC.webp
columbia-extendable-handle,Columbia Tools,source=Columbia\Schematics\Handles\LongExtendableHandle\schematic_data.json; images=CORNER-ROLLER-HANDLE-EXTENDIBLE.webp|extendable-handle.webp,source=Columbia\Schematics\Handles\LongExtendableHandle\schematic_data.json; images=EXTENDABLE-HANDLE-SCHEMATIC.webp
columbia-fat-boy-box,Columbia Tools,source=Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json; images=FAT-BOY-BOX.webp|InsideTrackBoxFrontSmall.webp,source=Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json; images=FAT-BOY-BOX-SCHEMATIC.webp
columbia-gooseneck-1-1,Columbia Tools,source=Columbia\Schematics\Pumps\GooseneckAdapter\schematic_data.json; images=Gooseneck-1-1.webp|goosenecksquare.webp,source=Columbia\Schematics\Pumps\GooseneckAdapter\schematic_data.json; images=GOOSENECK-1-1-SCHEMATIC.webp
columbia-insidecornerroller-2014-1-squared,Columbia Tools,source=Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json; images=INSIDECORNERROLLER-2014-1-SQUARED.webp|cornerroller.webp,source=Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json; images=INSIDECORNERROLLER-2014-1-SQUARED-SCHEMATIC.webp
columbia-matrix-handle,Columbia Tools,source=Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json; images=COLUMBIA-MATRIX-BOX-HANDLE.webp|MATRIX-HANDLE.webp,source=Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json; images=MATRIX-HANDLE-SCHEMATIC.webp
columbia-matrix-head,Columbia Tools,source=Columbia\Schematics\Handles\MatrixBoxHandle\Head\schematic_data.json; images=MATRIX-HEAD.webp,source=Columbia\Schematics\Handles\MatrixBoxHandle\Head\schematic_data.json; images=MATRIX-HEAD-SCHEMATIC.webp
columbia-matrix-lever-1,Columbia Tools,source=Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json; images=MATRIX-LEVER-1.webp,source=Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json; images=MATRIX-LEVER-1-SCHEMATIC.webp
columbia-matrix-pinchbox-1,Columbia Tools,source=Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json; images=MATRIX-PINCHBOX-1.webp,source=Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json; images=MATRIX-PINCHBOX-1-SCHEMATIC.webp
columbia-outsidecornerrollers-2016-1,Columbia Tools,source=Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json; images=EXTERNAL-90-APLICATOR.webp|OutsideCornerRollers-2016-1.webp,source=Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json; images=OUTSIDECORNERROLLERS-2016-1-SCHEMATIC.webp
