sku,row_type,name,filename,source
HH19,simple,Cap,columbia_tools_hh19_01.webp,catalog_or_gallery
COL-ANGLE-HEAD,variable,Columbia Angle Head,columbia_tools_2ah_05.webp,catalog_or_gallery
COL-ANGLE-HEAD,variable,Columbia Angle Head,columbia_tools_2ah_06.webp,catalog_or_gallery
COL-ANGLE-HEAD,variable,Columbia Angle Head,columbia_tools_3ah_05.webp,catalog_or_gallery
COL-ANGLE-HEAD,variable,Columbia Angle Head,columbia_tools_3ah_06.webp,catalog_or_gallery
2AH,variation,"Columbia Angle Head - 2""",columbia_tools_2ah_05.webp,catalog_or_gallery
2AH,variation,"Columbia Angle Head - 2""",columbia_tools_2ah_06.webp,catalog_or_gallery
3AH,variation,"Columbia Angle Head - 3""",columbia_tools_3ah_05.webp,catalog_or_gallery
3AH,variation,"Columbia Angle Head - 3""",columbia_tools_3ah_06.webp,catalog_or_gallery
COL-AUTOMATIC-TAPER,variable,Columbia Automatic Taper,columbia_tools_ptaper_03.webp,catalog_or_gallery
COL-AUTOMATIC-TAPER,variable,Columbia Automatic Taper,columbia_tools_sptaper_02.webp,catalog_or_gallery
COL-AUTOMATIC-TAPER,variable,Columbia Automatic Taper,columbia_tools_sptaper_03.webp,catalog_or_gallery
COL-AUTOMATIC-TAPER,variable,Columbia Automatic Taper,columbia_tools_staper_02.webp,catalog_or_gallery
PTAPER,variation,"Columbia Automatic Taper - Predator Carbon Fiber 53""",columbia_tools_ptaper_03.webp,catalog_or_gallery
SPTAPER,variation,"Columbia Automatic Taper - Predator Sawed Off Carbon Fiber 39""",columbia_tools_sptaper_02.webp,catalog_or_gallery
SPTAPER,variation,"Columbia Automatic Taper - Predator Sawed Off Carbon Fiber 39""",columbia_tools_sptaper_03.webp,catalog_or_gallery
STAPER,variation,"Columbia Automatic Taper - Sawed Off 39""",columbia_tools_staper_02.webp,catalog_or_gallery
COL-BILLET-MUD-APPLICATOR,variable,Columbia Billet Mud Applicator,columbia_tools_icatw_01.webp,catalog_or_gallery
COL-BILLET-MUD-APPLICATOR,variable,Columbia Billet Mud Applicator,columbia_tools_icatw_02.webp,catalog_or_gallery
ICATW,variation,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,columbia_tools_icatw_01.webp,catalog_or_gallery
ICATW,variation,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,columbia_tools_icatw_02.webp,catalog_or_gallery
COL-CAM-LOCK-TUBE,variable,Columbia Cam Lock Tube,columbia_tools_clt24_02.webp,catalog_or_gallery
COL-CAM-LOCK-TUBE,variable,Columbia Cam Lock Tube,columbia_tools_clt32_02.webp,catalog_or_gallery
COL-CAM-LOCK-TUBE,variable,Columbia Cam Lock Tube,columbia_tools_clt42_02.webp,catalog_or_gallery
COL-CAM-LOCK-TUBE,variable,Columbia Cam Lock Tube,columbia_tools_clt55_02.webp,catalog_or_gallery
CLT24,variation,"Columbia Cam Lock Tube - 24""",columbia_tools_clt24_02.webp,catalog_or_gallery
CLT32,variation,"Columbia Cam Lock Tube - 32""",columbia_tools_clt32_02.webp,catalog_or_gallery
CLT42,variation,"Columbia Cam Lock Tube - 42""",columbia_tools_clt42_02.webp,catalog_or_gallery
CLT55,variation,"Columbia Cam Lock Tube - 55""",columbia_tools_clt55_02.webp,catalog_or_gallery
COL-COMBO-FLUSHER,variable,Columbia Combo Flusher,columbia_tools_3wtcsf_01.webp,catalog_or_gallery
3WTCSF,variation,"Columbia Combo Flusher - 3"" Widetrack",columbia_tools_3wtcsf_01.webp,catalog_or_gallery
COL-DIRECT-FLUSHER,variable,Columbia Direct Flusher,columbia_tools_3df_02.webp,catalog_or_gallery
COL-DIRECT-FLUSHER,variable,Columbia Direct Flusher,columbia_tools_3wtdf_02.webp,catalog_or_gallery
COL-DIRECT-FLUSHER,variable,Columbia Direct Flusher,columbia_tools_4df_02.webp,catalog_or_gallery
3DF,variation,"Columbia Direct Flusher - 3""",columbia_tools_3df_02.webp,catalog_or_gallery
3WTDF,variation,"Columbia Direct Flusher - 3"" Widetrack",columbia_tools_3wtdf_02.webp,catalog_or_gallery
4DF,variation,"Columbia Direct Flusher - 4""",columbia_tools_4df_02.webp,catalog_or_gallery
COL-FAT-BOY-FLAT-BOX,variable,Columbia Fat Boy Flat Box,columbia_tools_10fbb_02.webp,catalog_or_gallery
COL-FAT-BOY-FLAT-BOX,variable,Columbia Fat Boy Flat Box,columbia_tools_12fbb_02.webp,catalog_or_gallery
COL-FAT-BOY-FLAT-BOX,variable,Columbia Fat Boy Flat Box,columbia_tools_8fbb_02.webp,catalog_or_gallery
10FBB,variation,"Columbia Fat Boy Flat Box - 10""",columbia_tools_10fbb_02.webp,catalog_or_gallery
12FBB,variation,"Columbia Fat Boy Flat Box - 12""",columbia_tools_12fbb_02.webp,catalog_or_gallery
8FBB,variation,"Columbia Fat Boy Flat Box - 8""",columbia_tools_8fbb_02.webp,catalog_or_gallery
COL-MATRIX-FLAT-BOX-HANDLE,variable,Columbia Matrix Flat Box Handle,columbia_tools_mhs_05.webp,catalog_or_gallery
COL-MATRIX-FLAT-BOX-HANDLE,variable,Columbia Matrix Flat Box Handle,columbia_tools_mh_05.webp,catalog_or_gallery
COL-MATRIX-FLAT-BOX-HANDLE,variable,Columbia Matrix Flat Box Handle,columbia_tools_mhl_05.webp,catalog_or_gallery
MHS,variation,"Columbia Matrix Flat Box Handle - 29""-39""",columbia_tools_mhs_05.webp,catalog_or_gallery
MH,variation,"Columbia Matrix Flat Box Handle - 40""-60""",columbia_tools_mh_05.webp,catalog_or_gallery
MHL,variation,"Columbia Matrix Flat Box Handle - 56""-76""",columbia_tools_mhl_05.webp,catalog_or_gallery
