sku,row_type,name,before_count,after_count,added_count,replaced_duplicate_count
COL-ANGLE-HEAD,variable,Columbia Angle Head,10,16,6,0
2AH,variation,"Columbia Angle Head - 2""",1,4,3,0
3AH,variation,"Columbia Angle Head - 3""",1,4,3,0
COL-AUTOMATIC-TAPER,variable,Columbia Automatic Taper,4,6,2,0
PTAPER,variation,"Columbia Automatic Taper - Predator Carbon Fiber 53""",1,2,1,0
STAPER,variation,"Columbia Automatic Taper - Sawed Off 39""",1,2,1,0
COL-BILLET-MUD-APPLICATOR,variable,Columbia Billet Mud Applicator,6,7,1,0
CEXT90,variation,Columbia Billet Mud Applicator - External 90,1,2,1,0
COL-CAM-LOCK-TUBE,variable,Columbia Cam Lock Tube,1,4,3,0
CLT32,variation,"Columbia Cam Lock Tube - 32""",1,2,1,0
CLT42,variation,"Columbia Cam Lock Tube - 42""",1,2,1,0
CLT55,variation,"Columbia Cam Lock Tube - 55""",1,2,1,0
COL-COMPOUND-TUBE,variable,Columbia Compound Tube,1,4,3,0
CMT32,variation,"Columbia Compound Tube - 32""",1,2,1,0
CMT42,variation,"Columbia Compound Tube - 42""",1,2,1,0
CMT55,variation,"Columbia Compound Tube - 55""",1,2,1,0
COL-HOT-MUD-PUMP,variable,Columbia Hot Mud Pump,3,2,0,0
COL-ONE-HANDLE,variable,Columbia One Handle,3,10,7,0
C1HEXT,variation,Columbia One Handle - Extendible 3'-5',1,3,2,0
C1H,variation,Columbia One Handle - Fixed,1,3,2,0
C1HS,variation,Columbia One Handle - Stubby,1,4,3,0
COL-OUTSIDE-CORNER-ROLLER,variable,Columbia Outside Corner Roller,4,12,8,0
CBNCR,variation,Columbia Outside Corner Roller - Bullnose,1,3,2,0
COBCRE,variation,Columbia Outside Corner Roller - European,1,3,2,0
COBCR,variation,Columbia Outside Corner Roller - Standard,1,3,2,0
COBCRW,variation,Columbia Outside Corner Roller - Wide,1,3,2,0
PCMT42,simple,"Columbia Predator Compound Tube 42""",1,8,7,0
COL-THROTTLE-CORNER-FLUSHER-BOX,variable,Columbia Throttle Corner Flusher Box,2,8,6,0
7CFB,variation,"Columbia Throttle Corner Flusher Box - 7""",1,4,3,0
8CFB,variation,"Columbia Throttle Corner Flusher Box - 8""",1,4,3,0
COL-TOOL-SET,variable,Columbia Tool Set,4,6,2,0
SACS,variation,Columbia Tool Set - Commando Set,1,2,1,0
TWS,variation,Columbia Tool Set - Warrior Set,1,2,1,0
COL-UHMW-MUD-APPLICATOR,variable,Columbia UHMW Mud Applicator,3,2,0,0
ATX01TT,simple,TapeTech Automatic Taper Extension,3,5,2,0
TT-BASIC-FULL-SET,variable,TapeTech Basic Full Set,2,15,13,0
TT-BASIC-JUMBO-SET,variable,TapeTech Basic Jumbo Set,2,15,13,0
88TTE,simple,TapeTech Box XTender Handle,4,5,1,0
TT-BRAKELESS-BOX-HANDLE,variable,TapeTech Brakeless Box Handle,4,6,2,0
