target,status,strategy,source,score,notes
columbia_3wtdf_01.webp,ambiguous,ambiguous,,0.0,columbia-3WTDF-01.webp:1.000 | columbia-3WTDF-01.webp:1.000 | columbia-3WTDF-01.webp:1.000 | Columbia-3WTDF-01.webp:1.000
columbia_automatic_flat_boxes_01.webp,ambiguous,ambiguous,,0.0,columbia-automatic-flat-boxes_01.webp:1.000 | columbia-automatic-flat-boxes_01.webp:1.000 | columbia-automatic-flat-boxes_01.webp:1.000
columbia_cflt_01.webp,ambiguous,ambiguous,,0.0,columbia-CFLT-01.webp:1.000 | columbia-CFLT-01.webp:1.000 | columbia-CFLT-01.webp:1.000 | Columbia-CFLT-01.webp:1.000
columbia_cltha_03.webp,ambiguous,ambiguous,,0.0,columbia-CLTHA-03.webp:1.000 | columbia-CLTHA-03.webp:1.000 | columbia-CLTHA-02.webp:0.910 | columbia-CLTHA-02.webp:0.910 | columbia_cltha_02.webp:0.910
columbia_cmh_01.webp,ambiguous,ambiguous,,0.0,columbia-CMH-01.webp:1.000 | columbia-CMH-01.webp:1.000 | Columbia-CMH-01.webp:1.000 | Columbia-MH-01.webp:0.843
columbia_col_predator_matrix_box_handle_01.webp,ambiguous,ambiguous,,0.0,columbia-COL-PREDATOR-MATRIX-BOX-HANDLE-01.webp:1.000 | columbia-COL-PREDATOR-MATRIX-BOX-HANDLE-01.webp:1.000 | columbia-COL-PREDATOR-MATRIX-BOX-HANDLE-02.webp:0.910 | columbia-COL-PREDATOR-MATRIX-BOX-HANDLE-02.webp:0.910 | columbia-COL-PREDATOR-MATRIX-BOX-HANDLE-03.webp:0.890
columbia_flat_box_handle_01.webp,ambiguous,ambiguous,,0.0,columbia-flat-box-handle_01.webp:1.000 | columbia-flat-box-handle_01.webp:1.000 | columbia-flat-box-handle_01.webp:1.000
columbia_pts_01.webp,ambiguous,ambiguous,,0.0,columbia-PTS-01.webp:1.000 | columbia-PTS-01.webp:1.000 | Columbia-PTS-01.webp:1.000 | columbia-TS-01.webp:0.843 | columbia-TS-01.webp:0.843
columbia_staper_03.webp,ambiguous,ambiguous,,0.0,columbia-STAPER-03.webp:1.000 | columbia-STAPER-03.webp:1.000 | columbia-STAPER-03.webp:1.000 | columbia-STAPER-04.webp:0.910 | columbia-STAPER-04.webp:0.910
columbia_taper_01.webp,ambiguous,ambiguous,,0.0,columbia-TAPER-01.webp:1.000 | columbia-TAPER-01.webp:1.000 | columbia-TAPER-01.webp:1.000 | Columbia-TAPER-01.webp:1.000 | columbia-TAPER-02.webp:0.910
tapetech_07tt_05.webp,ambiguous,ambiguous,,0.0,tapetech-07TT-05.webp:1.000 | tapetech-07TT-05.webp:1.000 | tapetech-07TT-05.webp:1.000 | tapetech-07TT-C-05.webp:0.914 | tapetech-07TT-C-05.webp:0.914
tapetech_07tt_06.webp,ambiguous,ambiguous,,0.0,tapetech-07TT-06.webp:1.000 | tapetech-07TT-06.webp:1.000 | tapetech-07TT-06.webp:1.000 | tapetech-07TT-C-06.webp:0.914 | tapetech-07TT-C-06.webp:0.914
tapetech_07tt_07.webp,ambiguous,ambiguous,,0.0,tapetech-07TT-07.webp:1.000 | tapetech-07TT-07.webp:1.000 | tapetech-07TT-C-07.webp:0.914 | tapetech-07TT-C-07.webp:0.914 | tapetech-07TT-C-07.webp:0.914
tapetech_07tt_08.webp,ambiguous,ambiguous,,0.0,tapetech-07TT-08.webp:1.000 | tapetech-07TT-08.webp:1.000 | tapetech-07TT-08.webp:1.000 | tapetech-07TT-C-08.webp:0.914 | tapetech-07TT-C-08.webp:0.914
tapetech_07tt_09.webp,ambiguous,ambiguous,,0.0,tapetech-07TT-09.webp:1.000 | tapetech-07TT-09.webp:1.000 | tapetech-07TT-09.webp:1.000 | tapetech-07TT-C-09.webp:0.914 | tapetech-07TT-C-09.webp:0.914
tapetech_16tt_04.webp,ambiguous,ambiguous,,0.0,tapetech-16TT-04.webp:1.000 | tapetech-16TT-04.webp:1.000 | tapetech-16TT-04.webp:1.000 | tapetech-16TT-03.webp:0.910 | tapetech_16tt_03.webp:0.910
tapetech_804003f_01.webp,ambiguous,ambiguous,,0.0,tapetech-804003F-01.webp:1.000 | tapetech-804003F-01.webp:1.000 | tapetech-804003F-01.webp:1.000 | TapeTech-804003F-01.webp:1.000
tapetech_ct24tt_01.webp,ambiguous,ambiguous,,0.0,tapetech-CT24TT-01.webp:1.000 | tapetech-CT24TT-01.webp:1.000 | tapetech-CT24TT-01.webp:1.000 | TapeTech-CT24TT-01.webp:1.000
tapetech_ct36tt_01.webp,ambiguous,ambiguous,,0.0,tapetech-CT36TT-01.webp:1.000 | tapetech-CT36TT-01.webp:1.000 | tapetech-CT36TT-01.webp:1.000 | TapeTech-CT36TT-01.webp:1.000
tapetech_ct42tt_01.webp,ambiguous,ambiguous,,0.0,tapetech-CT42TT-01.webp:1.000 | tapetech-CT42TT-01.webp:1.000 | tapetech-CT42TT-01.webp:1.000
tapetech_cta01tt_01.webp,ambiguous,ambiguous,,0.0,tapetech-CTA01TT-01.webp:1.000 | tapetech-CTA01TT-01.webp:1.000 | tapetech-CTA01TT-01.webp:1.000 | TapeTech-CTA01TT-01.webp:1.000 | tapetech-CTA01TT-02.webp:0.910
tapetech_cta01tt_02.webp,ambiguous,ambiguous,,0.0,tapetech-CTA01TT-02.webp:1.000 | tapetech-CTA01TT-02.webp:1.000 | tapetech-CTA01TT-02.webp:1.000 | tapetech-CTA01TT-01.webp:0.910 | tapetech-CTA01TT-03.webp:0.910
tapetech_cta01tt_03.webp,ambiguous,ambiguous,,0.0,tapetech-CTA01TT-03.webp:1.000 | tapetech-CTA01TT-03.webp:1.000 | tapetech-CTA01TT-03.webp:1.000 | tapetech-CTA01TT-02.webp:0.910 | tapetech-CTA01TT-04.webp:0.910
tapetech_cta01tt_04.webp,ambiguous,ambiguous,,0.0,tapetech-CTA01TT-04.webp:1.000 | tapetech-CTA01TT-04.webp:1.000 | tapetech-CTA01TT-04.webp:1.000 | tapetech-CTA01TT-03.webp:0.910 | tapetech-CTA01TT-03.webp:0.910
tapetech_eabs127ttsm_01.webp,ambiguous,ambiguous,,0.0,tapetech-EABS127TTSM-01.webp:1.000 | tapetech-EABS127TTSM-01.webp:1.000 | TapeTech-EABS127TTSM-01.webp:1.000
