sku,row_index,original_basename,normalized_basename,final_basename,status
COL-FLAT-FINISHER-BOX,1,columbia-tools-55ffb-01.webp,columbia_tools_55ffb_01.webp,columbia_tools_55ffb_01.webp,updated
COL-FLAT-FINISHER-BOX,1,columbia-tools-7ffb-01.webp,columbia_tools_7ffb_01.webp,columbia_tools_7ffb_01.webp,updated
COL-FLAT-FINISHER-BOX,1,columbia-tools-8ffb-01.webp,columbia_tools_8ffb_01.webp,columbia_tools_8ffb_01.webp,updated
COL-FLAT-FINISHER-BOX,1,columbia-tools-10ffb-01.webp,columbia_tools_10ffb_01.webp,columbia_tools_10ffb_01.webp,updated
COL-FLAT-FINISHER-BOX,1,columbia-tools-12ffb-01.webp,columbia_tools_12ffb_01.webp,columbia_tools_12ffb_01.webp,updated
COL-FLAT-FINISHER-BOX,1,columbia-tools-14ffb-01.webp,columbia_tools_14ffb_01.webp,columbia_tools_14ffb_01.webp,updated
5.5FFB,2,columbia-tools-55ffb-01.webp,columbia_tools_55ffb_01.webp,columbia_tools_55ffb_01.webp,updated
7FFB,3,columbia-tools-7ffb-01.webp,columbia_tools_7ffb_01.webp,columbia_tools_7ffb_01.webp,updated
8FFB,4,columbia-tools-8ffb-01.webp,columbia_tools_8ffb_01.webp,columbia_tools_8ffb_01.webp,updated
10FFB,5,columbia-tools-10ffb-01.webp,columbia_tools_10ffb_01.webp,columbia_tools_10ffb_01.webp,updated
12FFB,6,columbia-tools-12ffb-01.webp,columbia_tools_12ffb_01.webp,columbia_tools_12ffb_01.webp,updated
14FFB,7,columbia-tools-14ffb-01.webp,columbia_tools_14ffb_01.webp,columbia_tools_14ffb_01.webp,updated
COL-FAT-BOY-FLAT-BOX,8,columbia-8fbb-01.webp,columbia_8fbb_01.webp,columbia_8fbb_01.webp,updated
COL-FAT-BOY-FLAT-BOX,8,columbia-10fbb-01.webp,columbia_10fbb_01.webp,columbia_10fbb_01.webp,updated
COL-FAT-BOY-FLAT-BOX,8,columbia-tools-12fbb-01.webp,columbia_tools_12fbb_01.webp,columbia_tools_12fbb_01.webp,updated
8FBB,10,columbia-8fbb-01.webp,columbia_8fbb_01.webp,columbia_8fbb_01.webp,updated
10FBB,11,columbia-10fbb-01.webp,columbia_10fbb_01.webp,columbia_10fbb_01.webp,updated
12FBB,12,columbia-tools-12fbb-01.webp,columbia_tools_12fbb_01.webp,columbia_tools_12fbb_01.webp,updated
COL-AUTOMATIC-FLAT-BOX,13,columbia-automatic-flat-boxes-01.webp,columbia_automatic_flat_boxes_01.webp,columbia_automatic_flat_boxes_01.webp,missing_on_disk
8FFBA,14,columbia-automatic-flat-boxes-01.webp,columbia_automatic_flat_boxes_01.webp,columbia_automatic_flat_boxes_01.webp,missing_on_disk
10FFBA,15,columbia-automatic-flat-boxes-01.webp,columbia_automatic_flat_boxes_01.webp,columbia_automatic_flat_boxes_01.webp,missing_on_disk
12FFBA,16,columbia-automatic-flat-boxes-01.webp,columbia_automatic_flat_boxes_01.webp,columbia_automatic_flat_boxes_01.webp,missing_on_disk
14FFBA,17,columbia-automatic-flat-boxes-01.webp,columbia_automatic_flat_boxes_01.webp,columbia_automatic_flat_boxes_01.webp,missing_on_disk
COL-AUTOMATIC-FAT-BOY-BOX,18,columbia-8fbb-01.webp,columbia_8fbb_01.webp,columbia_8fbb_01.webp,updated
COL-AUTOMATIC-FAT-BOY-BOX,18,columbia-automatic-flat-boxes-01.webp,columbia_automatic_flat_boxes_01.webp,columbia_automatic_flat_boxes_01.webp,missing_on_disk
8FBBA,19,columbia-8fbb-01.webp,columbia_8fbb_01.webp,columbia_8fbb_01.webp,updated
10FBBA,20,columbia-automatic-flat-boxes-01.webp,columbia_automatic_flat_boxes_01.webp,columbia_automatic_flat_boxes_01.webp,missing_on_disk
12FBBA,21,columbia-automatic-flat-boxes-01.webp,columbia_automatic_flat_boxes_01.webp,columbia_automatic_flat_boxes_01.webp,missing_on_disk
COL-ANGLE-HEAD,22,columbia-2ah-01.webp,columbia_2ah_01.webp,columbia_2ah_01.webp,updated
COL-ANGLE-HEAD,22,columbia-tools-25ah-01.webp,columbia_tools_25ah_01.webp,columbia_tools_25ah_01.webp,updated
COL-ANGLE-HEAD,22,columbia-tools-25ah-02.webp,columbia_tools_25ah_02.webp,columbia_tools_25ah_02.webp,updated
COL-ANGLE-HEAD,22,columbia-tools-25ah-03.webp,columbia_tools_25ah_03.webp,columbia_tools_25ah_03.webp,updated
COL-ANGLE-HEAD,22,columbia-tools-25ah-04.webp,columbia_tools_25ah_04.webp,columbia_tools_25ah_04.webp,updated
COL-ANGLE-HEAD,22,columbia-3ah-01.webp,columbia_3ah_01.webp,columbia_3ah_01.webp,updated
COL-ANGLE-HEAD,22,columbia-tools-35ah-01.webp,columbia_tools_35ah_01.webp,columbia_tools_35ah_01.webp,updated
COL-ANGLE-HEAD,22,columbia-tools-35ah-02.webp,columbia_tools_35ah_02.webp,columbia_tools_35ah_02.webp,updated
COL-ANGLE-HEAD,22,columbia-tools-35ah-03.webp,columbia_tools_35ah_03.webp,columbia_tools_35ah_03.webp,updated
COL-ANGLE-HEAD,22,columbia-tools-35ah-04.webp,columbia_tools_35ah_04.webp,columbia_tools_35ah_04.webp,updated
2AH,23,columbia-2ah-01.webp,columbia_2ah_01.webp,columbia_2ah_01.webp,updated
2.5AH,24,columbia-tools-25ah-01.webp,columbia_tools_25ah_01.webp,columbia_tools_25ah_01.webp,updated
2.5AH,24,columbia-tools-25ah-02.webp,columbia_tools_25ah_02.webp,columbia_tools_25ah_02.webp,updated
2.5AH,24,columbia-tools-25ah-03.webp,columbia_tools_25ah_03.webp,columbia_tools_25ah_03.webp,updated
2.5AH,24,columbia-tools-25ah-04.webp,columbia_tools_25ah_04.webp,columbia_tools_25ah_04.webp,updated
3AH,25,columbia-3ah-01.webp,columbia_3ah_01.webp,columbia_3ah_01.webp,updated
