ID,Type,SKU,Name
,variation,5.5FBB,"Columbia Fat Boy Flat Box - 5.5"""
,variation,2.5DF,"Columbia Direct Flusher - 2.5"""
,variation,3DF,"Columbia Direct Flusher - 3"""
,variation,3.5DF,"Columbia Direct Flusher - 3.5"""
,variation,4DF,"Columbia Direct Flusher - 4"""
,variation,2.5CSF,"Columbia Combo Flusher - 2.5"""
,variation,3CSF,"Columbia Combo Flusher - 3"""
,variation,3.5CSF,"Columbia Combo Flusher - 3.5"""
,variation,ICATW,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels
,variation,PC1HEXT,Columbia Predator One Handle - Extendable 3'-5'
,variation,PCHXL,Columbia Predator One Handle - Long Extendable 4'-8'
,variable,TT-CARBON-FIBER-BOX-HANDLE,TapeTech Carbon Fiber Box Handle
,variation,FBH2642TT-CF,"TapeTech Carbon Fiber Box Handle - 26""-42"""
,variation,FBH4272TT-CF,"TapeTech Carbon Fiber Box Handle - 42""-72"""
,variable,TT-STAINLESS-STEEL-MUD-PAN,TapeTech Stainless Steel Mud Pan
,variation,MP12SSTT,"TapeTech Stainless Steel Mud Pan - 12"""
,variation,MP14SSTT,"TapeTech Stainless Steel Mud Pan - 14"""
,variation,HAWK002-PS,"TapeTech Finishing Hawk - 13"" x 13"" Premium Anodized"
,variable,TT-BASIC-FULL-SET,TapeTech Basic Full Set
,variation,TTFULL7/10,"TapeTech Basic Full Set - 7"" and 10"" Boxes"
,variation,TTFULL10/12,"TapeTech Basic Full Set - 10"" and 12"" Boxes"
,variable,TT-BASIC-JUMBO-SET,TapeTech Basic Jumbo Set
,variation,TTJUMBO7/10,"TapeTech Basic Jumbo Set - 7"" and 10"" Boxes"
,variation,TTJUMBOO10/12,"TapeTech Basic Jumbo Set - 10"" and 12"" Boxes"
,simple,70171,TapeTech 2 Pump Set
,simple,70173,"TapeTech 10"" and 12"" Full Set"
,simple,TTFBC,TapeTech Flat Box Combo TTFBC
,simple,TTFFS,TapeTech Value Drywall Finishing Set
,simple,TTFINISH7/10,TapeTech Taping Tools Drywall Finishing Set
,simple,TTFTFS,TapeTech Value Full Drywall Taping & Finishing Set
,simple,TTFULL2SET,TapeTech Full Set X2 Contractors Pack
,variable,COL-MUD-ROLLER-REPLACEMENT,Columbia Mud Roller Replacement
,variation,FMR3X18MM,"Columbia Mud Roller Replacement - 80 mm / 3"""
,variation,FMR9X18MM,"Columbia Mud Roller Replacement - 220 mm / 9"""
,variable,TT-COMBO-CORNER-FLUSHER,TapeTech Combo Corner Flusher
,variation,CF25COMBO,"TapeTech Combo Corner Flusher - 2.5"""
,variation,CF30COMBO,"TapeTech Combo Corner Flusher - 3"""
,variation,CF35COMBO,"TapeTech Combo Corner Flusher - 3.5"""
,variation,CF40COMBO,"TapeTech Combo Corner Flusher - 4"""
,variable,TT-CORNER-APPLICATOR-WITH-FHTT-HANDLE,TapeTech Corner Applicator with FHTT Fiberglass Handle
,variation,CA07FHTT,"TapeTech Corner Applicator with FHTT Fiberglass Handle - 7"""
,variation,CA08FHTT,"TapeTech Corner Applicator with FHTT Fiberglass Handle - 8"""
,variation,CF25TT,"TapeTech Direct Corner Flusher - 2.5"""
,variation,CF30TT,"TapeTech Direct Corner Flusher - 3"""
,variation,CF35TT,"TapeTech Direct Corner Flusher - 3.5"""
,variable,TT-EASYCLEAN-NAIL-SPOTTER-WITH-FHTT-HANDLE,TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle
,variation,NS02FHTT,"TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2"""
,variation,NS03FHTT,"TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3"""
,variable,TT-COMPOUND-ROLLER-WITH-FRAME,TapeTech Premium Compound Roller with Frame
,variation,CROLL04CG,"TapeTech Premium Compound Roller with Frame - 4"""
,variation,CROLL09CG,"TapeTech Premium Compound Roller with Frame - 9"""
,variation,CROLL12CG,"TapeTech Premium Compound Roller with Frame - 12"""
,simple,CA07XHTT,"TapeTech 7"" Angle Box with Extendable XHTT Handle"
,simple,CA08TTXHTT,"TapeTech 8"" Angle Box with XHTT Extendable Handle"
,simple,15TTEXHTT,TapeTech Corner Roller with Extendable XHTT Handle
,simple,15TTEWHANDLE,TapeTech Corner Roller with Handle
,simple,FHTTCAATT,TapeTech Fiberglass Angle Box Handle (FHTT/CAA)
,simple,FHTTCFA,TapeTech Fiberglass Angle Head Handle (FHTT/CFA)
,simple,14TT,TapeTech MudRunner®
,simple,NS02WX1HDL,"TapeTech 2"" Nail Spotter with X1 Extension Handle"
,simple,FHTTNSA,TapeTech Fiberglass Nail Spotter Handle (FHTT/NSA)
