old_schematic_id,new_schematic_id,sku,slug,status
columbia-180-grip-flat-box-handle-sch,columbia-180-grip-flat-box-handle-sch,COL180GRIPFLATBOXHANDLEFIXEDLENGTH,columbia-180-grip-flat-box-handle,normalized_slug_migrated_exact
columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch,ICATW,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw,normalized_slug_migrated_exact
columbia-standard-flusher-sch,columbia-standard-flusher-sch,COLSTANDARDFLUSHERS,columbia-standard-flusher,normalized_slug_migrated_exact
columbia-billet-mud-applicator-external-90-cext90-sch,columbia-billet-mud-applicator-external-90-cext90-sch,CEXT90,columbia-billet-mud-applicator-external-90-cext90,normalized_slug_migrated_exact
columbia-angle-head-sch,columbia-angle-head-sch,COLANGLEHEAD,columbia-angle-head,normalized_slug_migrated_exact
columbia-automatic-flat-finishing-box-sch,columbia-automatic-flat-finishing-box-sch,COLAUTOMATICFLATBOX,columbia-automatic-flat-finishing-box,normalized_slug_migrated_exact
columbia-box-filler-sch,columbia-box-filler-sch,COLBOXFILLER,columbia-box-filler,normalized_slug_migrated_exact
columbia-cam-lock-tube-sch,columbia-cam-lock-tube-sch,COLCAMLOCKTUBE,columbia-cam-lock-tube,normalized_slug_migrated_exact
columbia-combo-flusher-sch,columbia-combo-flusher-sch,COLCOMBOFLUSHER,columbia-combo-flusher,normalized_slug_migrated_exact
columbia-closet-monster-handle-sch,columbia-closet-monster-handle-sch,CMH,columbia-closet-monster-handle,normalized_slug_migrated_exact
columbia-one-handle-sch,columbia-one-handle-sch,COLONEHANDLE,columbia-one-handle,normalized_slug_migrated_exact
columbia-compound-tube-sch,columbia-compound-tube-sch,COLCOMPOUNDTUBE,columbia-compound-tube,normalized_slug_migrated_exact
columbia-throttle-box-sch,columbia-throttle-box-sch,COLTHROTTLEBOX,columbia-throttle-box,normalized_slug_migrated_exact
columbia-corner-cobra-sch,columbia-corner-cobra-sch,CC,columbia-corner-cobra,normalized_slug_migrated_exact
columbia-direct-flusher-sch,columbia-direct-flusher-sch,COLDIRECTFLUSHER,columbia-direct-flusher,normalized_slug_migrated_exact
columbia-one-handle-4-8-long-extendible-chxl-sch,columbia-one-handle-4-8-long-extendible-chxl-sch,CHXL,columbia-one-handle-4-8-long-extendible-chxl,normalized_slug_migrated_exact
columbia-matrix-box-handle-sch,columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch,COLMATRIXBOXHANDLE,columbia-matrix-box-handle,normalized_slug_migrated_exact
columbia-fat-boy-finishing-box-sch,columbia-fat-boy-finishing-box-sch,COLFATBOYBOX,columbia-fat-boy-finishing-box,normalized_slug_migrated_exact
columbia-flat-finishing-box-sch,columbia-flat-finishing-box-sch,COLFLATFINISHINGBOXES,columbia-flat-finishing-box,normalized_slug_migrated_exact
columbia-gooseneck-sch,columbia-gooseneck-sch,COLGOOSENECK,columbia-gooseneck,normalized_slug_migrated_exact
columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch,columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch,ICA21,columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1,normalized_slug_migrated_exact
columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch,columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch,ICA41,columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1,normalized_slug_migrated_exact
columbia-corner-roller-sch,columbia-corner-roller-sch,CR,columbia-corner-roller,normalized_slug_migrated_exact
columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch,columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch,COLMATRIXBOXHANDLE,columbia-matrix-box-handle,normalized_slug_migrated_exact
columbia-ah1-3-5-head-casting-3-5in-sch,columbia-ah1-3-5-head-casting-3-5in-sch,AH135IN,columbia-ah1-3-5-head-casting-3-5in,normalized_slug_migrated_exact
columbia-180-grip-lower-brake-lever-bh4-sch,columbia-180-grip-lower-brake-lever-bh4-sch,BH4,columbia-180-grip-lower-brake-lever-bh4,normalized_slug_migrated_exact
columbia-matrix-box-handle-matrixboxhandle-pinchbox-sch,columbia-matrix-box-handle-matrixboxhandle-pinchbox-sch,COLMATRIXBOXHANDLE,columbia-matrix-box-handle,normalized_slug_migrated_exact
columbia-mud-pump-sch,columbia-mud-pump-pumps-mudpump-sch,COLMUDPUMP,columbia-mud-pump,normalized_slug_migrated_exact
columbia-nail-spotter-sch,columbia-nail-spotter-sch,COLNAILSPOTTER,columbia-nail-spotter,normalized_slug_migrated_exact
columbia-outside-corner-roller-sch,columbia-outside-corner-roller-sch,COLOUTSIDECORNERROLLER,columbia-outside-corner-roller,normalized_slug_migrated_exact
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch,PTAPER,columbia-automatic-taper-predator-carbon-fiber-53-ptaper,normalized_slug_migrated_exact
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,PTAPER,columbia-automatic-taper-predator-carbon-fiber-53-ptaper,normalized_slug_migrated_exact
columbia-combo-flusher-3-3csf-sch,columbia-combo-flusher-3-3csf-sch,3CSF,columbia-combo-flusher-3-3csf,normalized_slug_migrated_exact
columbia-semi-automatic-taper-sat-sch,columbia-semi-automatic-taper-sat-sch,SAT,columbia-semi-automatic-taper-sat,normalized_slug_migrated_exact
columbia-mud-pump-pumps-tallboymudpump-sch,columbia-mud-pump-pumps-tallboymudpump-sch,COLMUDPUMP,columbia-mud-pump,normalized_slug_migrated_exact
columbia-tomahawk-smoothing-blade-sch,columbia-tomahawk-smoothing-blade-sch,COLTOMAHAWKSMOOTHINGBLADE,columbia-tomahawk-smoothing-blade,normalized_slug_migrated_exact
platinum-50-corner-roller-handle-sch,platinum-50-corner-roller-handle-sch,PTCRH50,platinum-50-corner-roller-handle,normalized_slug_migrated_exact
platinum-flat-finishing-box-sch,platinum-flat-finishing-box-sch,PTFB,platinum-flat-finishing-box,normalized_slug_migrated_exact
platinum-outside-90-degree-corner-roller-sch,platinum-outside-90-degree-corner-roller-sch,PTOCR,platinum-outside-90-degree-corner-roller,normalized_slug_migrated_exact
platinum-drywall-pump-w-filler-sch,platinum-drywall-pump-w-filler-sch,PTCP,platinum-drywall-pump-w-filler,normalized_slug_migrated_exact
tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch,050212F,tapetech-tapetech-lock-block-for-07tt-050212f,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-sch,tapetech-90-inside-corner-edger-tapetech-17tt-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-tapetech-20ttx-sch,tapetech-90-inside-corner-edger-tapetech-20ttx-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-tapetech-25ttx-sch,tapetech-90-inside-corner-edger-tapetech-25ttx-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
