brand,old_schematic_id,new_schematic_id,sku,slug
Columbia Tools,columbia-180-grip-flat-box-handle-sch,columbia-180-grip-flat-box-handle-sch,COL180GRIPFLATBOXHANDLEFIXEDLENGTH,columbia-180-grip-flat-box-handle
Columbia Tools,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch,ICATW,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw
Columbia Tools,columbia-standard-flusher-sch,columbia-standard-flusher-sch,COLSTANDARDFLUSHERS,columbia-standard-flusher
Columbia Tools,columbia-billet-mud-applicator-external-90-cext90-sch,columbia-billet-mud-applicator-external-90-cext90-sch,CEXT90,columbia-billet-mud-applicator-external-90-cext90
Columbia Tools,columbia-angle-head-sch,columbia-angle-head-sch,COLANGLEHEAD,columbia-angle-head
Columbia Tools,columbia-automatic-flat-finishing-box-sch,columbia-automatic-flat-finishing-box-sch,COLAUTOMATICFLATBOX,columbia-automatic-flat-finishing-box
Columbia Tools,columbia-box-filler-sch,columbia-box-filler-sch,COLBOXFILLER,columbia-box-filler
Columbia Tools,columbia-cam-lock-tube-sch,columbia-cam-lock-tube-sch,COLCAMLOCKTUBE,columbia-cam-lock-tube
Columbia Tools,columbia-combo-flusher-sch,columbia-combo-flusher-sch,COLCOMBOFLUSHER,columbia-combo-flusher
Columbia Tools,columbia-closet-monster-handle-sch,columbia-closet-monster-handle-sch,CMH,columbia-closet-monster-handle
Columbia Tools,columbia-one-handle-sch,columbia-one-handle-sch,COLONEHANDLE,columbia-one-handle
Columbia Tools,columbia-compound-tube-sch,columbia-compound-tube-sch,COLCOMPOUNDTUBE,columbia-compound-tube
Columbia Tools,columbia-throttle-box-sch,columbia-throttle-box-sch,COLTHROTTLEBOX,columbia-throttle-box
Columbia Tools,columbia-corner-cobra-sch,columbia-corner-cobra-sch,CC,columbia-corner-cobra
Columbia Tools,columbia-direct-flusher-sch,columbia-direct-flusher-sch,COLDIRECTFLUSHER,columbia-direct-flusher
Columbia Tools,columbia-one-handle-4-8-long-extendible-chxl-sch,columbia-one-handle-4-8-long-extendible-chxl-sch,CHXL,columbia-one-handle-4-8-long-extendible-chxl
Columbia Tools,columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch,columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch,COLMATRIXBOXHANDLE,columbia-matrix-box-handle
