schematic_id,brand,current_model_number,current_model_name,source_json_path,status,candidate_1_sku,candidate_1_name,candidate_1_score,candidate_2_sku,candidate_2_name,candidate_2_score,candidate_3_sku,candidate_3_name,candidate_3_score,candidate_4_sku,candidate_4_name,candidate_4_score,candidate_5_sku,candidate_5_name,candidate_5_score
asgard-fa01-ad-sch,Asgard,FA01-AD,Filler Adapter,Asgard\Schematics\Adapters\FA01-AD\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
columbia-180gripboxhandle-2014,Columbia Tools,180GRIPBOXHANDLE,180GripBoxHandle 2014,Columbia\Schematics\Handles\FlatBoxHandle\schematic_data.json,manual_review_required,4BH,Columbia 180° Grip Flat Box Handle - 4',0.6429,42BH,"Columbia 180° Grip Flat Box Handle - 42""",0.6316,6BH,Columbia 180° Grip Flat Box Handle - 6',0.6071,5BH,Columbia 180° Grip Flat Box Handle - 5',0.6071,3BH,Columbia 180° Grip Flat Box Handle - 3',0.6071
columbia-2-way-internal-corner-applicator-1,Columbia Tools,2-WAY-INTERNAL-CORNER-APPLICATOR-1,2 WAY INTERNAL CORNER APPLICATOR 1,Columbia\Schematics\Applicators\TwoWayInternalCorner\schematic_data.json,manual_review_required,ICA2,Inside Corner Applicator Axle,0.6984,ICA1,Inside Corner Applicator Body,0.6984,CEXT2,External Corner Applicator Wheel Small,0.6944,CEXT1,External Corner Applicator Wheel Large,0.6944,ICA3,Inside Corner Applicator Wheel,0.6875
columbia-3-5inch-corner-flusher-schematic-2015,Columbia Tools,3.5INCH-CORNER-FLUSHER,3.5INCH CORNER FLUSHER SCHEMATIC 2015,Columbia\Schematics\CornerFlushers\StandardCornerFlusher\schematic_data.json,manual_review_required,CF8,Corner Flusher Wheel Cap,0.5902,CF38,Corner Flusher Skid Long,0.5902,CF2,Corner Flusher Wheel Retainer,0.5758,CF1C,Corner Flusher Direct Plate C,0.5758,CF3A,Screw for Corner Flusher Wheel,0.5672
columbia-8-wheel-external-corner-applicator-1,Columbia Tools,8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1,8 WHEEL EXTERNAL CORNER APPLICATOR 1,Columbia\Schematics\Applicators\ExternalCorner\schematic_data.json,manual_review_required,CEXT2,External Corner Applicator Wheel Small,0.7297,CEXT1,External Corner Applicator Wheel Large,0.7297,ICA2,Inside Corner Applicator Axle,0.6154,ICA1,Inside Corner Applicator Body,0.6154,ICA3,Inside Corner Applicator Wheel,0.6061
columbia-anglehead-2014-3,Columbia Tools,ANGLEHEAD-2014-3,AngleHead 2014 3,Columbia\Schematics\Angleheads\AngleHead\schematic_data.json,manual_review_required,2.5AH,"Columbia Angle Head - 2.5""",0.6154,AH20,Angle Head Pivot Pin,0.6111,3AH,"Columbia Angle Head - 3""",0.5946,2AH,"Columbia Angle Head - 2""",0.5946,AH22,Angle Head Frame Clamp,0.5789
columbia-auto-box-schematic-2022,Columbia Tools,AUTO-BOX,AUTO BOX SCHEMATIC 2022,Columbia\Schematics\FinishingBoxes\AutomaticFlatBox\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
columbia-box-filler,Columbia Tools,BOX-FILLER,BOX FILLER,Columbia\Schematics\Pumps\BoxFiller\schematic_data.json,manual_review_required,COL-BOX-FILLER,Columbia Box Filler,0.6897,MP28,Filler Nut,0.6,CT125,Rollers,0.5882,CLTBF,Compound Tube Box Filler,0.5882,,,
columbia-cam-lock-tube-2019,Columbia Tools,CAM-LOCK-TUBE,CAM LOCK TUBE 2019,Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json,manual_review_required,CLT16,Cam Lock Tube End Cap,0.7179,CLT13,Cam Lock Tube Cam Body,0.7,CLT42,"Columbia Cam Lock Tube - 42""",0.6977,CLT32,"Columbia Cam Lock Tube - 32""",0.6977,CLT24,"Columbia Cam Lock Tube - 24""",0.6977
columbia-classic-combo-flusher-1,Columbia Tools,CLASSIC-COMBO-FLUSHER-1,CLASSIC COMBO FLUSHER 1,Columbia\Schematics\CornerFlushers\ComboFlusher\schematic_data.json,manual_review_required,3CSF,"Columbia Combo Flusher - 3""",0.766,COL-COMBO-FLUSHER,Columbia Combo Flusher,0.7556,3.5CSF,"Columbia Combo Flusher - 3.5""",0.7347,2.5CSF,"Columbia Combo Flusher - 2.5""",0.7347,3WTCSF,"Columbia Combo Flusher - 3"" Widetrack",0.6316
