"type","path","from","to"
"json","Columbia\Schematics\Angleheads\AngleHead\schematic_data.json","columbia-anglehead-2014-3-enhanced","columbia-anglehead-2014-3"
"asset","Columbia\Schematics\Angleheads\AngleHead\AngleHead-2014-3-enhanced.webp","AngleHead-2014-3-enhanced.webp","AngleHead-2014-3.webp"
"json","Columbia\Schematics\Applicators\ExternalCorner\schematic_data.json","columbia-8-wheel-external-corner-applicator-1-enhanced","columbia-8-wheel-external-corner-applicator-1"
"asset","Columbia\Schematics\Applicators\ExternalCorner\8_Wheel_External_Corner_Applicator-1-enhanced.webp","8_Wheel_External_Corner_Applicator-1-enhanced.webp","8_Wheel_External_Corner_Applicator-1.webp"
"json","Columbia\Schematics\Applicators\TwoWayInternalCorner\schematic_data.json","columbia-2-way-internal-corner-applicator-1-enhanced","columbia-2-way-internal-corner-applicator-1"
"asset","Columbia\Schematics\Applicators\TwoWayInternalCorner\2_Way_Internal_Corner_Applicator-1-enhanced.webp","2_Way_Internal_Corner_Applicator-1-enhanced.webp","2_Way_Internal_Corner_Applicator-1.webp"
"json","Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json","columbia-cam-lock-tube-2019-enhanced","columbia-cam-lock-tube-2019"
"asset","Columbia\Schematics\CompoundTubes\CamLockTube\Cam_Lock_Tube_2019-enhanced.webp","Cam_Lock_Tube_2019-enhanced.webp","Cam_Lock_Tube_2019.webp"
"json","Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json","columbia-compound-tube-schematic-2022-enhanced","columbia-compound-tube-schematic-2022"
"asset","Columbia\Schematics\CompoundTubes\CompoundTube\COMPOUND-TUBE-SCHEMATIC-2022-enhanced.webp","COMPOUND-TUBE-SCHEMATIC-2022-enhanced.webp","COMPOUND-TUBE-SCHEMATIC-2022.webp"
"json","Columbia\Schematics\CornerBoxes\ThrottleBox\schematic_data.json","columbia-corner-box-schematic-enhanced","columbia-corner-box-schematic"
"asset","Columbia\Schematics\CornerBoxes\ThrottleBox\CORNER-BOX-SCHEMATIC-enhanced.webp","CORNER-BOX-SCHEMATIC-enhanced.webp","CORNER-BOX-SCHEMATIC.webp"
"json","Columbia\Schematics\CornerFlushers\ComboFlusher\schematic_data.json","columbia-classic-combo-flusher-1-enhanced","columbia-classic-combo-flusher-1"
