action,from,to,note
rename,frontend\public\brands\wp_schematics_unified\180GripBoxHandle-2014.webp,frontend\public\brands\wp_schematics_unified\180GRIPBOXHANDLE-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\2-WAY-INTERNAL-CORNER-APPLICATOR-1.webp,frontend\public\brands\wp_schematics_unified\2-WAY-INTERNAL-CORNER-APPLICATOR-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\3.5INCH-CORNER-FLUSHER-SCHEMATIC-2015.webp,frontend\public\brands\wp_schematics_unified\3.5INCH-CORNER-FLUSHER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\4-707-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\4-707-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\4-734-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\4-734-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\4-764-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\4-764-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\4-765-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\4-765-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\4-766-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\4-766-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\4-767-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\4-767-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\4-768-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\4-768-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\4-769-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\4-769-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\4-771-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\4-771-SCHEMATIC-PAGE-001.webp,canonicalize
