"type","path","from_id","to_id","from_title","to_title"
"json_update","Asgard\Schematics\Adapters\FA01-AD\schematic_data.json","asgard-fa01-ad-sch","asgard-fa01-ad-sch","FA01-AD_SCH","FA01-AD-SCH"
"json_update","Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json","asgard-ah25-ad-sch","asgard-ah25-ad-sch","AH25-AD_SCH","AH25-AD-SCH"
"json_update","Asgard\Schematics\AngleHeads\AH30-AD\schematic_data.json","asgard-ah30-ad-sch","asgard-ah30-ad-sch","AH30-AD_SCH","AH30-AD-SCH"
"json_update","Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json","asgard-ah35-ad-sch","asgard-ah35-ad-sch","AH35-AD_SCH","AH35-AD-SCH"
"json_update","Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json","asgard-ca08-ad-sch","asgard-ca08-ad-sch","CA08-AD_SCH","CA08-AD-SCH"
"json_update","Asgard\Schematics\AngleHeads\CFA-AD\schematic_data.json","asgard-cfa-ad-sch","asgard-cfa-ad-sch","CFA-AD_SCH","CFA-AD-SCH"
"json_update","Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json","asgard-ehc07-ad-sch","asgard-ehc07-ad-sch","EHC07-AD_SCH","EHC07-AD-SCH"
"json_update","Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json","asgard-ehc10-ad-sch","asgard-ehc10-ad-sch","EHC10-AD_SCH","EHC10-AD-SCH"
"json_update","Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json","asgard-ehc12-ad-sch","asgard-ehc12-ad-sch","EHC12-AD_SCH","EHC12-AD-SCH"
"json_update","Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json","asgard-ez07-ad-sch","asgard-ez07-ad-sch","EZ07-AD_SCH","EZ07-AD-SCH"
"json_update","Asgard\Schematics\FinishingBoxes\EZ10-AD\schematic_data.json","asgard-ez10-ad-sch","asgard-ez10-ad-sch","EZ10-AD_SCH","EZ10-AD-SCH"
"json_update","Asgard\Schematics\FinishingBoxes\EZ12-AD\schematic_data.json","asgard-ez12-ad-sch","asgard-ez12-ad-sch","EZ12-AD_SCH","EZ12-AD-SCH"
"json_update","Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json","asgard-pa07-ad-sch","asgard-pa07-ad-sch","PA07-AD_SCH","PA07-AD-SCH"
"json_update","Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json","asgard-pa10-ad-sch","asgard-pa10-ad-sch","PA10-AD_SCH","PA10-AD-SCH"
"json_update","Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json","asgard-pa12-ad-sch","asgard-pa12-ad-sch","PA12-AD_SCH","PA12-AD-SCH"
"json_update","Asgard\Schematics\Handles\BBH-AD\schematic_data.json","asgard-bbh-ad-sch","asgard-bbh-ad-sch","BBH-AD_SCH","BBH-AD-SCH"
"json_update","Asgard\Schematics\Handles\BBHE-AD\schematic_data.json","asgard-bbhe-ad-sch","asgard-bbhe-ad-sch","BBHE-AD_SCH","BBHE-AD-SCH"
"json_update","Asgard\Schematics\Handles\FBHE-AD\schematic_data.json","asgard-fbhe-ad-sch","asgard-fbhe-ad-sch","FBHE-AD_SCH","FBHE-AD-SCH"
"json_update","Asgard\Schematics\Handles\FH-AD\schematic_data.json","asgard-fh-ad-sch","asgard-fh-ad-sch","FH-AD_SCH","FH-AD-SCH"
"json_update","Asgard\Schematics\Handles\XH-AD\schematic_data.json","asgard-xh-ad-sch","asgard-xh-ad-sch","XH-AD_SCH","XH-AD-SCH"
"json_update","Asgard\Schematics\Other\GN01-AD\schematic_data.json","asgard-gn01-ad-sch","asgard-gn01-ad-sch","GN01-AD_SCH","GN01-AD-SCH"
"json_update","Asgard\Schematics\Pumps\LP01-AD\schematic_data.json","asgard-lp01-ad-sch","asgard-lp01-ad-sch","LP01-AD_SCH","LP01-AD-SCH"
"json_update","Asgard\Schematics\Rollers\CR01-AD\schematic_data.json","asgard-cr01-ad-sch","asgard-cr01-ad-sch","CR01-AD_SCH","CR01-AD-SCH"
"json_update","Asgard\Schematics\Spotters\NS03-AD\schematic_data.json","asgard-ns03-ad-sch","asgard-ns03-ad-sch","NS03-AD_SCH","NS03-AD-SCH"
"json_update","Asgard\Schematics\Tapers\AT01-AD\schematic_data.json","asgard-at01-ad-sch","asgard-at01-ad-sch","AT01-AD_SCH","AT01-AD-SCH"
"json_update","Columbia\Schematics\Applicators\ExternalCorner\schematic_data.json","columbia-8-wheel-external-corner-applicator-1","columbia-8-wheel-external-corner-applicator-1","8_Wheel_External_Corner_Applicator-1","8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1"
"json_update","Columbia\Schematics\Applicators\TwoWayInternalCorner\schematic_data.json","columbia-2-way-internal-corner-applicator-1","columbia-2-way-internal-corner-applicator-1","2_Way_Internal_Corner_Applicator-1","2-WAY-INTERNAL-CORNER-APPLICATOR-1"
"json_update","Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\schematic_data.json","columbia-predator-taper-body","columbia-predator-taper-body","predator_taper_body","PREDATOR-TAPER-BODY"
