"file","old_id","new_id"
"Asgard\Schematics\Adapters\FA01-AD\schematic_data.json","1775158856168","asgard-fa01-ad-sch"
"Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json","1775158856169","asgard-ah25-ad-sch"
"Asgard\Schematics\AngleHeads\AH30-AD\schematic_data.json","1775158856169","asgard-ah30-ad-sch"
"Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json","1775160234176","asgard-ah35-ad-sch"
"Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json","1775158856203","asgard-ca08-ad-sch"
"Asgard\Schematics\AngleHeads\CFA-AD\schematic_data.json","1775160393817","asgard-cfa-ad-sch"
"Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json","1775158856219","asgard-ehc07-ad-sch"
"Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json","1775158856236","asgard-ehc10-ad-sch"
"Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json","1775158856245","asgard-ehc12-ad-sch"
"Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json","1775158856252","asgard-ez07-ad-sch"
"Asgard\Schematics\FinishingBoxes\EZ10-AD\schematic_data.json","1775158856266","asgard-ez10-ad-sch"
"Asgard\Schematics\FinishingBoxes\EZ12-AD\schematic_data.json","1775158856269","asgard-ez12-ad-sch"
"Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json","1775158856299","asgard-pa07-ad-sch"
"Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json","1775158856309","asgard-pa10-ad-sch"
"Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json","1775158856310","asgard-pa12-ad-sch"
"Asgard\Schematics\Handles\BBH-AD\schematic_data.json","1775158856326","asgard-bbh-ad-sch"
"Asgard\Schematics\Handles\BBHE-AD\schematic_data.json","1775158856326","asgard-bbhe-ad-sch"
"Asgard\Schematics\Handles\FBHE-AD\schematic_data.json","1775158856336","asgard-fbhe-ad-sch"
"Asgard\Schematics\Handles\FH-AD\schematic_data.json","1775158856341","asgard-fh-ad-sch"
"Asgard\Schematics\Handles\XH-AD\schematic_data.json","1775158856345","asgard-xh-ad-sch"
"Asgard\Schematics\Other\GN01-AD\schematic_data.json","1775158856355","asgard-gn01-ad-sch"
"Asgard\Schematics\Pumps\LP01-AD\schematic_data.json","1775158856363","asgard-lp01-ad-sch"
"Asgard\Schematics\Rollers\CR01-AD\schematic_data.json","1775158856367","asgard-cr01-ad-sch"
"Asgard\Schematics\Spotters\NS03-AD\schematic_data.json","1775158856369","asgard-ns03-ad-sch"
"Asgard\Schematics\Tapers\AT01-AD\schematic_data.json","1775158856369","asgard-at01-ad-sch"
"Columbia\Schematics\Angleheads\AngleHead\schematic_data.json","1774451855397","columbia-anglehead-2014-3-enhanced"
"Columbia\Schematics\Applicators\ExternalCorner\schematic_data.json","1774444549542","columbia-8-wheel-external-corner-applicator-1-enhanced"
"Columbia\Schematics\Applicators\InsideCornerApplicator\2Wheel\schematic_data.json","1774489351955","columbia-ica1-2-2015"
"Columbia\Schematics\Applicators\InsideCornerApplicator\4Wheel\schematic_data.json","1774489740506","columbia-ica1-4-2015"
"Columbia\Schematics\Applicators\TwoWayInternalCorner\schematic_data.json","1774444458984","columbia-2-way-internal-corner-applicator-1-enhanced"
"Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\schematic_data.json","1774452060368","columbia-predator-taper-body"
"Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json","1774498882573","columbia-predator-taper-head"
"Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json","1774449820934","columbia-cam-lock-tube-2019-enhanced"
"Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json","1774450092972","columbia-compound-tube-schematic-2022-enhanced"
"Columbia\Schematics\CornerBoxes\ThrottleBox\schematic_data.json","1774467392453","columbia-corner-box-schematic-enhanced"
"Columbia\Schematics\CornerFlushers\ComboFlusher\schematic_data.json","1774485707367","columbia-classic-combo-flusher-1-enhanced"
"Columbia\Schematics\CornerFlushers\DirectCornerFlusher\schematic_data.json","1774485543382","columbia-directstandardflusher-2015-enhanced"
"Columbia\Schematics\CornerFlushers\StandardCornerFlusher\schematic_data.json","1774485461218","columbia-3-5inch-corner-flusher-schematic-2015-enhanced"
"Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json","1774485354649","columbia-insidecornerroller-2014-1-enhanced-squared"
"Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json","1774485214744","columbia-outsidecornerrollers-2016-1-enhanced"
"Columbia\Schematics\FinishingBoxes\AutomaticFlatBox\schematic_data.json","1774467528114","columbia-auto-box-schematic-2022-enhanced"
"Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json","1774487185507","columbia-fat-boy-box"
"Columbia\Schematics\FinishingBoxes\FlatBox\schematic_data.json","1774467626748","columbia-flat-box-hinged-schematic-2022-enhanced"
"Columbia\Schematics\Handles\ClosetMonster\schematic_data.json","1774447849349","columbia-closetmonster-2015-enhanced"
"Columbia\Schematics\Handles\ColumbiaOne\schematic_data.json","1774447889616","columbia-columbia-one-enhanced"
"Columbia\Schematics\Handles\FlatBoxHandle\schematic_data.json","1774449071020","columbia-180gripboxhandle-2014-enhanced"
"Columbia\Schematics\Handles\LongExtendableHandle\schematic_data.json","1774487491697","columbia-extendable-handle-enhanced"
"Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json","1774447983674","columbia-matrix-handle-enhanced"
"Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\schematic_data.json","1774448223441","columbia-extension-housing-schematic-1-enhanced"
"Columbia\Schematics\Handles\MatrixBoxHandle\Head\schematic_data.json","1774448328946","columbia-matrix-head-enhanced-enhanced"
"Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json","1774448394559","columbia-matrix-lever-1-enhanced"
"Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json","1774448448982","columbia-matrix-pinchbox-1-enhanced"
"Columbia\Schematics\Nailspotters\Nailspotter\schematic_data.json","1774449670295","columbia-nail-spotter-schematic-2022-enhanced"
"Columbia\Schematics\Pumps\BoxFiller\schematic_data.json","1774486048761","columbia-box-filler"
"Columbia\Schematics\Pumps\GooseneckAdapter\schematic_data.json","1774486001058","columbia-gooseneck-1-1-enhanced"
"Columbia\Schematics\Pumps\MudPump\schematic_data.json","1774486100663","columbia-mud-pump-schematic-2022-enhanced"
"Columbia\Schematics\Pumps\TallBoyMudPump\schematic_data.json","1774486193237","columbia-tall-boy-mud-pump-schematic-2022-enhanced"
"Columbia\Schematics\Sanders\SanderHead\schematic_data.json","1774486542771","columbia-sander-head-schematic-enhanced"
