"type","path","from","to"
"rename","Columbia\Schematics\Applicators\ExternalCorner\8_Wheel_External_Corner_Applicator-1.webp","8_Wheel_External_Corner_Applicator-1.webp","8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1.webp"
"rename","Columbia\Schematics\Applicators\ExternalCorner\External_90_Aplicator_CEXT90_-_FRONT.webp","External_90_Aplicator_CEXT90_-_FRONT.webp","EXTERNAL-90-APLICATOR-CEXT90-FRONT.webp"
"rename","Columbia\Schematics\Applicators\TwoWayInternalCorner\2_Way_Internal_Corner_Applicator-1.webp","2_Way_Internal_Corner_Applicator-1.webp","2-WAY-INTERNAL-CORNER-APPLICATOR-1.webp"
"rename","Columbia\Schematics\Applicators\TwoWayInternalCorner\Two-Way_Internal_Corner_Applicator.webp","Two-Way_Internal_Corner_Applicator.webp","TWO-WAY-INTERNAL-CORNER-APPLICATOR.webp"
"rename","Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\predator_taper_body.webp","predator_taper_body.webp","PREDATOR-TAPER-BODY.webp"
"rename","Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\predator_taper_head.webp","predator_taper_head.webp","PREDATOR-TAPER-HEAD.webp"
"rename","Columbia\Schematics\CompoundTubes\CamLockTube\Cam_Lock_Tube_2019.webp","Cam_Lock_Tube_2019.webp","CAM-LOCK-TUBE-2019.webp"
"rename","Columbia\Schematics\CornerFlushers\ComboFlusher\Classic_Combo_Flusher-1.webp","Classic_Combo_Flusher-1.webp","CLASSIC-COMBO-FLUSHER-1.webp"
"rename","Columbia\Schematics\CornerFlushers\ComboFlusher\combo_flusher.webp","combo_flusher.webp","COMBO-FLUSHER.webp"
"rename","Columbia\Schematics\CornerFlushers\DirectCornerFlusher\2.5_Direct_Flusher_2.5DF.webp","2.5_Direct_Flusher_2.5DF.webp","2.5-DIRECT-FLUSHER-2.5DF.webp"
"rename","Columbia\Schematics\CornerRollers\InsideCornerRoller\InsideCornerRoller-2014_1-squared.webp","InsideCornerRoller-2014_1-squared.webp","INSIDECORNERROLLER-2014-1-SQUARED.webp"
"rename","Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\External_90_Aplicator.webp","External_90_Aplicator.webp","EXTERNAL-90-APLICATOR.webp"
"rename","Columbia\Schematics\FinishingBoxes\FatBoyBox\fat_boy_box.webp","fat_boy_box.webp","FAT-BOY-BOX.webp"
"rename","Columbia\Schematics\Handles\ClosetMonster\closet_monster_copy.webp","closet_monster_copy.webp","CLOSET-MONSTER-COPY.webp"
"rename","Columbia\Schematics\Handles\ColumbiaOne\Columbia_One.webp","Columbia_One.webp","COLUMBIA-ONE.webp"
"rename","Columbia\Schematics\Handles\LongExtendableHandle\corner_roller_handle_extendible.webp","corner_roller_handle_extendible.webp","CORNER-ROLLER-HANDLE-EXTENDIBLE.webp"
"rename","Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\columbia_matrix_box_handle.webp","columbia_matrix_box_handle.webp","COLUMBIA-MATRIX-BOX-HANDLE.webp"
"rename","Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\Matrix_Handle.webp","Matrix_Handle.webp","MATRIX-HANDLE.webp"
"rename","Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\Extension_Housing_Schematic-1.webp","Extension_Housing_Schematic-1.webp","EXTENSION-HOUSING-SCHEMATIC-1.webp"
"rename","Columbia\Schematics\Handles\MatrixBoxHandle\Head\Matrix_Head.webp","Matrix_Head.webp","MATRIX-HEAD.webp"
"rename","Columbia\Schematics\Handles\MatrixBoxHandle\Lever\Matrix_Lever-1.webp","Matrix_Lever-1.webp","MATRIX-LEVER-1.webp"
"rename","Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\Matrix_Pinchbox-1.webp","Matrix_Pinchbox-1.webp","MATRIX-PINCHBOX-1.webp"
"rename","Columbia\Schematics\Pumps\BoxFiller\Box_Filler.webp","Box_Filler.webp","BOX-FILLER.webp"
"rename","Level5\Schematics\AutomaticTapers\Cover-Plate-Assembly\7377_SCH-page-001.webp","7377_SCH-page-001.webp","7377-SCH-PAGE-001.webp"
"rename","Level5\Schematics\AutomaticTapers\Cutter-Chain-Assembly\9333_SCH-page-001.webp","9333_SCH-page-001.webp","9333-SCH-PAGE-001.webp"
"rename","Level5\Schematics\AutomaticTapers\Drive-Dog-Assembly\7097_SCH-page-001.webp","7097_SCH-page-001.webp","7097-SCH-PAGE-001.webp"
"rename","Level5\Schematics\AutomaticTapers\Gooser-Assembly\7293_SCH-page-001.webp","7293_SCH-page-001.webp","7293-SCH-PAGE-001.webp"
"rename","Level5\Schematics\AutomaticTapers\Taper-Wheel-Assembly\7218_SCH-page-001.webp","7218_SCH-page-001.webp","7218-SCH-PAGE-001.webp"
"rename","Level5\Schematics\CornerFinishers\3.5-inch-Corner-Finisher\4-734_SCH-page-001.webp","4-734_SCH-page-001.webp","4-734-SCH-PAGE-001.webp"
"rename","Level5\Schematics\CornerRollers\Corner-Roller\4-707_preview.webp","4-707_preview.webp","4-707-PREVIEW.webp"
"rename","Level5\Schematics\CornerRollers\Corner-Roller\4-707_SCH-page-001.webp","4-707_SCH-page-001.webp","4-707-SCH-PAGE-001.webp"
"rename","Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\4-765_SCH-page-001.webp","4-765_SCH-page-001.webp","4-765-SCH-PAGE-001.webp"
"rename","Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\4-768_SCH-page-001.webp","4-768_SCH-page-001.webp","4-768-SCH-PAGE-001.webp"
"rename","Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\4-766_SCH-page-001.webp","4-766_SCH-page-001.webp","4-766-SCH-PAGE-001.webp"
"rename","Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\4-769_SCH-page-001.webp","4-769_SCH-page-001.webp","4-769-SCH-PAGE-001.webp"
"rename","Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\4-764_SCH-page-001.webp","4-764_SCH-page-001.webp","4-764-SCH-PAGE-001.webp"
"rename","Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\4-767_SCH-page-001.webp","4-767_SCH-page-001.webp","4-767-SCH-PAGE-001.webp"
"rename","Level5\Schematics\Pumps\Compound-Pump\4-771_SCH-page-001.webp","4-771_SCH-page-001.webp","4-771-SCH-PAGE-001.webp"
"rename","Platinum\Schematics\CornerRollerHandle\platinum_corner_roller_Handle-page-001.png","platinum_corner_roller_Handle-page-001.png","PLATINUM-CORNER-ROLLER-HANDLE-PAGE-001.png"
"rename","Platinum\Schematics\FlatBox\Platinum_Flat_Box-page-001.webp","Platinum_Flat_Box-page-001.webp","PLATINUM-FLAT-BOX-PAGE-001.webp"
"rename","Platinum\Schematics\FlatBox\Platinum_Flat_Box-preview.webp","Platinum_Flat_Box-preview.webp","PLATINUM-FLAT-BOX-PREVIEW.webp"
"rename","Platinum\Schematics\OutsideCornerRoller\platinum_outside_cornerroller-page-001.webp","platinum_outside_cornerroller-page-001.webp","PLATINUM-OUTSIDE-CORNERROLLER-PAGE-001.webp"
"rename","Platinum\Schematics\OutsideCornerRoller\platinum_outside_cornerroller_preview.webp","platinum_outside_cornerroller_preview.webp","PLATINUM-OUTSIDE-CORNERROLLER-PREVIEW.webp"
"rename","TapeTech\Schematics\07TT\07TT_Full_Full__37672.png","07TT_Full_Full__37672.png","07TT-FULL-FULL-37672.png"
"rename","TapeTech\Schematics\07TT\07TT_Left_Full__13763.png","07TT_Left_Full__13763.png","07TT-LEFT-FULL-13763.png"
"rename","TapeTech\Schematics\07TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\07TT\schematic_page_2.png","schematic_page_2.png","SCHEMATIC-PAGE-2.png"
"rename","TapeTech\Schematics\07TT\schematic_page_3.png","schematic_page_3.png","SCHEMATIC-PAGE-3.png"
"rename","TapeTech\Schematics\07TT\schematic_page_4.png","schematic_page_4.png","SCHEMATIC-PAGE-4.png"
"rename","TapeTech\Schematics\17TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\17TT\tapetech_17tta__59147.png","tapetech_17tta__59147.png","TAPETECH-17TTA-59147.png"
"rename","TapeTech\Schematics\20TTX\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\25TTX\schematic_page_1-.png","schematic_page_1-.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\30TTX\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\35TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\40TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\42TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\45TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\48TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\50TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\63TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\68TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
"rename","TapeTech\Schematics\8054TT\schematic_page_1-1.png","schematic_page_1-1.png","SCHEMATIC-PAGE-1-1.png"
"rename","TapeTech\Schematics\8054TT\schematic_page_1.png","schematic_page_1.png","SCHEMATIC-PAGE-1.png"
