old_schematic_id,new_schematic_id,sku,slug,source_json_path
asgard-ah25-ad-sch,asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch,AH25AD,asgard-angle-head-2-5-ah25-ad,Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json
asgard-ah30-ad-sch,asgard-angle-head-3-ah30-ad-sch,AH30AD,asgard-angle-head-3-ah30-ad,Asgard\Schematics\AngleHeads\AH30-AD\schematic_data.json
asgard-ah35-ad-sch,asgard-angle-head-3-5-ah35-ad-sch,AH35AD,asgard-angle-head-3-5-ah35-ad,Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json
asgard-at01-ad-sch,asgard-hammer-automatic-taper-at01-ad-sch,AT01AD,asgard-hammer-automatic-taper-at01-ad,Asgard\Schematics\Tapers\AT01-AD\schematic_data.json
asgard-bbh-ad-sch,asgard-brakeless-box-handle-34-bbh-ad-sch,BBHAD,asgard-brakeless-box-handle-34-bbh-ad,Asgard\Schematics\Handles\BBH-AD\schematic_data.json
asgard-bbhe-ad-sch,asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch,BBHEAD,asgard-brakeless-box-extendable-handle-38-60-bbhe-ad,Asgard\Schematics\Handles\BBHE-AD\schematic_data.json
asgard-ca08-ad-sch,asgard-ca08-ad-applicator-box-head-sch,CA08AD,asgard-ca08-ad-applicator-box-head,Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json
asgard-cfa-ad-sch,asgard-angle-head-adapter-cfa-ad-sch,CFAAD,asgard-angle-head-adapter-cfa-ad,Asgard\Schematics\AngleHeads\CFA-AD\schematic_data.json
asgard-cr01-ad-sch,asgard-inside-corner-roller-cr01-ad-sch,CR01AD,asgard-inside-corner-roller-cr01-ad,Asgard\Schematics\Rollers\CR01-AD\schematic_data.json
asgard-ehc07-ad-sch,asgard-maxxbox-finishing-box-7-ehc07-ad-sch,EHC07AD,asgard-maxxbox-finishing-box-7-ehc07-ad,Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json
asgard-ehc10-ad-sch,asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch,EHC10AD,asgard-10-inch-maxxbox-finishing-box-ehc10-ad,Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json
asgard-ehc12-ad-sch,asgard-maxxbox-finishing-box-12-ehc12-ad-sch,EHC12AD,asgard-maxxbox-finishing-box-12-ehc12-ad,Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json
asgard-ez07-ad-sch,asgard-finishing-box-7-ez07-ad-sch,EZ07AD,asgard-finishing-box-7-ez07-ad,Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json
asgard-ez10-ad-sch,asgard-finishing-box-10-ez10-ad-sch,EZ10AD,asgard-finishing-box-10-ez10-ad,Asgard\Schematics\FinishingBoxes\EZ10-AD\schematic_data.json
asgard-ez12-ad-sch,asgard-finishing-box-12-ez12-ad-sch,EZ12AD,asgard-finishing-box-12-ez12-ad,Asgard\Schematics\FinishingBoxes\EZ12-AD\schematic_data.json
asgard-fa01-ad-sch,asgard-angle-head-2-5-ah25-ad-adapters-fa01-ad-sch,AH25AD,asgard-angle-head-2-5-ah25-ad,Asgard\Schematics\Adapters\FA01-AD\schematic_data.json
asgard-fbhe-ad-sch,asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch,FBHEAD,asgard-extendable-finishing-box-handle-41-63-fbhe-ad,Asgard\Schematics\Handles\FBHE-AD\schematic_data.json
asgard-fh-ad-sch,asgard-fh-ad-fiberglass-handle-43-sch,FHAD,asgard-fh-ad-fiberglass-handle-43,Asgard\Schematics\Handles\FH-AD\schematic_data.json
asgard-gn01-ad-sch,asgard-mud-pumps-gn01-ad-sch,GN01AD,asgard-mud-pumps-gn01-ad,Asgard\Schematics\Other\GN01-AD\schematic_data.json
asgard-lp01-ad-sch,asgard-loading-pump-lp01-ad-sch,LP01AD,asgard-loading-pump-lp01-ad,Asgard\Schematics\Pumps\LP01-AD\schematic_data.json
asgard-ns03-ad-sch,asgard-nail-spotter-head-only-ns03-ad-sch,NS03AD,asgard-nail-spotter-head-only-ns03-ad,Asgard\Schematics\Spotters\NS03-AD\schematic_data.json
asgard-pa07-ad-sch,asgard-power-assist-maxxbox-7-pa07-ad-sch,PA07AD,asgard-power-assist-maxxbox-7-pa07-ad,Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json
asgard-pa10-ad-sch,asgard-power-assist-maxxbox-10-pa10-ad-sch,PA10AD,asgard-power-assist-maxxbox-10-pa10-ad,Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json
asgard-pa12-ad-sch,asgard-power-assist-maxxbox-12-pa12-ad-sch,PA12AD,asgard-power-assist-maxxbox-12-pa12-ad,Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json
asgard-xh-ad-sch,asgard-xh-ad-extension-support-handle-43-76-sch,XHAD,asgard-xh-ad-extension-support-handle-43-76,Asgard\Schematics\Handles\XH-AD\schematic_data.json
columbia-180gripboxhandle-2014,columbia-180-grip-flat-box-handle-sch,COL180GRIPFLATBOXHANDLEFIXEDLENGTH,columbia-180-grip-flat-box-handle,Columbia\Schematics\Handles\FlatBoxHandle\schematic_data.json
columbia-2-way-internal-corner-applicator-1,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch,ICATW,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw,Columbia\Schematics\Applicators\TwoWayInternalCorner\schematic_data.json
columbia-3-5inch-corner-flusher-schematic-2015,columbia-standard-flusher-sch,COLSTANDARDFLUSHERS,columbia-standard-flusher,Columbia\Schematics\CornerFlushers\StandardCornerFlusher\schematic_data.json
columbia-8-wheel-external-corner-applicator-1,columbia-billet-mud-applicator-external-90-cext90-sch,CEXT90,columbia-billet-mud-applicator-external-90-cext90,Columbia\Schematics\Applicators\ExternalCorner\schematic_data.json
columbia-anglehead-2014-3,columbia-angle-head-sch,COLANGLEHEAD,columbia-angle-head,Columbia\Schematics\Angleheads\AngleHead\schematic_data.json
columbia-auto-box-schematic-2022,columbia-automatic-flat-finishing-box-sch,COLAUTOMATICFLATBOX,columbia-automatic-flat-finishing-box,Columbia\Schematics\FinishingBoxes\AutomaticFlatBox\schematic_data.json
columbia-box-filler,columbia-box-filler-sch,COLBOXFILLER,columbia-box-filler,Columbia\Schematics\Pumps\BoxFiller\schematic_data.json
columbia-cam-lock-tube-2019,columbia-cam-lock-tube-sch,COLCAMLOCKTUBE,columbia-cam-lock-tube,Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json
columbia-classic-combo-flusher-1,columbia-combo-flusher-sch,COLCOMBOFLUSHER,columbia-combo-flusher,Columbia\Schematics\CornerFlushers\ComboFlusher\schematic_data.json
columbia-closetmonster-2015,columbia-closet-monster-handle-sch,CMH,columbia-closet-monster-handle,Columbia\Schematics\Handles\ClosetMonster\schematic_data.json
columbia-columbia-one,columbia-one-handle-sch,COLONEHANDLE,columbia-one-handle,Columbia\Schematics\Handles\ColumbiaOne\schematic_data.json
columbia-compound-tube-schematic-2022,columbia-compound-tube-sch,COLCOMPOUNDTUBE,columbia-compound-tube,Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json
columbia-corner-cobra,columbia-corner-cobra-sch,CC,columbia-corner-cobra,Columbia\Schematics\CornerRollers\CornerCobra\schematic_data.json
columbia-directstandardflusher-2015,columbia-direct-flusher-sch,COLDIRECTFLUSHER,columbia-direct-flusher,Columbia\Schematics\CornerFlushers\DirectCornerFlusher\schematic_data.json
columbia-extendable-handle,columbia-one-handle-4-8-long-extendible-chxl-sch,CHXL,columbia-one-handle-4-8-long-extendible-chxl,Columbia\Schematics\Handles\LongExtendableHandle\schematic_data.json
columbia-gooseneck-1-1,columbia-gooseneck-sch,COLGOOSENECK,columbia-gooseneck,Columbia\Schematics\Pumps\GooseneckAdapter\schematic_data.json
columbia-ica1-2-2015,columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch,ICA21,columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1,Columbia\Schematics\Applicators\InsideCornerApplicator\2Wheel\schematic_data.json
columbia-ica1-4-2015,columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch,ICA41,columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1,Columbia\Schematics\Applicators\InsideCornerApplicator\4Wheel\schematic_data.json
