schematic_id,source_json_path,tool_sku,tool_name,part_count,image_count
asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch,Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json,AH25AD,"Asgard Angle Head - 2.5""",23,0
asgard-angle-head-3-ah30-ad-sch,Asgard\Schematics\AngleHeads\AH30-AD\schematic_data.json,AH30AD,"Asgard Angle Head - 3""",28,0
asgard-angle-head-3-5-ah35-ad-sch,Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json,AH35AD,"Asgard Angle Head - 3.5""",29,0
asgard-hammer-automatic-taper-at01-ad-sch,Asgard\Schematics\Tapers\AT01-AD\schematic_data.json,AT01AD,Asgard The HAMMER™ Automatic Taper,35,0
asgard-brakeless-box-handle-34-bbh-ad-sch,Asgard\Schematics\Handles\BBH-AD\schematic_data.json,BBHAD,"Asgard Brakeless Box Handle (Fixed Length) - 34""",9,0
asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch,Asgard\Schematics\Handles\BBHE-AD\schematic_data.json,BBHEAD,Asgard Brakeless Box Extendable Handle - 38” - 60”,12,0
asgard-ca08-ad-applicator-box-head-sch,Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json,CA08AD,Asgard Applicator Box – Head Only,32,0
asgard-angle-head-adapter-cfa-ad-sch,Asgard\Schematics\AngleHeads\CFA-AD\schematic_data.json,CFAAD,Asgard Angle Head Adapter,3,0
asgard-inside-corner-roller-cr01-ad-sch,Asgard\Schematics\Rollers\CR01-AD\schematic_data.json,CR01AD,Asgard Inside Corner Roller – Head Only,14,0
asgard-maxxbox-finishing-box-7-ehc07-ad-sch,Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json,EHC07AD,"Asgard MAXXBOX Finishing Box - 7""",61,0
asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch,Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json,EHC10AD,"Asgard MAXXBOX Finishing Box - 10""",61,0
asgard-maxxbox-finishing-box-12-ehc12-ad-sch,Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json,EHC12AD,"Asgard MAXXBOX Finishing Box - 12""",63,0
asgard-finishing-box-7-ez07-ad-sch,Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json,EZ07AD,"Asgard Finishing Box - 7""",55,0
