schematic_id,brand,old_model_number,new_model_number,old_model_name,new_model_name,name_from_catalog
asgard-ah25-ad-sch,Asgard,AH25AD,AH25AD,"Asgard Angle Head - 2.5""","Asgard Angle Head - 2.5""",yes
asgard-ah30-ad-sch,Asgard,AH30AD,AH30AD,"Asgard Angle Head - 3""","Asgard Angle Head - 3""",yes
asgard-ah35-ad-sch,Asgard,AH35AD,AH35AD,"Asgard Angle Head - 3.5""","Asgard Angle Head - 3.5""",yes
asgard-at01-ad-sch,Asgard,AT01AD,AT01AD,Asgard The HAMMER™ Automatic Taper,Asgard The HAMMER™ Automatic Taper,yes
asgard-bbh-ad-sch,Asgard,BBHAD,BBHAD,"Asgard Brakeless Box Handle (Fixed Length) - 34""","Asgard Brakeless Box Handle (Fixed Length) - 34""",yes
asgard-bbhe-ad-sch,Asgard,BBHEAD,BBHEAD,Asgard Brakeless Box Extendable Handle - 38” - 60”,Asgard Brakeless Box Extendable Handle - 38” - 60”,yes
asgard-ca08-ad-sch,Asgard,CA08AD,CA08AD,Asgard Applicator Box – Head Only,Asgard Applicator Box – Head Only,yes
asgard-cfa-ad-sch,Asgard,CFAAD,CFAAD,Asgard Angle Head Adapter,Asgard Angle Head Adapter,yes
asgard-cr01-ad-sch,Asgard,CR01AD,CR01AD,Asgard Inside Corner Roller – Head Only,Asgard Inside Corner Roller – Head Only,yes
asgard-ehc07-ad-sch,Asgard,EHC07AD,EHC07AD,"Asgard MAXXBOX Finishing Box - 7""","Asgard MAXXBOX Finishing Box - 7""",yes
asgard-ehc10-ad-sch,Asgard,EHC10AD,EHC10AD,"Asgard MAXXBOX Finishing Box - 10""","Asgard MAXXBOX Finishing Box - 10""",yes
asgard-ehc12-ad-sch,Asgard,EHC12AD,EHC12AD,"Asgard MAXXBOX Finishing Box - 12""","Asgard MAXXBOX Finishing Box - 12""",yes
asgard-ez07-ad-sch,Asgard,EZ07AD,EZ07AD,"Asgard Finishing Box - 7""","Asgard Finishing Box - 7""",yes
asgard-ez10-ad-sch,Asgard,EZ10AD,EZ10AD,"Asgard Finishing Box - 10""","Asgard Finishing Box - 10""",yes
asgard-ez12-ad-sch,Asgard,EZ12AD,EZ12AD,"Asgard Finishing Box - 12""","Asgard Finishing Box - 12""",yes
asgard-fbhe-ad-sch,Asgard,FBHEAD,FBHEAD,"Asgard Extendable Finishing Box Handle - 41"" - 63""","Asgard Extendable Finishing Box Handle - 41"" - 63""",yes
