status,schematic_id,brand,old_model_number,new_model_number,old_model_name,new_model_name,method,confidence,catalog_source
updated,asgard-ah25-ad-sch,Asgard,AH25-AD,AH25AD,2.5″ Angle Head Corner Finisher,"Asgard Angle Head - 2.5""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ah30-ad-sch,Asgard,AH30-AD,AH30AD,3″ Angle Head Corner Finisher,"Asgard Angle Head - 3""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ah35-ad-sch,Asgard,AH35-AD,AH35AD,3.5″ Angle Head Corner Finisher,"Asgard Angle Head - 3.5""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-at01-ad-sch,Asgard,AT01-AD,AT01AD,HAMMER Automatic Taper,Asgard The HAMMER™ Automatic Taper,sku_exact,1.0,wc-product-export-current.csv
updated,asgard-bbh-ad-sch,Asgard,BBH-AD,BBHAD,Brakeless Box Handle,"Asgard Brakeless Box Handle (Fixed Length) - 34""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-bbhe-ad-sch,Asgard,BBHE-AD,BBHEAD,Brakeless Box Handle – Extendable,Asgard Brakeless Box Extendable Handle - 38” - 60”,sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ca08-ad-sch,Asgard,CA08-AD,CA08AD,8″ Angle Box Corner Applicator,Asgard Applicator Box – Head Only,sku_exact,1.0,wc-product-export-current.csv
updated,asgard-cfa-ad-sch,Asgard,CFA-AD,CFAAD,Angle Head Adapter,Asgard Angle Head Adapter,sku_exact,1.0,wc-product-export-current.csv
updated,asgard-cr01-ad-sch,Asgard,CR01-AD,CR01AD,Inside Corner Roller,Asgard Inside Corner Roller – Head Only,sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ehc07-ad-sch,Asgard,EHC07-AD,EHC07AD,7″ MaxxBox Finishing Box,"Asgard MAXXBOX Finishing Box - 7""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ehc10-ad-sch,Asgard,EHC10-AD,EHC10AD,10″ MaxxBox Finishing Box,"Asgard MAXXBOX Finishing Box - 10""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ehc12-ad-sch,Asgard,EHC12-AD,EHC12AD,12″ MaxxBox Finishing Box,"Asgard MAXXBOX Finishing Box - 12""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ez07-ad-sch,Asgard,EZ07-AD,EZ07AD,7″ Flat Finishing Box,"Asgard Finishing Box - 7""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ez10-ad-sch,Asgard,EZ10-AD,EZ10AD,10″ Flat Finishing Box,"Asgard Finishing Box - 10""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ez12-ad-sch,Asgard,EZ12-AD,EZ12AD,12″ Flat Finishing Box,"Asgard Finishing Box - 12""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-fbhe-ad-sch,Asgard,FBHE-AD,FBHEAD,Extendable Flat Box Handle with Brake,"Asgard Extendable Finishing Box Handle - 41"" - 63""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-fh-ad-sch,Asgard,FH-AD,FHAD,Fiberglass Handle,"Asgard Fiberglass Handle - 43""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-gn01-ad-sch,Asgard,GN01-AD,GN01AD,Gooseneck,Asgard Gooseneck Adapter,sku_exact,1.0,wc-product-export-current.csv
updated,asgard-lp01-ad-sch,Asgard,LP01-AD,LP01AD,Compound Loading Pump,Asgard Loading Pump,sku_exact,1.0,wc-product-export-current.csv
updated,asgard-ns03-ad-sch,Asgard,NS03-AD,NS03AD,3″ Nail Spotter,Asgard Nail Spotter – Head Only,sku_exact,1.0,wc-product-export-current.csv
updated,asgard-pa07-ad-sch,Asgard,PA07-AD,PA07AD,7″ Power Assist Finishing Box,"Asgard Power Assist MAXXBOX Finishing Box - 7""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-pa10-ad-sch,Asgard,PA10-AD,PA10AD,10″ Power Assist Finishing Box,"Asgard Power Assist MAXXBOX Finishing Box - 10""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-pa12-ad-sch,Asgard,PA12-AD,PA12AD,12″ Power Assist Finishing Box,"Asgard Power Assist MAXXBOX Finishing Box - 12""",sku_exact,1.0,wc-product-export-current.csv
updated,asgard-xh-ad-sch,Asgard,XH-AD,XHAD,Extendable Support Handle,Asgard Extension Support Handle - 43” to 76”,sku_exact,1.0,wc-product-export-current.csv
updated,columbia-columbia-one,Columbia Tools,COLUMBIA-ONE,COL-GOOSENECK,COLUMBIA ONE,Columbia Gooseneck,name_fuzzy,0.8,dtb_woocommerce_official_catalog_optimized.csv
updated,columbia-matrix-handle,Columbia Tools,MATRIX-HANDLE,MH2,MATRIX HANDLE,Matrix Handle Head,name_fuzzy,0.8387,wc-product-export-current.csv
updated,columbia-predator-taper-head,Columbia Tools,PREDATOR-TAPER-HEAD,CT69,PREDATOR TAPER HEAD,Predator Taper Drive Cam,name_fuzzy,0.7907,wc-product-export-current.csv
updated,platinum-platinum-corner-roller-handle-page-001,Platinum Drywall Tools,PLATINUM-CORNER-ROLLER-HANDLE-PAGE-001,PTCRH50,PLATINUM CORNER ROLLER HANDLE PAGE 001,"Platinum 50"" Corner Roller Handle",name_fuzzy,0.8286,dtb_woocommerce_official_catalog_optimized.csv
updated,platinum-flat-box,Platinum Drywall Tools,PLATINUM-FLAT-BOX-SCH,PTBH,Flat Box,Platinum Flat Box Handle,name_fuzzy,0.8444,dtb_woocommerce_official_catalog_optimized.csv
updated,platinum-outside-corner-roller,Platinum Drywall Tools,PLATINUM-OUTSIDE-CORNERROLLER-SCH,PTCR,Outside Corner Roller,Platinum Inside Corner Roller,name_fuzzy,0.8387,dtb_woocommerce_official_catalog_optimized.csv
unchanged,asgard-fa01-ad-sch,Asgard,FA01-AD,FA01-AD,Filler Adapter,Filler Adapter,,,
unchanged,columbia-180gripboxhandle-2014,Columbia Tools,180GripBoxHandle-2014,180GripBoxHandle-2014,180GripBoxHandle 2014,180GripBoxHandle 2014,,,
unchanged,columbia-2-way-internal-corner-applicator-1,Columbia Tools,2-WAY-INTERNAL-CORNER-APPLICATOR-1,2-WAY-INTERNAL-CORNER-APPLICATOR-1,2 WAY INTERNAL CORNER APPLICATOR 1,2 WAY INTERNAL CORNER APPLICATOR 1,,,
