status,brand,schematic_id,model_number,model_name,catalog_sku,catalog_name,catalog_source
catalog_exact_sku,Asgard,asgard-ah25-ad-sch,AH25AD,"Asgard Angle Head - 2.5""",AH25AD,"Asgard Angle Head - 2.5""",wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-ah30-ad-sch,AH30AD,"Asgard Angle Head - 3""",AH30AD,"Asgard Angle Head - 3""",wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-ah35-ad-sch,AH35AD,"Asgard Angle Head - 3.5""",AH35AD,"Asgard Angle Head - 3.5""",wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-at01-ad-sch,AT01AD,Asgard The HAMMER™ Automatic Taper,AT01AD,Asgard The HAMMER™ Automatic Taper,wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-bbh-ad-sch,BBHAD,"Asgard Brakeless Box Handle (Fixed Length) - 34""",BBHAD,"Asgard Brakeless Box Handle (Fixed Length) - 34""",wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-bbhe-ad-sch,BBHEAD,Asgard Brakeless Box Extendable Handle - 38” - 60”,BBHEAD,Asgard Brakeless Box Extendable Handle - 38” - 60”,wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-ca08-ad-sch,CA08AD,Asgard Applicator Box – Head Only,CA08AD,Asgard Applicator Box – Head Only,wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-cfa-ad-sch,CFAAD,Asgard Angle Head Adapter,CFAAD,Asgard Angle Head Adapter,wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-cr01-ad-sch,CR01AD,Asgard Inside Corner Roller – Head Only,CR01AD,Asgard Inside Corner Roller – Head Only,wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-ehc07-ad-sch,EHC07AD,"Asgard MAXXBOX Finishing Box - 7""",EHC07AD,"Asgard MAXXBOX Finishing Box - 7""",wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-ehc10-ad-sch,EHC10AD,"Asgard MAXXBOX Finishing Box - 10""",EHC10AD,"Asgard MAXXBOX Finishing Box - 10""",wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-ehc12-ad-sch,EHC12AD,"Asgard MAXXBOX Finishing Box - 12""",EHC12AD,"Asgard MAXXBOX Finishing Box - 12""",wc-product-export-current.csv
catalog_exact_sku,Asgard,asgard-ez07-ad-sch,EZ07AD,"Asgard Finishing Box - 7""",EZ07AD,"Asgard Finishing Box - 7""",wc-product-export-current.csv
