section,schematic_id,brand,old_model_number,new_or_current_model_number,old_model_name,new_or_current_model_name,method
updated,tapetech-07tt-sch-v11,TapeTech,07TT,TT-EASYCLEAN-AUTOMATIC-TAPER,TapeTech EasyClean® Automatic Taper - Standard,TapeTech EasyClean® Automatic Taper,name_fuzzy_hi
updated,tapetech-42tt-sch,TapeTech,42TT,TT-CORNER-FINISHER,"TapeTech Corner Finisher - 2.5""",TapeTech Corner Finisher,name_fuzzy_hi
updated,tapetech-8054tt-sch,TapeTech,8054TT,TT-FLAT-BOX-HANDLE,"TapeTech Flat Box Handle - 54""",TapeTech Flat Box Handle,name_fuzzy_hi
unmatched,asgard-ah25-ad-sch,Asgard,AH25AD,AH25AD,"Asgard Angle Head - 2.5""","Asgard Angle Head - 2.5""",
unmatched,asgard-ah30-ad-sch,Asgard,AH30AD,AH30AD,"Asgard Angle Head - 3""","Asgard Angle Head - 3""",
unmatched,asgard-ah35-ad-sch,Asgard,AH35AD,AH35AD,"Asgard Angle Head - 3.5""","Asgard Angle Head - 3.5""",
unmatched,asgard-at01-ad-sch,Asgard,AT01AD,AT01AD,Asgard The HAMMER™ Automatic Taper,Asgard The HAMMER™ Automatic Taper,
unmatched,asgard-bbh-ad-sch,Asgard,BBHAD,BBHAD,"Asgard Brakeless Box Handle (Fixed Length) - 34""","Asgard Brakeless Box Handle (Fixed Length) - 34""",
unmatched,asgard-bbhe-ad-sch,Asgard,BBHEAD,BBHEAD,Asgard Brakeless Box Extendable Handle - 38” - 60”,Asgard Brakeless Box Extendable Handle - 38” - 60”,
unmatched,asgard-ca08-ad-sch,Asgard,CA08AD,CA08AD,Asgard Applicator Box – Head Only,Asgard Applicator Box – Head Only,
unmatched,asgard-cfa-ad-sch,Asgard,CFAAD,CFAAD,Asgard Angle Head Adapter,Asgard Angle Head Adapter,
unmatched,asgard-cr01-ad-sch,Asgard,CR01AD,CR01AD,Asgard Inside Corner Roller – Head Only,Asgard Inside Corner Roller – Head Only,
unmatched,asgard-ehc07-ad-sch,Asgard,EHC07AD,EHC07AD,"Asgard MAXXBOX Finishing Box - 7""","Asgard MAXXBOX Finishing Box - 7""",
unmatched,asgard-ehc10-ad-sch,Asgard,EHC10AD,EHC10AD,"Asgard MAXXBOX Finishing Box - 10""","Asgard MAXXBOX Finishing Box - 10""",
unmatched,asgard-ehc12-ad-sch,Asgard,EHC12AD,EHC12AD,"Asgard MAXXBOX Finishing Box - 12""","Asgard MAXXBOX Finishing Box - 12""",
unmatched,asgard-ez07-ad-sch,Asgard,EZ07AD,EZ07AD,"Asgard Finishing Box - 7""","Asgard Finishing Box - 7""",
unmatched,asgard-ez10-ad-sch,Asgard,EZ10AD,EZ10AD,"Asgard Finishing Box - 10""","Asgard Finishing Box - 10""",
unmatched,asgard-ez12-ad-sch,Asgard,EZ12AD,EZ12AD,"Asgard Finishing Box - 12""","Asgard Finishing Box - 12""",
unmatched,asgard-fa01-ad-sch,Asgard,FA01-AD,FA01-AD,Filler Adapter,Filler Adapter,
unmatched,asgard-fbhe-ad-sch,Asgard,FBHEAD,FBHEAD,"Asgard Extendable Finishing Box Handle - 41"" - 63""","Asgard Extendable Finishing Box Handle - 41"" - 63""",
unmatched,asgard-fh-ad-sch,Asgard,FHAD,FHAD,"Asgard Fiberglass Handle - 43""","Asgard Fiberglass Handle - 43""",
unmatched,asgard-gn01-ad-sch,Asgard,GN01AD,GN01AD,Asgard Gooseneck Adapter,Asgard Gooseneck Adapter,
unmatched,asgard-lp01-ad-sch,Asgard,LP01AD,LP01AD,Asgard Loading Pump,Asgard Loading Pump,
unmatched,asgard-ns03-ad-sch,Asgard,NS03AD,NS03AD,Asgard Nail Spotter – Head Only,Asgard Nail Spotter – Head Only,
unmatched,asgard-pa07-ad-sch,Asgard,PA07AD,PA07AD,"Asgard Power Assist MAXXBOX Finishing Box - 7""","Asgard Power Assist MAXXBOX Finishing Box - 7""",
unmatched,asgard-pa10-ad-sch,Asgard,PA10AD,PA10AD,"Asgard Power Assist MAXXBOX Finishing Box - 10""","Asgard Power Assist MAXXBOX Finishing Box - 10""",
unmatched,asgard-pa12-ad-sch,Asgard,PA12AD,PA12AD,"Asgard Power Assist MAXXBOX Finishing Box - 12""","Asgard Power Assist MAXXBOX Finishing Box - 12""",
unmatched,asgard-xh-ad-sch,Asgard,XHAD,XHAD,Asgard Extension Support Handle - 43” to 76”,Asgard Extension Support Handle - 43” to 76”,
unmatched,columbia-180gripboxhandle-2014,Columbia Tools,180GRIPBOXHANDLE,180GRIPBOXHANDLE,180GripBoxHandle 2014,180GripBoxHandle 2014,
unmatched,columbia-2-way-internal-corner-applicator-1,Columbia Tools,2-WAY-INTERNAL-CORNER-APPLICATOR-1,2-WAY-INTERNAL-CORNER-APPLICATOR-1,2 WAY INTERNAL CORNER APPLICATOR 1,2 WAY INTERNAL CORNER APPLICATOR 1,
unmatched,columbia-3-5inch-corner-flusher-schematic-2015,Columbia Tools,3.5INCH-CORNER-FLUSHER-SCHEMATIC,3.5INCH-CORNER-FLUSHER-SCHEMATIC,3.5INCH CORNER FLUSHER SCHEMATIC 2015,3.5INCH CORNER FLUSHER SCHEMATIC 2015,
