status,schematic_id,brand,old_model_number,new_model_number,old_model_name,new_model_name,match_method,match_input,catalog_source,json_sku,json_product_name,json_title
normalized_only,columbia-3-5inch-corner-flusher-schematic-2015,Columbia Tools,3.5INCH-CORNER-FLUSHER-SCHEMATIC,3.5INCH-CORNER-FLUSHER,3.5INCH CORNER FLUSHER SCHEMATIC 2015,3.5INCH CORNER FLUSHER SCHEMATIC 2015,,,,,,3.5INCH-CORNER-FLUSHER-SCHEMATIC-2015
normalized_only,columbia-auto-box-schematic-2022,Columbia Tools,AUTO-BOX-SCHEMATIC,AUTO-BOX,AUTO BOX SCHEMATIC 2022,AUTO BOX SCHEMATIC 2022,,,,,,AUTO-BOX-SCHEMATIC-2022
normalized_only,columbia-compound-tube-schematic-2022,Columbia Tools,COMPOUND-TUBE-SCHEMATIC,COMPOUND-TUBE,COMPOUND TUBE SCHEMATIC 2022,COMPOUND TUBE SCHEMATIC 2022,,,,,,COMPOUND-TUBE-SCHEMATIC-2022
normalized_only,columbia-flat-box-hinged-schematic-2022,Columbia Tools,FLAT-BOX-HINGED-SCHEMATIC,FLAT-BOX-HINGED,FLAT BOX HINGED SCHEMATIC 2022,FLAT BOX HINGED SCHEMATIC 2022,,,,,,FLAT-BOX-HINGED-SCHEMATIC-2022
normalized_only,columbia-mud-pump-schematic-2022,Columbia Tools,MUD-PUMP-SCHEMATIC,MUD-PUMP,MUD PUMP SCHEMATIC 2022,MUD PUMP SCHEMATIC 2022,,,,,,MUD-PUMP-SCHEMATIC-2022
normalized_only,columbia-nail-spotter-schematic-2022,Columbia Tools,NAIL-SPOTTER-SCHEMATIC,NAIL-SPOTTER,NAIL SPOTTER SCHEMATIC 2022,NAIL SPOTTER SCHEMATIC 2022,,,,,,NAIL-SPOTTER-SCHEMATIC-2022
normalized_only,columbia-semi-automatic-taper-schematic-2022,Columbia Tools,SEMI-AUTOMATIC-TAPER-SCHEMATIC,SEMI-AUTOMATIC-TAPER,SEMI AUTOMATIC TAPER SCHEMATIC 2022,SEMI AUTOMATIC TAPER SCHEMATIC 2022,,,,,,SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022
normalized_only,columbia-tall-boy-mud-pump-schematic-2022,Columbia Tools,TALL-BOY-MUD-PUMP-SCHEMATIC,TALL-BOY-MUD-PUMP,TALL BOY MUD PUMP SCHEMATIC 2022,TALL BOY MUD PUMP SCHEMATIC 2022,,,,,,TALL-BOY-MUD-PUMP-SCHEMATIC-2022
normalized_only,columbia-tomahawk-schematic-2022,Columbia Tools,TOMAHAWK-SCHEMATIC,TOMAHAWK,TOMAHAWK SCHEMATIC 2022,TOMAHAWK SCHEMATIC 2022,,,,,,TOMAHAWK-SCHEMATIC-2022
unresolved,columbia-180gripboxhandle-2014,Columbia Tools,180GRIPBOXHANDLE,180GRIPBOXHANDLE,180GripBoxHandle 2014,180GripBoxHandle 2014,,,,,,
