schematic_id,source_json,old_name,new_name,score
columbia-180-grip-flat-box-handle-sch,Columbia/Schematics/Handles/FlatBoxHandle/schematic_data.json,180GripBoxHandle-2014-enhanced.webp,columbia-180-grip-flat-box-handle-sch-schematic-page-001.webp,2
columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch,Columbia/Schematics/Applicators/TwoWayInternalCorner/schematic_data.json,2_Way_Internal_Corner_Applicator-1-enhanced.webp,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch-schematic-page-001.webp,2
columbia-standard-flusher-sch,Columbia/Schematics/CornerFlushers/StandardCornerFlusher/schematic_data.json,3.5INCH-CORNER-FLUSHER-SCHEMATIC-2015-enhanced.webp,columbia-standard-flusher-sch-schematic-page-001.webp,9
columbia-billet-mud-applicator-external-90-cext90-sch,Columbia/Schematics/Applicators/ExternalCorner/schematic_data.json,8_Wheel_External_Corner_Applicator-1-enhanced.webp,columbia-billet-mud-applicator-external-90-cext90-sch-schematic-page-001.webp,2
columbia-angle-head-sch,Columbia/Schematics/Angleheads/AngleHead/schematic_data.json,AngleHead-2014-3-enhanced.webp,columbia-angle-head-sch-schematic-page-001.webp,2
columbia-automatic-flat-finishing-box-sch,Columbia/Schematics/FinishingBoxes/AutomaticFlatBox/schematic_data.json,AUTO-BOX-SCHEMATIC-2022-enhanced.webp,columbia-automatic-flat-finishing-box-sch-schematic-page-001.webp,9
columbia-box-filler-sch,Columbia/Schematics/Pumps/BoxFiller/schematic_data.json,Box_Filler.webp,columbia-box-filler-sch-schematic-page-001.webp,2
columbia-cam-lock-tube-sch,Columbia/Schematics/CompoundTubes/CamLockTube/schematic_data.json,Cam_Lock_Tube_2019-enhanced.webp,columbia-cam-lock-tube-sch-schematic-page-001.webp,2
columbia-combo-flusher-sch,Columbia/Schematics/CornerFlushers/ComboFlusher/schematic_data.json,Classic_Combo_Flusher-1-enhanced.webp,columbia-combo-flusher-sch-schematic-page-001.webp,2
columbia-closet-monster-handle-sch,Columbia/Schematics/Handles/ClosetMonster/schematic_data.json,ClosetMonster-2015-enhanced.webp,columbia-closet-monster-handle-sch-schematic-page-001.webp,2
columbia-one-handle-sch,Columbia/Schematics/Handles/ColumbiaOne/schematic_data.json,Columbia_One-enhanced.webp,columbia-one-handle-sch-schematic-page-001.webp,2
columbia-compound-tube-sch,Columbia/Schematics/CompoundTubes/CompoundTube/schematic_data.json,COMPOUND-TUBE-SCHEMATIC-2022-enhanced.webp,columbia-compound-tube-sch-schematic-page-001.webp,9
columbia-throttle-box-sch,Columbia/Schematics/CornerBoxes/ThrottleBox/schematic_data.json,CORNER-BOX-SCHEMATIC-enhanced.webp,columbia-throttle-box-sch-schematic-page-001.webp,9
columbia-corner-cobra-sch,Columbia/Schematics/CornerRollers/CornerCobra/schematic_data.json,CORNER-COBRA-SCHEMATIC.2024-enhanced.webp,columbia-corner-cobra-sch-schematic-page-001.webp,9
columbia-direct-flusher-sch,Columbia/Schematics/CornerFlushers/DirectCornerFlusher/schematic_data.json,DirectStandardFlusher-2015-enhanced.webp,columbia-direct-flusher-sch-schematic-page-001.webp,2
columbia-one-handle-4-8-long-extendible-chxl-sch,Columbia/Schematics/Handles/LongExtendableHandle/schematic_data.json,extendable-handle-enhanced.webp,columbia-one-handle-4-8-long-extendible-chxl-sch-schematic-page-001.webp,2
columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch,Columbia/Schematics/Handles/MatrixBoxHandle/ExtensionHousing/schematic_data.json,Extension_Housing_Schematic-1-enhanced.webp,columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch-schematic-page-001.webp,9
columbia-fat-boy-finishing-box-sch,Columbia/Schematics/FinishingBoxes/FatBoyBox/schematic_data.json,fat_boy_box.webp,columbia-fat-boy-finishing-box-sch-schematic-page-001.webp,2
columbia-flat-finishing-box-sch,Columbia/Schematics/FinishingBoxes/FlatBox/schematic_data.json,FLAT-BOX-HINGED-SCHEMATIC-2022-enhanced.webp,columbia-flat-finishing-box-sch-schematic-page-001.webp,9
