ID,Type,SKU,Name,sku_norm,reason
,variable,TT-CARBON-FIBER-BOX-HANDLE,TapeTech Carbon Fiber Box Handle,TTCARBONFIBERBOXHANDLE,no-safe-candidate
,variation,FBH2642TT-CF,"TapeTech Carbon Fiber Box Handle - 26""-42""",FBH2642TTCF,no-safe-candidate
,variation,FBH4272TT-CF,"TapeTech Carbon Fiber Box Handle - 42""-72""",FBH4272TTCF,no-safe-candidate
,variable,TT-STAINLESS-STEEL-MUD-PAN,TapeTech Stainless Steel Mud Pan,TTSTAINLESSSTEELMUDPAN,no-safe-candidate
,variation,MP12SSTT,"TapeTech Stainless Steel Mud Pan - 12""",MP12SSTT,no-safe-candidate
,variation,MP14SSTT,"TapeTech Stainless Steel Mud Pan - 14""",MP14SSTT,no-safe-candidate
,variable,TT-FINISHING-HAWK,TapeTech Finishing Hawk,TTFINISHINGHAWK,no-safe-candidate
,variation,HAWK002-PS,"TapeTech Finishing Hawk - 13"" x 13"" Premium Anodized",HAWK002PS,no-safe-candidate
,variable,TT-BASIC-FULL-SET,TapeTech Basic Full Set,TTBASICFULLSET,no-safe-candidate
,variation,TTFULL7/10,"TapeTech Basic Full Set - 7"" and 10"" Boxes",TTFULL710,no-safe-candidate
,variation,TTFULL10/12,"TapeTech Basic Full Set - 10"" and 12"" Boxes",TTFULL1012,no-safe-candidate
,variable,TT-BASIC-JUMBO-SET,TapeTech Basic Jumbo Set,TTBASICJUMBOSET,no-safe-candidate
,variation,TTJUMBO7/10,"TapeTech Basic Jumbo Set - 7"" and 10"" Boxes",TTJUMBO710,no-safe-candidate
,variation,TTJUMBOO10/12,"TapeTech Basic Jumbo Set - 10"" and 12"" Boxes",TTJUMBOO1012,no-safe-candidate
,simple,70171,TapeTech 2 Pump Set,70171,no-safe-candidate
,simple,70173,"TapeTech 10"" and 12"" Full Set",70173,no-safe-candidate
,simple,TTFBC,TapeTech Flat Box Combo TTFBC,TTFBC,no-safe-candidate
,simple,TTFFS,TapeTech Value Drywall Finishing Set,TTFFS,no-safe-candidate
,simple,TTFINISH7/10,TapeTech Taping Tools Drywall Finishing Set,TTFINISH710,no-safe-candidate
,simple,TTFTFS,TapeTech Value Full Drywall Taping & Finishing Set,TTFTFS,no-safe-candidate
,simple,TTFULL2SET,TapeTech Full Set X2 Contractors Pack,TTFULL2SET,no-safe-candidate
,variable,TT-COMBO-CORNER-FLUSHER,TapeTech Combo Corner Flusher,TTCOMBOCORNERFLUSHER,no-safe-candidate
