"SKU","Description","BeforeWeightLbs","BeforeLengthIn","BeforeWidthIn","BeforeHeightIn","AfterWeightLbs","AfterLengthIn","AfterWidthIn","AfterHeightIn","ShipBoxLengthCm","ShipBoxWidthCm","ShipBoxHeightCm","ShipPackageWeightKg"
"16TT","Mud Head for Outside Corner (90 Degrees)","0.6","6.5","4.5","4.5","0.6","6.5","4.5","4.5","17","12","12","0.2722"
"16TT90","Mud Head for Inside Corner (90 Degrees)","0.55","6.5","4.5","4.5","0.55","6.5","4.5","4.5","17","12","12","0.2495"
"BHE-SW","EasyClean Extendable Box Handle with Swivel","6.4","46","4.5","4.5","6.4","46","4.5","4.5","117","12","12","2.903"
"BH","EasyClean Box Handle","5.1","44","4.5","4.5","5.1","44","4.5","4.5","112","12","12","2.3133"
"BHE","EasyClean Extendable Box Handle","6.2","46","4.5","4.5","6.2","46","4.5","4.5","117","12","12","2.8123"
"FBH2642TT-CF","Carbon Fiber Box Handle 26-42 in","3.6","31","4","4","3.6","31","4","4","79","11","11","1.6329"
"FBH4272TT-CF","Carbon Fiber Box Handle 42-72 in","4.2","47","4","4","4.2","47","4","4","120","11","11","1.9051"
"CT24TT","Compound Tube 24 in","2.4","32.25","4.25","4.25","2.4","32.25","4.25","4.25","82","11","11","1.0886"
"CT36TT","Compound Tube 36 in","3.1","48.25","4.25","4.25","3.1","48.25","4.25","4.25","123","11","11","1.4061"
"CT42TT","Compound Tube 42 in","3.6","50.25","5.25","5.25","3.6","50.25","5.25","5.25","128","14","14","1.6329"
"CA07TT","7"" Corner Applicator","2.5","8","8","4","2.5","8","8","4","21","21","11","1.13"
"CA08TT","8"" Corner Applicator","2.8","9","9","4","2.8","9","9","4","23","23","11","1.27"
"42TT","2.5"" Corner Finisher","1","5","5","6","1","5","5","6","12.7","12.7","15.24","0.45"
"48TT","3"" Easy Roll Adjustable Corner Finisher","1.05","6","4","4","1.05","6","4","4","16","11","11","0.4763"
"15TTE","Inside Corner Roller","1.9","8","4","4","1.9","8","4","4","21","11","11","0.8618"
"17TT","Outside Corner Roller","1.65","6.5","4.5","4.5","1.65","6.5","4.5","4.5","17","12","12","0.7484"
"17TTE","Outside Corner Roller (for Flex Tape)","1.65","6.5","4.5","4.5","1.65","6.5","4.5","4.5","17","12","12","0.7484"
"03TT","Filler Adapter","0.5","7","4","4","0.5","7","4","4","18","11","11","0.2268"
"07TT","EasyClean Automatic Taper","9.25","55","7","7","9.25","55","7","7","140","18","18","4.1957"
"EZ07TT","7"" EasyClean® Finishing Box with EasyRoll™ Wheels","2.75","10","6","4","2.75","10","6","4","26","16","11","1.2474"
"EZ10TT","10"" EasyClean® Finishing Box with EasyRoll™ Wheels","3.3","12","6","4","3.3","12","6","4","31","16","11","1.4969"
"EZ12TT","12"" EasyClean® Finishing Box with EasyRoll™ Wheels","3.85","14","6","4","3.85","14","6","4","36","16","11","1.7463"
"76TT","Corner Finisher Handle - 48 in","2.15","49","3","3","2.15","49","3","3","125","8","8","0.9752"
"EHC07","7"" MAXXBOX™ Extra High Capacity Finishing Box","4","9","8","6","4","9","8","6","23","21","16","1.81"
"EHC10","10"" MAXXBOX™ Extra High Capacity Finishing Box","4.5","12","8","6","4.5","12","8","6","31","21","16","2.04"
"EHC12","12"" MAXXBOX™ Extra High Capacity Finishing Box","5","14","8","6","5","14","8","6","36","21","16","2.27"
"PAHC07","7"" Power Assist MAXXBOX Extra High Capacity Finishing Box","4.2","9","8","6","4.2","9","8","6","23","21","16","1.9051"
"PAHC10","10"" Power Assist MAXXBOX Extra High Capacity Finishing Box","4.8","12","8","6","4.8","12","8","6","31","21","16","2.1772"
"PAHC12","12"" Power Assist MAXXBOX Extra High Capacity Finishing Box","5.2","14","8","6","5.2","14","8","6","36","21","16","2.3587"
"FHTT","Fiberglass Handle","1.8","54","3","3","1.8","54","3","3","138","8","8","0.8165"
"14TT","MudRunner","8.75","65","6.5","6.5","8.75","65","6.5","6.5","166","17","17","3.9689"
