Import complete! 27 products imported. 27 variations imported. Failed to import 281 products. View import log. File uploaded: product-dtb_woocommerce_official_catalog_optimized-hklsnwn5og.csv
Product	Reason for failure
Columbia Flat Finisher Box, SKU COL-FLAT-FINISHER-BOX	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-55ffb-01.webp. Error: Not Found
Columbia Flat Finisher Box - 5.5", SKU 5.5FFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-55ffb-01.webp. Error: Not Found
Columbia Flat Finisher Box - 7", SKU 7FFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-7ffb-01.webp. Error: Not Found
Columbia Flat Finisher Box - 8", SKU 8FFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-8ffb-01.webp. Error: Not Found
Columbia Flat Finisher Box - 10", SKU 10FFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-10ffb-01.webp. Error: Not Found
Columbia Flat Finisher Box - 12", SKU 12FFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-12ffb-01.webp. Error: Not Found
Columbia Flat Finisher Box - 14", SKU 14FFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-14ffb-01.webp. Error: Not Found
Columbia Fat Boy Flat Box, SKU COL-FAT-BOY-FLAT-BOX	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8fbb-01.webp. Error: Not Found
Columbia Fat Boy Flat Box - 8", SKU 8FBB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8fbb-01.webp. Error: Not Found
Columbia Fat Boy Flat Box - 10", SKU 10FBB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-10fbb-01.webp. Error: Not Found
Columbia Fat Boy Flat Box - 12", SKU 12FBB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-12fbb-01.webp. Error: Not Found
Columbia Automatic Flat Box, SKU COL-AUTOMATIC-FLAT-BOX	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-automatic-flat-boxes-01.webp. Error: Not Found
Columbia Automatic Flat Box - 8", SKU 8FFBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-automatic-flat-boxes-01.webp. Error: Not Found
Columbia Automatic Flat Box - 10", SKU 10FFBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-automatic-flat-boxes-01.webp. Error: Not Found
Columbia Automatic Flat Box - 12", SKU 12FFBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-automatic-flat-boxes-01.webp. Error: Not Found
Columbia Automatic Flat Box - 14", SKU 14FFBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-automatic-flat-boxes-01.webp. Error: Not Found
Columbia Automatic Fat Boy Box, SKU COL-AUTOMATIC-FAT-BOY-BOX	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8fbb-01.webp. Error: Not Found
Columbia Automatic Fat Boy Box - 8", SKU 8FBBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8fbb-01.webp. Error: Not Found
Columbia Automatic Fat Boy Box - 10", SKU 10FBBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-automatic-flat-boxes-01.webp. Error: Not Found
Columbia Automatic Fat Boy Box - 12", SKU 12FBBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-automatic-flat-boxes-01.webp. Error: Not Found
Columbia Angle Head, SKU COL-ANGLE-HEAD	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2ah-01.webp. Error: Not Found
Columbia Angle Head - 2", SKU 2AH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2ah-01.webp. Error: Not Found
Columbia Angle Head - 2.5", SKU 2.5AH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-25ah-01.webp. Error: Not Found
