schematic_id,source_json,old_name,new_name
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-01.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-01.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-02.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-02.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-03.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-03.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-04.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-04.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-05.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-05.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-06.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-06.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-07.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-07.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-08.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-08.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-09.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-09.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-10.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-10.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-11.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-11.webp
asgard-hammer-automatic-taper-at01-ad-sch,Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,AT01-AD-SCHEMATIC-PAGE-12.webp,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-12.webp
asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch,Asgard/Schematics/Handles/BBHE-AD/schematic_data.json,BBHE-AD-SCHEMATIC-PAGE-01.webp,asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch-schematic-page-01.webp
asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch,Asgard/Schematics/Handles/BBHE-AD/schematic_data.json,BBHE-AD-SCHEMATIC-PAGE-02.webp,asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch-schematic-page-02.webp
asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch,Asgard/Schematics/Handles/FBHE-AD/schematic_data.json,FBHE-AD-SCHEMATIC-PAGE-01.webp,asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch-schematic-page-01.webp
asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch,Asgard/Schematics/Handles/FBHE-AD/schematic_data.json,FBHE-AD-SCHEMATIC-PAGE-02.webp,asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch-schematic-page-02.webp
asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch,Asgard/Schematics/FinishingBoxes/EHC10-AD/schematic_data.json,EHC10-AD-SCHEMATIC-PAGE-01.webp,asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch-schematic-page-01.webp
asgard-angle-head-2-5-ah25-ad-adapters-fa01-ad-sch,Asgard/Schematics/Adapters/FA01-AD/schematic_data.json,FA01-AD-SCHEMATIC-PAGE-01.webp,asgard-angle-head-2-5-ah25-ad-adapters-fa01-ad-sch-schematic-page-01.webp
asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch,Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json,AH25-AD-SCHEMATIC-PAGE-01.webp,asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch-schematic-page-01.webp
asgard-angle-head-3-5-ah35-ad-sch,Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json,AH35-AD-SCHEMATIC-PAGE-01.webp,asgard-angle-head-3-5-ah35-ad-sch-schematic-page-01.webp
asgard-angle-head-3-ah30-ad-sch,Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json,AH30-AD-SCHEMATIC-PAGE-01.webp,asgard-angle-head-3-ah30-ad-sch-schematic-page-01.webp
asgard-angle-head-adapter-cfa-ad-sch,Asgard/Schematics/AngleHeads/CFA-AD/schematic_data.json,CFA-AD-SCHEMATIC-PAGE-01.webp,asgard-angle-head-adapter-cfa-ad-sch-schematic-page-01.webp
asgard-brakeless-box-handle-34-bbh-ad-sch,Asgard/Schematics/Handles/BBH-AD/schematic_data.json,BBH-AD-SCHEMATIC-PAGE-01.webp,asgard-brakeless-box-handle-34-bbh-ad-sch-schematic-page-01.webp
asgard-ca08-ad-applicator-box-head-sch,Asgard/Schematics/AngleHeads/CA08-AD/schematic_data.json,CA08-AD-SCHEMATIC-PAGE-01.webp,asgard-ca08-ad-applicator-box-head-sch-schematic-page-01.webp
asgard-fh-ad-fiberglass-handle-43-sch,Asgard/Schematics/Handles/FH-AD/schematic_data.json,FH-AD-SCHEMATIC-PAGE-01.webp,asgard-fh-ad-fiberglass-handle-43-sch-schematic-page-01.webp
asgard-finishing-box-10-ez10-ad-sch,Asgard/Schematics/FinishingBoxes/EZ10-AD/schematic_data.json,EZ10-AD-SCHEMATIC-PAGE-01.webp,asgard-finishing-box-10-ez10-ad-sch-schematic-page-01.webp
asgard-finishing-box-12-ez12-ad-sch,Asgard/Schematics/FinishingBoxes/EZ12-AD/schematic_data.json,EZ12-AD-SCHEMATIC-PAGE-01.webp,asgard-finishing-box-12-ez12-ad-sch-schematic-page-01.webp
asgard-finishing-box-7-ez07-ad-sch,Asgard/Schematics/FinishingBoxes/EZ07-AD/schematic_data.json,EZ07-AD-SCHEMATIC-PAGE-01.webp,asgard-finishing-box-7-ez07-ad-sch-schematic-page-01.webp
asgard-inside-corner-roller-cr01-ad-sch,Asgard/Schematics/Rollers/CR01-AD/schematic_data.json,CR01-AD-SCHEMATIC-PAGE-01.webp,asgard-inside-corner-roller-cr01-ad-sch-schematic-page-01.webp
asgard-loading-pump-lp01-ad-sch,Asgard/Schematics/Pumps/LP01-AD/schematic_data.json,LP01-AD-SCHEMATIC-PAGE-01.webp,asgard-loading-pump-lp01-ad-sch-schematic-page-01.webp
asgard-maxxbox-finishing-box-12-ehc12-ad-sch,Asgard/Schematics/FinishingBoxes/EHC12-AD/schematic_data.json,EHC12-AD-SCHEMATIC-PAGE-01.webp,asgard-maxxbox-finishing-box-12-ehc12-ad-sch-schematic-page-01.webp
asgard-maxxbox-finishing-box-7-ehc07-ad-sch,Asgard/Schematics/FinishingBoxes/EHC07-AD/schematic_data.json,EHC07-AD-SCHEMATIC-PAGE-01.webp,asgard-maxxbox-finishing-box-7-ehc07-ad-sch-schematic-page-01.webp
asgard-mud-pumps-gn01-ad-sch,Asgard/Schematics/Other/GN01-AD/schematic_data.json,GN01-AD-SCHEMATIC-PAGE-01.webp,asgard-mud-pumps-gn01-ad-sch-schematic-page-01.webp
asgard-nail-spotter-head-only-ns03-ad-sch,Asgard/Schematics/Spotters/NS03-AD/schematic_data.json,NS03-AD-SCHEMATIC-PAGE-01.webp,asgard-nail-spotter-head-only-ns03-ad-sch-schematic-page-01.webp
asgard-power-assist-maxxbox-10-pa10-ad-sch,Asgard/Schematics/FinishingBoxes/PA10-AD/schematic_data.json,PA10-AD-SCHEMATIC-PAGE-01.webp,asgard-power-assist-maxxbox-10-pa10-ad-sch-schematic-page-01.webp
asgard-power-assist-maxxbox-12-pa12-ad-sch,Asgard/Schematics/FinishingBoxes/PA12-AD/schematic_data.json,PA12-AD-SCHEMATIC-PAGE-01.webp,asgard-power-assist-maxxbox-12-pa12-ad-sch-schematic-page-01.webp
asgard-power-assist-maxxbox-7-pa07-ad-sch,Asgard/Schematics/FinishingBoxes/PA07-AD/schematic_data.json,PA07-AD-SCHEMATIC-PAGE-01.webp,asgard-power-assist-maxxbox-7-pa07-ad-sch-schematic-page-01.webp
