product_id,sellable_id,sku_code,product_title,sellable_title,full_title,recommended_sellable_title
353658881,716872849,TTFTFS,TapeTech Value Full Drywall Taping & Finishing Set,TapeTech Value Full Drywall Taping & Finishing Set,TapeTech Value Full Drywall Taping & Finishing Set TapeTech Value Full Drywall Taping & Finishing Set,Standard
353658878,716872845,TTFFS,TapeTech Value Drywall Finishing Set,TapeTech Value Drywall Finishing Set,TapeTech Value Drywall Finishing Set TapeTech Value Drywall Finishing Set,Standard
353658874,716872840,TTPSS,TapeTech Professional Starter Set,TapeTech Professional Starter Set,TapeTech Professional Starter Set TapeTech Professional Starter Set,Standard
353658870,716872835,TTPPS,TapeTech Pro Performance Set,TapeTech Pro Performance Set,TapeTech Pro Performance Set TapeTech Pro Performance Set,Standard
353658866,716872831,TTPPS-EF,TapeTech Pro Performance Easy Finish Set,TapeTech Pro Performance Easy Finish Set,TapeTech Pro Performance Easy Finish Set TapeTech Pro Performance Easy Finish Set,Standard
353658864,716872829,TTPFB,TapeTech Paper Faced Bead Pro Set,TapeTech Paper Faced Bead Pro Set,TapeTech Paper Faced Bead Pro Set TapeTech Paper Faced Bead Pro Set,Standard
353658860,716872824,804003F,TapeTech Grip Assembly For Box Handle,TapeTech Grip Assembly For Box Handle,TapeTech Grip Assembly For Box Handle TapeTech Grip Assembly For Box Handle,Standard
353658859,716872823,GSR-TT,TapeTech Gooseneck Riser,TapeTech Gooseneck Riser,TapeTech Gooseneck Riser TapeTech Gooseneck Riser,Standard
353658858,716872821,TTFULL2SET,TapeTech Full Set X2 Contractors Pack,TapeTech Full Set X2 Contractors Pack,TapeTech Full Set X2 Contractors Pack TapeTech Full Set X2 Contractors Pack,Standard
353658856,716872819,TTFBC,TapeTech Flat Box Combo,TapeTech Flat Box Combo,TapeTech Flat Box Combo TapeTech Flat Box Combo,Standard
353658855,716872818,90T,TapeTech Filler Adapter,TapeTech Filler Adapter,TapeTech Filler Adapter TapeTech Filler Adapter,Standard
353658849,716872807,MRX01TT,TapeTech Extension,TapeTech Extension,TapeTech Extension TapeTech Extension,Standard
353658846,716872804,TTFINISH7/10,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,Standard
353658840,716872797,TTCFS,TapeTech Corner Finishing Set,TapeTech Corner Finishing Set,TapeTech Corner Finishing Set TapeTech Corner Finishing Set,Standard
353658838,716872794,CTA01TT,TapeTech Compound Tube Filler Adapter,TapeTech Compound Tube Filler Adapter,TapeTech Compound Tube Filler Adapter TapeTech Compound Tube Filler Adapter,Standard
353658835,716872787,CROLLHAN2,TapeTech Compound Roller Support Handle,TapeTech Compound Roller Support Handle,TapeTech Compound Roller Support Handle TapeTech Compound Roller Support Handle,Standard
353658833,716872780,88TTE,TapeTech Box XTender Handle,TapeTech Box XTender Handle,TapeTech Box XTender Handle TapeTech Box XTender Handle,Standard
