sku_code,product_id,sellable_id,before_product_title,before_sellable_title,before_full_title,after_sellable_title,after_full_title,status,message
SPTAPER,353657125,716869503,Columbia Predator Sawed Off Taper,Standard,Columbia Predator Sawed Off Taper Standard,,,skipped_not_duplicate,
PTAPER,353657137,716869519,Columbia One Predator Taper,Columbia One Predator Taper,Columbia One Predator Taper Columbia One Predator Taper,Standard,Columbia One Predator Taper Standard,updated,"{""id"": 353657137, ""title"": ""Columbia One Predator Taper"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:35:53.129Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:44.111Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_"
TS,353657353,716869922,Columbia Tactical Set,Columbia Tactical Set,Columbia Tactical Set Columbia Tactical Set,Standard,Columbia Tactical Set Standard,updated,"{""id"": 353657353, ""title"": ""Columbia Tactical Set"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:08.568Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:45.949Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": "
PTS,353657355,716869928,Columbia Predator Tactical Set,Columbia Predator Tactical Set,Columbia Predator Tactical Set Columbia Predator Tactical Set,Standard,Columbia Predator Tactical Set Standard,updated,"{""id"": 353657355, ""title"": ""Columbia Predator Tactical Set"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:08.851Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:47.613Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_pa"
SACS,353657357,716869932,Columbia Commando Set,Columbia Commando Set,Columbia Commando Set Columbia Commando Set,,,update_failed_http_404,"{""status"": ""404"", ""error"": ""Not Found""}"
TWS,353657359,716869935,Columbia Warrior Set,Columbia Warrior Set,Columbia Warrior Set Columbia Warrior Set,Standard,Columbia Warrior Set Standard,updated,"{""id"": 353657359, ""title"": ""Columbia Warrior Set"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:09.330Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:49.836Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """
CPFP,353657378,716869964,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,Standard,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump Standard,updated,"{""id"": 353657378, ""title"": ""Columbia PowerFill 3.5 Pro Series Cordless Loading Pump"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:10.401Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:51.284Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web"
CPFGN,353657385,716869975,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,Standard,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube Standard,updated,"{""id"": 353657385, ""title"": ""Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:10.807Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:52.647Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_p"
FA280,353657390,716869984,#10 Belleville Washer,#10 Belleville Washer,#10 Belleville Washer #10 Belleville Washer,Standard,#10 Belleville Washer Standard,updated,"{""id"": 353657390, ""title"": ""#10 Belleville Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:11.080Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:54.489Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": "
FA268,353657393,716869992,#10 Flat Washer,#10 Flat Washer,#10 Flat Washer #10 Flat Washer,Standard,#10 Flat Washer Standard,updated,"{""id"": 353657393, ""title"": ""#10 Flat Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:11.498Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:55.950Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""e"
