bundle_sku,bundle_name,kit_sellable_id,matched_product_id,matched_sellable_id,matched_sellable_type,matched_product_title,matched_sellable_title,action,status,message
SACS,Columbia Commando Set,716869932,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
4-605,"LEVEL5 10""/12"" Box Set with Extendable Handle - Standard",716871967,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
4-629,"LEVEL5 10""/12"" Box Set with Extendable Handle - Mega",716871975,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
4-602,LEVEL5 Entry to Automatic Finishing Set - Tools Only,716872077,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
4-630,LEVEL5 The Starter Taping Set,716872085,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
PT-FIN,Platinum Drywall Starter Finishing Set,716872232,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTSFS,TapeTech Standard Full Set - Standard,716872723,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTSFS-2,TapeTech Standard Full Set - With 2 Pumps,716872725,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTBBS,TapeTech Basic Box Set,716872770,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTBTS,TapeTech Basic Taping Set,716872773,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTCFS,TapeTech Corner Finishing Set,716872797,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTFINISH7/10,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,716872804,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTFBC,TapeTech Flat Box Combo,716872819,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTFULL2SET,TapeTech Full Set X2 Contractors Pack,716872821,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTPFB,TapeTech Paper Faced Bead Pro Set,716872829,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTPPS-EF,TapeTech Pro Performance Easy Finish Set,716872831,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTPPS,TapeTech Pro Performance Set,716872835,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTPSS,TapeTech Professional Starter Set,716872840,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTFFS,TapeTech Value Drywall Finishing Set,716872845,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
TTFTFS,TapeTech Value Full Drywall Taping & Finishing Set,716872849,,,,,,none,no_nonkit_duplicate,"Found 1 exact SKU match(es), all are the expected Kit or no delete candidates."
