sku,type,image_count,image_files,image_urls
12-4.7-0.7-G-C,variation,10,columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-01.webp | columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-02.webp | columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-03.webp | columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-04.webp | columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-05.webp | columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-06.webp | columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-07.webp | columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-08.webp | columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-09.webp | columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-10.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-trowels-12-inch-gold-finishing-trowel-12-4-7-0-7-G-C-01.webp
2.5AH,variation,3,columbia-2-5-inch-anglehead-2-5AH-01.webp | columbia-2-5-inch-anglehead-2-5AH-02.webp | columbia-2-5-inch-anglehead-2-5AH-03.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-5-inch-anglehead-2-5AH-01.webp
2.5CSF,variation,1,columbia-combo-flusher-2-5-inch-2-5CSF-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-combo-flusher-2-5-inch-2-5CSF-01.webp
2.5DF,variation,1,columbia-direct-corner-flusher-2-5-inch-2-5DF-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-direct-corner-flusher-2-5-inch-2-5DF-01.webp
2.5SF,variation,2,columbia-standard-corner-flusher-2-5-inch-2-5SF-01.webp | columbia-standard-corner-flusher-2-5-inch-2-5SF-02.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-2-5-inch-2-5SF-01.webp
2AH,variation,3,columbia-2-inch-anglehead-2AH-01.webp | columbia-2-inch-anglehead-2AH-02.webp | columbia-2-inch-anglehead-2AH-03.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-anglehead-2AH-01.webp
2NS,variation,1,columbia-2-inch-nailspotter-2NS-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-nailspotter-2NS-01.webp
3.5AH,variation,3,columbia-3-5-inch-anglehead-3-5AH-01.webp | columbia-3-5-inch-anglehead-3-5AH-02.webp | columbia-3-5-inch-anglehead-3-5AH-03.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-inch-anglehead-3-5AH-01.webp
3AH,variation,3,columbia-3-inch-anglehead-3AH-01.webp | columbia-3-inch-anglehead-3AH-02.webp | columbia-3-inch-anglehead-3AH-03.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-inch-anglehead-3AH-01.webp
3NS,variation,1,columbia-3-inch-nailspotter-3NS-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-inch-nailspotter-3NS-01.webp
3WTDF,variation,1,columbia-direct-corner-flusher-3-inch-wide-track-3WTDF-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-direct-corner-flusher-3-inch-wide-track-3WTDF-01.webp
5.5FFB,variation,2,columbia-flat-boxes-5-5-inch-5-5FFB-01.webp | columbia-flat-boxes-5-5-inch-5-5FFB-02.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-flat-boxes-5-5-inch-5-5FFB-01.webp
7CFB,variation,3,columbia-7-inch-throttle-box-7CFB-01.webp | columbia-7-inch-throttle-box-7CFB-02.webp | columbia-7-inch-throttle-box-7CFB-03.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-7-inch-throttle-box-7CFB-01.webp
8CFB,variation,3,columbia-8-inch-throttle-box-8CFB-01.webp | columbia-8-inch-throttle-box-8CFB-02.webp | columbia-8-inch-throttle-box-8CFB-03.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-8-inch-throttle-box-8CFB-01.webp
AH1-2,variation,1,columbia-angle-head-repair-parts-AH1-2-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH1-2-01.webp
AH1-2.5,variation,1,columbia-angle-head-repair-parts-AH1-2-5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH1-2-5-01.webp
AH1-3,variation,1,columbia-angle-head-repair-parts-AH1-3-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH1-3-01.webp
AH1-3.5,variation,1,columbia-angle-head-repair-parts-AH1-3-5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH1-3-5-01.webp
AH18,variation,1,columbia-angle-head-repair-parts-AH18-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH18-01.webp
AH1A,variation,1,columbia-angle-head-repair-parts-AH1A-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH1A-01.webp
AH1B,variation,1,columbia-angle-head-repair-parts-AH1B-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH1B-01.webp
AH3-2,variation,1,columbia-angle-head-repair-parts-AH3-2-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH3-2-01.webp
AH3-2.5,variation,1,columbia-angle-head-repair-parts-AH3-2-5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH3-2-5-01.webp
AH3-3,variation,1,columbia-angle-head-repair-parts-AH3-3-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH3-3-01.webp
AH3-3.5,variation,1,columbia-angle-head-repair-parts-AH3-3-5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH3-3-5-01.webp
AH4,variation,1,columbia-angle-head-repair-parts-AH4-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH4-01.webp
AH5,variation,1,columbia-angle-head-repair-parts-AH5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH5-01.webp
AH6A,variation,1,columbia-angle-head-repair-parts-AH6A-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH6A-01.webp
AH7-2,variation,1,columbia-angle-head-repair-parts-AH7-2-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH7-2-01.webp
AH7-2.5,variation,1,columbia-angle-head-repair-parts-AH7-2-5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH7-2-5-01.webp
AH7-3,variation,1,columbia-angle-head-repair-parts-AH7-3-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH7-3-01.webp
AH7-3.5,variation,1,columbia-angle-head-repair-parts-AH7-3-5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH7-3-5-01.webp
AH8,variation,1,columbia-angle-head-repair-parts-AH8-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH8-01.webp
AH8A,variation,1,columbia-angle-head-repair-parts-AH8A-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH8A-01.webp
AH9,variation,1,columbia-angle-head-repair-parts-AH9-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH9-01.webp
AH9A,variation,1,columbia-angle-head-repair-parts-AH9A-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-repair-parts-AH9A-01.webp
AHA,simple,2,columbia-anglehead-adaptor-AHA-01.webp | columbia-angle-head-adaptor-AHA-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-adaptor-AHA-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-adaptor-AHA-01.webp
AHR-2-2,variation,2,columbia-angle-head-spring-repair-kit-ahr-2-01.webp | columbia-angle-head-spring-repair-kit-ahr-2-5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-spring-repair-kit-ahr-2-01.webp
AHR-2-2.5,variation,1,columbia-angle-head-spring-repair-kit-ahr-2-5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-angle-head-spring-repair-kit-ahr-2-5-01.webp
