schematic_id,brand,source_json_path,current_model_number,current_model_name,tool_sku,tool_name,status,notes
asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch,Asgard,Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json,AH25AD,"Asgard Angle Head - 2.5""",AH25AD,"Asgard Angle Head -  2.5""",normalized_slug_migrated,normalized_from=asgard-ah25-ad-sch; slug=asgard-angle-head-2-5-ah25-ad; sku=AH25AD
asgard-angle-head-3-ah30-ad-sch,Asgard,Asgard\Schematics\AngleHeads\AH30-AD\schematic_data.json,AH30AD,"Asgard Angle Head - 3""",AH30AD,"Asgard Angle Head -  3""",normalized_slug_migrated,normalized_from=asgard-ah30-ad-sch; slug=asgard-angle-head-3-ah30-ad; sku=AH30AD
asgard-angle-head-3-5-ah35-ad-sch,Asgard,Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json,AH35AD,"Asgard Angle Head - 3.5""",AH35AD,"Asgard Angle Head -  3.5""",normalized_slug_migrated,normalized_from=asgard-ah35-ad-sch; slug=asgard-angle-head-3-5-ah35-ad; sku=AH35AD
asgard-hammer-automatic-taper-at01-ad-sch,Asgard,Asgard\Schematics\Tapers\AT01-AD\schematic_data.json,AT01AD,Asgard The HAMMER™ Automatic Taper,AT01AD,Asgard The HAMMER™ Automatic Taper,normalized_slug_migrated,normalized_from=asgard-at01-ad-sch; slug=asgard-hammer-automatic-taper-at01-ad; sku=AT01AD
asgard-brakeless-box-handle-34-bbh-ad-sch,Asgard,Asgard\Schematics\Handles\BBH-AD\schematic_data.json,BBHAD,"Asgard Brakeless Box Handle (Fixed Length) - 34""",BBHAD,"Asgard Brakeless Box Handle (Fixed Length) - 34""",normalized_slug_migrated,normalized_from=asgard-bbh-ad-sch; slug=asgard-brakeless-box-handle-34-bbh-ad; sku=BBHAD
asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch,Asgard,Asgard\Schematics\Handles\BBHE-AD\schematic_data.json,BBHEAD,Asgard Brakeless Box Extendable Handle - 38” - 60”,BBHEAD,Asgard Brakeless Box Extendable Handle - 38” - 60”,normalized_slug_migrated,normalized_from=asgard-bbhe-ad-sch; slug=asgard-brakeless-box-extendable-handle-38-60-bbhe-ad; sku=BBHEAD
asgard-ca08-ad-applicator-box-head-sch,Asgard,Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json,CA08AD,Asgard Applicator Box – Head Only,CA08AD,Asgard Applicator Box – Head Only,normalized_slug_migrated,normalized_from=asgard-ca08-ad-sch; slug=asgard-ca08-ad-applicator-box-head; sku=CA08AD
asgard-angle-head-adapter-cfa-ad-sch,Asgard,Asgard\Schematics\AngleHeads\CFA-AD\schematic_data.json,CFAAD,Asgard Angle Head Adapter,CFAAD,Asgard Angle Head Adapter,normalized_slug_migrated,normalized_from=asgard-cfa-ad-sch; slug=asgard-angle-head-adapter-cfa-ad; sku=CFAAD
asgard-inside-corner-roller-cr01-ad-sch,Asgard,Asgard\Schematics\Rollers\CR01-AD\schematic_data.json,CR01AD,Asgard Inside Corner Roller – Head Only,CR01AD,Asgard Inside Corner Roller – Head Only,normalized_slug_migrated,normalized_from=asgard-cr01-ad-sch; slug=asgard-inside-corner-roller-cr01-ad; sku=CR01AD
asgard-maxxbox-finishing-box-7-ehc07-ad-sch,Asgard,Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json,EHC07AD,"Asgard MAXXBOX Finishing Box - 7""",EHC07AD,"Asgard MAXXBOX Finishing Box -  7""",normalized_slug_migrated,normalized_from=asgard-ehc07-ad-sch; slug=asgard-maxxbox-finishing-box-7-ehc07-ad; sku=EHC07AD
asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch,Asgard,Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json,EHC10AD,"Asgard MAXXBOX Finishing Box - 10""",EHC10AD,"Asgard MAXXBOX Finishing Box -  10""",normalized_slug_migrated,normalized_from=asgard-ehc10-ad-sch; slug=asgard-10-inch-maxxbox-finishing-box-ehc10-ad; sku=EHC10AD
