"SKU","NormSKU","Status","Source","Files","URLs"
"AB1","ab1","NO_MATCH","","",""
"AB3A-LEFT","ab3a-left","NO_MATCH","","",""
"AB3A-RIGHT","ab3a-right","NO_MATCH","","",""
"AB40","ab40","NO_MATCH","","",""
"AB41","ab41","NO_MATCH","","",""
"AB42","ab42","NO_MATCH","","",""
"AB43","ab43","NO_MATCH","","",""
"AB44","ab44","NO_MATCH","","",""
"AB44A","ab44a","NO_MATCH","","",""
"AB44B","ab44b","NO_MATCH","","",""
"AB45","ab45","NO_MATCH","","",""
"AB46","ab46","NO_MATCH","","",""
"AB47","ab47","NO_MATCH","","",""
"AB48","ab48","NO_MATCH","","",""
"AB49","ab49","NO_MATCH","","",""
"AB50","ab50","NO_MATCH","","",""
"AB51","ab51","NO_MATCH","","",""
"AB52","ab52","NO_MATCH","","",""
"AB54","ab54","NO_MATCH","","",""
"AH-1-3-5IN","ah-1-3-5in","NO_MATCH","","",""
"AH-11","ah-11","NO_MATCH","","",""
"AH-15","ah-15","NO_MATCH","","",""
"AH-16","ah-16","NO_MATCH","","",""
"AH-2-3IN-L","ah-2-3in-l","NO_MATCH","","",""
"AH-2-3IN-R","ah-2-3in-r","NO_MATCH","","",""
"AH-20","ah-20","NO_MATCH","","",""
"AH-21","ah-21","NO_MATCH","","",""
"AH-22","ah-22","NO_MATCH","","",""
"AH-23","ah-23","NO_MATCH","","",""
"AH-3-3IN","ah-3-3in","NO_MATCH","","",""
"AH-6","ah-6","NO_MATCH","","",""
"AH-7-2-5IN","ah-7-2-5in","NO_MATCH","","",""
"AH-7-3IN","ah-7-3in","NO_MATCH","","",""
"BH-8-3","bh-8-3","NO_MATCH","","",""
"BH9-3","bh9-3","NO_MATCH","","",""
"BH9-4","bh9-4","NO_MATCH","","",""
"BH9-42","bh9-42","NO_MATCH","","",""
"BH9-5","bh9-5","NO_MATCH","","",""
"BH9-6","bh9-6","NO_MATCH","","",""
"C148","c148","NO_MATCH","","",""
"C154","c154","NO_MATCH","","",""
"C159","c159","NO_MATCH","","",""
"C779-CS","c779-cs","NO_MATCH","","",""
"C78S","c78s","NO_MATCH","","",""
"CA239","ca239","NO_MATCH","","",""
"CC16","cc16","NO_MATCH","","",""
"CC17","cc17","NO_MATCH","","",""
"CC18","cc18","NO_MATCH","","",""
"CC19","cc19","NO_MATCH","","",""
"CC1A","cc1a","NO_MATCH","","",""
"CC2","cc2","NO_MATCH","","",""
"CC3","cc3","NO_MATCH","","",""
"CEXT-1","cext-1","NO_MATCH","","",""
"CEXT-2","cext-2","NO_MATCH","","",""
"CEXT-3","cext-3","NO_MATCH","","",""
"CF-15-3-5IN","cf-15-3-5in","NO_MATCH","","",""
"CF-1C","cf-1c","NO_MATCH","","",""
"CF-38","cf-38","NO_MATCH","","",""
"CF-4S","cf-4s","NO_MATCH","","",""
"CF-5-3-S","cf-5-3-s","NO_MATCH","","",""
"CF-6","cf-6","NO_MATCH","","",""
"CF-7","cf-7","NO_MATCH","","",""
"CF-8","cf-8","NO_MATCH","","",""
"CF-TA","cf-ta","NO_MATCH","","",""
"CF-TS-3-5IN","cf-ts-3-5in","NO_MATCH","","",""
"CF1A","cf1a","NO_MATCH","","",""
"CF1B","cf1b","NO_MATCH","","",""
"CF2","cf2","NO_MATCH","","",""
"CF3","cf3","NO_MATCH","","",""
"CF3A","cf3a","NO_MATCH","","",""
"CF3B","cf3b","NO_MATCH","","",""
"CF4L","cf4l","NO_MATCH","","",""
"CF5-3-5IN","cf5-3-5in","NO_MATCH","","",""
"CFB1-8IN","cfb1-8in","NO_MATCH","","",""
"CFB19","cfb19","NO_MATCH","","",""
"CFB1A","cfb1a","NO_MATCH","","",""
"CFB2-8IN","cfb2-8in","NO_MATCH","","",""
"CFB5A","cfb5a","NO_MATCH","","",""
"CFB5C","cfb5c","NO_MATCH","","",""
"CLT-12","clt-12","NO_MATCH","","",""
"CLT-13","clt-13","NO_MATCH","","",""
"CLT-14","clt-14","NO_MATCH","","",""
