catalog_sku,catalog_name,product_line,scraped_files,scraped_sku_segment,similarity_score,match_type
CLT-BF,Columbia Cam Lock Tube Box Filler,Parts – Cam Lock Tube (CLT),"columbia-CLTBF-01.webp, columbia-CLTBF-02.webp, columbia-CLTBF-03.webp, columbia-CLTBF-04.webp",CLTBF,1.0,FUZZY
MP-34,Adaptor (MP34),Parts – Mud Pump (MP),columbia-mp34-01.webp,MP34,1.0,FUZZY
MP-9,Standard Fitting (MP9),Parts – Mud Pump (MP),columbia-mp9-01.webp,MP9,1.0,FUZZY
MP-9A,Connecting Chain (MP9A),Parts – Mud Pump (MP),columbia-mp9a-01.webp,MP9A,1.0,FUZZY
TSB-7,"Columbia Tomahawk Smoothing Blade -  7""",Tool – Blades & Knives,"columbia-TSB7-06.webp, columbia-TSB7-07.webp, columbia-TSB7-08.webp, columbia-TSB7-09.webp",TSB7,1.0,FUZZY
HFFB1-10,10 in Heavy Flat Box Body (HFFB1 - 10),Tool – Flat Box,columbia-hffb14-10-01.webp,HFFB14-10,0.941,FUZZY
HFFB1-10,10 in Heavy Flat Box Body (HFFB1 - 10),Tool – Flat Box,columbia-hffb1a-10-01.webp,HFFB1A-10,0.941,FUZZY
CT87-CL,Cam Lock Taper Cap (CT87 - CL),Parts – Taper (CT),columbia-cta87-cl-01.webp,CTA87-CL,0.933,FUZZY
FFB2-10,"Roll Face 10"" (FFB2 - 10)",Parts – Flat Finishing Box (FFB),columbia-ffb25-10-01.webp,FFB25-10,0.933,FUZZY
SPTAPER,"Columbia Sawed Off Predator Automatic Taper 39""",Tool – Predator Taper,"columbia-PTAPER-01.webp, columbia-PTAPER-02.webp, columbia-PTAPER-03.webp",PTAPER,0.923,FUZZY
SPTAPER,"Columbia Sawed Off Predator Automatic Taper 39""",Tool – Predator Taper,"columbia-STAPER-01.webp, columbia-STAPER-02.webp, columbia-STAPER-03.webp, columbia-STAPER-04.webp, columbia-STAPER-11.webp",STAPER,0.923,FUZZY
CFB1A,Angle Box Hinge Seal (CFB - 1A),Parts – Flat Box (CFB),columbia-cfb11a-01.webp,CFB11A,0.909,FUZZY
CFB1A,Angle Box Hinge Seal (CFB - 1A),Parts – Flat Box (CFB),columbia-cfb15a-01.webp,CFB15A,0.909,FUZZY
CMT-1-24,Barrel Main Body 24 in (CMT1 - 24),Parts – Compound Tube (CMT),columbia-CMT24-01.webp,CMT24,0.909,FUZZY
CT106A,Taper Bearing Shaft - CT106 (CT - 106A),Parts – Taper (CT),columbia-ct10a-01.webp,CT10A,0.909,FUZZY
CT115A,Taper Gasket New Style End Ring (CT115A),Parts – Taper (CT),columbia-ct115-01.webp,CT115,0.909,FUZZY
CT119A,Spool Retaining Spring (CT - 119),Parts – Taper (CT),columbia-ct119-01.webp,CT119,0.909,FUZZY
CT124A,Grip Guard Ring Top (CT124A),Parts – Taper (CT),columbia-ct124-01.webp,CT124,0.909,FUZZY
CT15A,Old Style Ratchet Rod (CT15A),Parts – Taper (CT),columbia-ct125a-01.webp,CT125A,0.909,FUZZY
CT124A,Grip Guard Ring Top (CT124A),Parts – Taper (CT),columbia-ct14a-01.webp,CT14A,0.909,FUZZY
CT741A,Predator Taper Cutter Block Clamp (CT741A),Parts – Taper (CT),columbia-ct41a-01.webp,CT41A,0.909,FUZZY
FFB11,"Adjuster Spring (7,8,10)",Parts – Flat Finishing Box (FFB),columbia-ffb11-8-01.webp,FFB11-8,0.909,FUZZY
FFB-16A,Flat Box Handle Bracket 16A (FFB 16A),Parts – Flat Finishing Box (FFB),columbia-ffb16-01.webp,FFB16,0.909,FUZZY
FFB2A,Bushing (FFB2A),Parts – Flat Finishing Box (FFB),columbia-parts-ffb32a-01.webp,FFB32A,0.909,FUZZY
